# Acetate(C2) -- Acetate(C2) (STEPs-SOL) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2560 -0.095777
0.2610 -0.319008
0.2660 -0.511859
0.2710 -0.606424
0.2760 -0.670413
0.2810 -0.720014
0.2860 -0.767640
0.2910 -0.828344
0.2960 -0.892377
0.3010 -0.941404
0.3060 -0.975333
0.3110 -1.009544
0.3160 -1.054907
0.3210 -1.103366
0.3260 -1.139791
0.3310 -1.171801
0.3360 -1.204733
0.3410 -1.230636
0.3460 -1.259597
0.3510 -1.288164
0.3560 -1.296901
0.3610 -1.300626
0.3660 -1.312108
0.3710 -1.318056
0.3760 -1.314043
0.3810 -1.308616
0.3860 -1.291060
0.3910 -1.255025
0.3960 -1.213033
0.4010 -1.167440
0.4060 -1.124604
0.4110 -1.082465
0.4160 -1.034728
0.4210 -0.986610
0.4260 -0.938658
0.4310 -0.896511
0.4360 -0.864122
0.4410 -0.840950
0.4460 -0.819284
0.4510 -0.801289
0.4560 -0.782570
0.4610 -0.753943
0.4660 -0.711571
0.4710 -0.674808
0.4760 -0.660875
0.4810 -0.647013
0.4860 -0.623926
0.4910 -0.602174
0.4960 -0.579054
0.5010 -0.562713
0.5060 -0.549615
0.5110 -0.525755
0.5160 -0.498407
0.5210 -0.482527
0.5260 -0.470681
0.5310 -0.447344
0.5360 -0.423289
0.5410 -0.400736
0.5460 -0.367796
0.5510 -0.334368
0.5560 -0.303193
0.5610 -0.269200
0.5660 -0.240583
0.5710 -0.218362
0.5760 -0.201663
0.5810 -0.192744
0.5860 -0.183179
0.5910 -0.173103
0.5960 -0.159498
0.6010 -0.146403
0.6060 -0.125955
0.6110 -0.099727
0.6160 -0.074504
0.6210 -0.052704
0.6260 -0.040433
0.6310 -0.028089
0.6360 -0.011749
0.6410 0.006909
0.6460 0.029559
0.6510 0.053368
0.6560 0.082124
0.6610 0.108773
0.6660 0.124993
0.6710 0.124350
0.6760 0.113564
0.6810 0.107511
0.6860 0.102722
0.6910 0.090695
0.6960 0.070268
0.7010 0.051497
0.7060 0.041671
0.7110 0.030640
0.7160 0.019741
0.7210 0.016707
0.7260 0.007408
0.7310 -0.017495
0.7360 -0.038841
0.7410 -0.052438
0.7460 -0.066412
0.7510 -0.077695
0.7560 -0.088732
0.7610 -0.104232
0.7660 -0.112585
0.7710 -0.115477
0.7760 -0.124121
0.7810 -0.152062
0.7860 -0.178436
0.7910 -0.162028
0.7960 -0.135612
0.8010 -0.132541
0.8060 -0.134981
0.8110 -0.131296
0.8160 -0.126326
0.8210 -0.130288
0.8260 -0.149618
0.8310 -0.157611
0.8360 -0.138998
0.8410 -0.120845
0.8460 -0.111997
0.8510 -0.106344
0.8560 -0.111320
0.8610 -0.105172
0.8660 -0.080421
0.8710 -0.066450
0.8760 -0.072601
0.8810 -0.078258
0.8860 -0.073471
0.8910 -0.064984
0.8960 -0.058462
0.9010 -0.051913
0.9060 -0.046753
0.9110 -0.049957
0.9160 -0.052862
0.9210 -0.047169
0.9260 -0.053350
0.9310 -0.060161
0.9360 -0.048687
0.9410 -0.040610
0.9460 -0.042760
0.9510 -0.041535
0.9560 -0.037288
0.9610 -0.036140
0.9660 -0.047707
0.9710 -0.061254
0.9760 -0.069684
0.9810 -0.090077
0.9860 -0.101718
0.9910 -0.107269
0.9960 -0.123964
1.0010 -0.140648
1.0060 -0.151426
1.0110 -0.149133
1.0160 -0.138207
1.0210 -0.136921
1.0260 -0.148124
1.0310 -0.142156
1.0360 -0.118011
1.0410 -0.102698
1.0460 -0.094380
1.0510 -0.090964
1.0560 -0.094384
1.0610 -0.093931
1.0660 -0.087544
1.0710 -0.095003
1.0760 -0.118491
1.0810 -0.129767
1.0860 -0.118940
1.0910 -0.111644
1.0960 -0.113949
1.1010 -0.108522
1.1060 -0.105747
1.1110 -0.113134
1.1160 -0.121128
1.1210 -0.112303
1.1260 -0.093984
1.1310 -0.094329
1.1360 -0.103806
1.1410 -0.106655
1.1460 -0.102556
1.1510 -0.091397
1.1560 -0.071313
1.1610 -0.055100
1.1660 -0.054332
1.1710 -0.068669
1.1760 -0.081559
1.1810 -0.067755
1.1860 -0.030971
1.1910 -0.008265
1.1960 -0.009023
