# Acetate(C2) -- Acetate(C2) in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2624 20.018230
0.2664 18.181789
0.2704 16.540284
0.2744 15.134853
0.2784 13.887755
0.2824 12.800618
0.2864 11.823610
0.2904 10.996380
0.2944 10.232803
0.2984 9.570640
0.3024 8.989453
0.3064 8.428784
0.3104 7.945992
0.3144 7.520461
0.3184 7.128200
0.3224 6.784485
0.3264 6.444859
0.3304 6.139493
0.3344 5.871913
0.3384 5.596809
0.3424 5.326278
0.3464 5.106563
0.3504 4.940402
0.3544 4.723269
0.3584 4.552635
0.3624 4.381019
0.3664 4.205589
0.3704 4.054896
0.3744 3.909785
0.3784 3.801371
0.3824 3.658926
0.3864 3.552681
0.3904 3.403380
0.3944 3.279130
0.3984 3.173225
0.4024 3.051281
0.4064 2.936712
0.4104 2.849337
0.4144 2.732202
0.4184 2.654878
0.4224 2.555275
0.4264 2.462128
0.4304 2.364048
0.4344 2.271035
0.4384 2.195925
0.4424 2.136911
0.4464 2.011472
0.4504 1.963336
0.4544 1.910247
0.4584 1.821937
0.4624 1.773692
0.4664 1.686747
0.4704 1.587153
0.4744 1.548726
0.4784 1.522476
0.4824 1.454879
0.4864 1.372573
0.4904 1.351697
0.4944 1.305089
0.4984 1.235375
0.5024 1.192434
0.5064 1.191325
0.5104 1.109155
0.5144 1.061076
0.5184 1.048012
0.5224 1.008126
0.5264 1.000676
0.5304 0.947128
0.5344 0.926918
0.5384 0.878342
0.5424 0.848827
0.5464 0.788276
0.5504 0.775666
0.5544 0.757033
0.5584 0.735042
0.5624 0.702151
0.5664 0.683108
0.5704 0.697832
0.5744 0.639632
0.5784 0.660235
0.5824 0.666566
0.5864 0.621042
0.5904 0.647753
0.5944 0.583061
0.5984 0.577929
0.6024 0.582665
0.6064 0.548176
0.6104 0.540252
0.6145 0.533811
0.6185 0.534352
0.6224 0.508930
0.6265 0.521832
0.6305 0.519017
0.6345 0.504496
0.6385 0.536679
0.6425 0.530028
0.6465 0.473556
0.6505 0.506949
0.6545 0.457086
0.6585 0.436974
0.6625 0.436125
0.6665 0.418207
0.6705 0.410386
0.6745 0.428236
0.6785 0.433230
0.6825 0.428498
0.6865 0.417384
0.6905 0.411870
0.6945 0.418917
0.6985 0.415682
0.7025 0.407681
0.7065 0.396081
0.7105 0.412941
0.7145 0.359406
0.7185 0.390121
0.7225 0.338857
0.7265 0.319203
0.7305 0.368398
0.7345 0.327486
0.7385 0.340556
0.7425 0.348788
0.7465 0.353392
0.7505 0.339117
0.7545 0.338568
0.7585 0.348116
0.7625 0.333061
0.7665 0.342534
0.7705 0.313869
0.7745 0.317269
0.7785 0.332811
0.7825 0.319225
0.7865 0.360488
0.7905 0.299208
0.7945 0.288648
0.7985 0.316745
0.8025 0.311459
0.8065 0.315066
0.8105 0.304697
0.8145 0.283031
0.8185 0.322169
0.8225 0.306597
0.8265 0.291463
0.8305 0.338460
0.8345 0.302213
0.8385 0.278420
0.8425 0.276569
0.8465 0.325168
0.8505 0.244227
0.8545 0.255300
0.8585 0.286418
0.8625 0.239461
0.8665 0.228124
0.8705 0.248941
0.8745 0.207099
0.8785 0.242046
0.8825 0.210358
0.8865 0.219137
0.8905 0.176464
0.8945 0.202290
0.8985 0.150323
0.9025 0.178212
0.9065 0.163459
0.9105 0.154912
0.9145 0.229701
0.9185 0.180321
0.9225 0.181803
0.9265 0.154992
0.9305 0.186486
0.9345 0.149132
0.9385 0.097817
0.9425 0.189089
0.9465 0.110399
0.9505 0.091889
0.9545 0.165631
0.9585 0.078396
0.9625 0.163813
0.9665 0.124297
0.9705 0.192801
