# Acetate(C2) -- Acetate(C2) in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2640 18.652366
0.2680 16.759223
0.2720 15.205400
0.2760 13.811456
0.2800 12.585000
0.2840 11.494049
0.2880 10.543430
0.2920 9.682189
0.2960 8.946502
0.3000 8.255979
0.3040 7.642368
0.3080 7.126191
0.3120 6.623770
0.3160 6.182166
0.3199 5.765382
0.3239 5.400072
0.3279 5.050690
0.3319 4.743262
0.3359 4.440168
0.3399 4.160108
0.3439 3.909685
0.3479 3.693802
0.3519 3.488682
0.3559 3.269744
0.3599 3.069452
0.3639 2.907258
0.3679 2.724172
0.3719 2.593029
0.3759 2.464746
0.3799 2.337232
0.3839 2.225203
0.3879 2.077965
0.3919 2.004030
0.3959 1.918077
0.3999 1.841251
0.4039 1.760093
0.4079 1.710510
0.4119 1.663931
0.4159 1.568405
0.4199 1.537837
0.4239 1.477522
0.4279 1.455574
0.4319 1.361493
0.4359 1.370180
0.4399 1.260149
0.4438 1.206649
0.4478 1.201861
0.4518 1.116327
0.4558 1.015088
0.4598 0.992753
0.4638 0.941486
0.4678 0.915309
0.4718 0.873796
0.4758 0.849253
0.4798 0.805431
0.4838 0.788434
0.4878 0.719983
0.4918 0.652180
0.4958 0.644731
0.4998 0.615250
0.5038 0.577580
0.5078 0.562860
0.5118 0.543812
0.5158 0.503522
0.5198 0.439714
0.5238 0.437571
0.5278 0.434666
0.5318 0.435195
0.5358 0.428196
0.5398 0.440110
0.5438 0.424883
0.5478 0.424491
0.5518 0.433407
0.5558 0.477009
0.5598 0.461414
0.5637 0.480417
0.5677 0.440450
0.5717 0.441861
0.5757 0.427703
0.5797 0.381070
0.5837 0.366961
0.5877 0.371248
0.5917 0.388843
0.5957 0.375708
0.5997 0.346846
0.6037 0.381266
0.6077 0.365234
0.6117 0.365606
0.6157 0.387233
0.6197 0.440903
0.6237 0.387101
0.6277 0.415483
0.6317 0.420749
0.6357 0.441426
0.6397 0.420372
0.6437 0.427272
0.6477 0.428609
0.6517 0.445218
0.6557 0.484943
0.6597 0.500819
0.6637 0.509495
0.6677 0.504793
0.6717 0.469834
0.6757 0.485089
0.6797 0.477955
0.6837 0.471744
0.6876 0.469186
