# Acetate(C2) -- Acetate(C2) in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2560 23.097684
0.2600 20.763829
0.2640 18.697664
0.2680 16.940506
0.2720 15.370519
0.2760 13.955099
0.2800 12.751329
0.2840 11.659174
0.2880 10.693973
0.2920 9.857086
0.2960 9.067121
0.3000 8.395930
0.3040 7.796143
0.3080 7.236152
0.3120 6.765664
0.3160 6.319704
0.3200 5.884887
0.3240 5.481905
0.3280 5.200119
0.3320 4.852315
0.3360 4.539436
0.3400 4.258130
0.3440 4.017485
0.3480 3.748673
0.3520 3.532597
0.3560 3.364134
0.3600 3.203112
0.3640 2.992804
0.3680 2.818184
0.3720 2.661129
0.3760 2.563486
0.3800 2.418054
0.3840 2.322078
0.3880 2.172513
0.3921 2.135538
0.3961 2.008096
0.4001 1.954472
0.4041 1.877007
0.4081 1.778559
0.4121 1.719762
0.4161 1.680778
0.4201 1.597635
0.4241 1.572533
0.4281 1.522307
0.4321 1.421534
0.4361 1.397032
0.4401 1.314934
0.4441 1.256320
0.4481 1.182247
0.4521 1.135212
0.4561 1.092278
0.4601 1.034089
0.4641 0.985061
0.4681 0.977400
0.4721 0.927384
0.4761 0.864348
0.4801 0.822849
0.4841 0.798307
0.4881 0.754290
0.4921 0.712253
0.4961 0.714344
0.5001 0.651752
0.5041 0.644428
0.5081 0.607851
0.5121 0.560564
0.5161 0.568454
0.5201 0.563516
0.5241 0.501171
0.5281 0.517797
0.5322 0.496372
0.5362 0.497031
0.5402 0.433729
0.5442 0.444569
0.5482 0.429231
0.5522 0.448470
0.5562 0.434325
0.5602 0.452491
0.5642 0.458268
0.5682 0.442491
0.5722 0.472416
0.5762 0.468824
0.5802 0.442299
0.5842 0.477898
0.5882 0.448318
0.5922 0.439787
0.5962 0.443162
0.6002 0.419695
0.6042 0.405426
0.6082 0.450489
0.6122 0.445171
0.6162 0.449616
0.6202 0.486666
0.6242 0.481968
0.6282 0.457070
0.6322 0.498748
0.6362 0.512488
0.6402 0.521864
0.6442 0.538986
0.6482 0.506364
0.6522 0.550657
0.6562 0.541324
0.6602 0.538913
0.6642 0.572229
0.6683 0.538631
0.6723 0.553290
0.6763 0.527898
0.6803 0.542040
0.6843 0.536518
0.6883 0.508505
0.6923 0.510754
0.6963 0.489202
0.7003 0.444892
0.7043 0.447428
0.7083 0.451080
0.7123 0.432776
0.7163 0.374180
0.7203 0.374171
0.7243 0.377308
0.7283 0.324375
0.7323 0.332916
0.7363 0.285179
0.7403 0.296688
0.7443 0.307834
0.7483 0.250681
0.7523 0.253516
0.7563 0.275060
0.7603 0.208076
0.7643 0.251747
0.7683 0.204641
0.7723 0.192874
0.7763 0.210771
0.7803 0.214266
0.7843 0.129850
0.7883 0.075960
0.7923 0.182124
0.7963 0.192633
0.8003 0.176394
0.8044 0.161949
0.8084 0.190916
0.8124 0.165316
0.8164 0.166245
0.8204 0.223025
0.8244 0.119798
0.8284 0.158007
0.8324 0.136219
0.8364 0.169397
0.8404 0.169670
0.8444 0.184973
0.8484 0.184913
0.8524 0.164784
0.8564 0.134542
0.8604 0.126819
0.8644 0.157697
0.8684 0.170502
0.8724 0.213545
0.8764 0.129719
0.8804 0.135773
0.8844 0.144047
0.8884 0.140176
0.8924 0.107042
0.8964 0.124924
0.9004 0.112759
0.9044 0.122954
0.9084 0.126382
0.9124 0.125148
0.9164 0.127488
0.9204 0.172581
0.9244 0.098355
0.9284 0.124994
0.9324 0.069289
0.9364 0.100476
0.9404 0.130084
0.9445 0.091804
0.9485 0.018852
0.9525 0.092860
0.9565 0.089654
0.9605 0.109236
0.9645 0.090653
0.9685 0.102317
0.9725 0.077029
0.9765 0.146344
0.9805 0.073774
0.9845 0.066900
0.9885 0.111675
0.9925 0.065858
0.9965 0.032092
1.0005 0.035117
1.0045 -0.016354
1.0085 -0.040701
1.0125 0.039680
1.0165 -0.009545
1.0205 0.016764
1.0245 -0.012933
1.0285 -0.041155
1.0325 -0.009303
1.0365 0.047116
1.0405 -0.004969
1.0445 -0.003948
1.0485 0.021057
1.0525 0.025999
1.0565 0.017561
1.0605 0.005840
1.0645 0.018853
1.0685 0.027507
1.0725 -0.003027
1.0765 -0.044490
1.0806 -0.064187
1.0846 -0.039777
1.0886 -0.023661
1.0926 -0.016516
1.0966 -0.067219
1.1006 -0.002550
1.1046 -0.005357
1.1086 -0.015082
1.1126 -0.003109
1.1166 -0.007968
1.1206 -0.025886
1.1246 0.012320
1.1286 0.016820
1.1326 -0.002269
1.1366 -0.043871
1.1406 -0.036153
1.1446 -0.033875
1.1486 -0.014890
1.1526 -0.008543
1.1566 0.005241
1.1606 -0.003004
1.1646 -0.034713
1.1686 -0.026486
1.1726 -0.031000
1.1766 -0.027243
1.1806 -0.065044
1.1846 -0.003378
1.1886 -0.007142
1.1926 -0.001126
1.1966 -0.015428
1.2006 0.000000
1.2046 -0.028441
1.2086 -0.014789
1.2126 -0.009197
1.2167 0.014712
1.2207 0.000169
1.2247 0.038687
1.2287 0.008147
1.2327 -0.047525
1.2367 -0.035821
1.2407 -0.020682
1.2447 0.087841
1.2487 0.000540
1.2527 -0.001768
1.2567 -0.030149
1.2607 0.011486
1.2647 0.058755
1.2687 -0.007554
1.2727 0.018576
1.2767 0.049311
1.2807 -0.013851
1.2847 0.037309
1.2887 -0.026331
1.2927 0.051208
1.2967 0.054824
1.3007 0.055869
1.3047 0.043094
1.3087 0.020853
1.3127 0.037257
1.3167 0.037556
1.3207 0.001439
1.3247 0.044075
1.3287 0.087110
1.3327 -0.001258
1.3367 0.031864
1.3407 -0.022505
1.3447 0.014596
1.3487 -0.020432
1.3527 0.003951
1.3568 -0.040995
1.3608 -0.005464
1.3648 0.012322
1.3688 -0.037542
1.3728 -0.053158
1.3768 -0.079283
1.3808 -0.028503
1.3848 -0.040098
1.3888 -0.016818
1.3928 -0.023143
1.3968 -0.044611
1.4008 -0.063032
1.4048 -0.087475
1.4088 -0.054752
1.4128 -0.054356
1.4168 -0.035988
1.4208 -0.089680
1.4248 -0.006255
1.4288 0.017551
1.4328 -0.005680
1.4368 -0.091692
1.4408 -0.027775
1.4448 -0.054695
1.4488 0.004321
1.4528 -0.098277
1.4568 -0.028122
1.4608 0.004409
1.4648 -0.040152
1.4688 -0.076659
1.4728 -0.080256
1.4768 -0.010474
1.4808 0.000857
1.4848 -0.059757
1.4888 0.040184
1.4929 0.014076
1.4969 0.031923
1.5009 -0.003865
1.5049 0.035926
1.5089 -0.005222
1.5129 0.019511
1.5169 0.010848
1.5209 0.037891
1.5249 0.004730
1.5289 0.027049
1.5329 0.014970
1.5369 -0.001410
1.5409 0.046540
1.5449 0.085180
1.5489 0.018390
