# Acetate(C2) (STEPs-SOL) -- Ca (Amber03) Difference Data: DFT (Daily) - MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2449 3.760436
0.2499 -0.521806
0.2549 -4.130600
0.2599 -4.901675
0.2649 -4.049589
0.2699 -2.894168
0.2749 -1.817650
0.2799 -0.802237
0.2849 0.138416
0.2899 0.922156
0.2949 1.494252
0.2999 1.868477
0.3049 2.076335
0.3099 2.103539
0.3149 1.885143
0.3199 1.395641
0.3249 0.735932
0.3299 0.125699
0.3349 -0.250786
0.3399 -0.341126
0.3449 -0.181784
0.3499 0.120830
0.3549 0.450910
0.3599 0.756516
0.3649 1.019497
0.3699 1.214950
0.3749 1.329687
0.3799 1.359708
0.3849 1.296799
0.3899 1.117917
0.3949 0.793841
0.3999 0.302797
0.4049 -0.316196
0.4099 -0.941256
0.4149 -1.428548
0.4199 -1.729037
0.4249 -1.883619
0.4299 -1.932224
0.4349 -1.940924
0.4399 -1.925826
0.4449 -1.849533
0.4499 -1.717091
0.4549 -1.564514
0.4599 -1.413421
0.4649 -1.269480
0.4699 -1.133408
0.4749 -1.005222
0.4799 -0.884895
0.4849 -0.772398
0.4899 -0.667702
0.4949 -0.570781
0.4999 -0.481604
0.5049 -0.400144
0.5099 -0.326373
0.5149 -0.260261
0.5199 -0.201780
0.5249 -0.150902
0.5299 -0.107599
0.5349 -0.071841
0.5399 -0.043601
0.5449 -0.022842
0.5499 -0.009425
0.5549 -0.002632
0.5599 -0.000406
0.5649 -0.000028
0.5699 -0.000001
0.5749 0.000000
0.5799 0.000000
0.5849 0.000000
0.5899 -0.000000
0.5949 -0.000000
0.5999 -0.000000
0.6049 -0.000000
0.6099 -0.000000
0.6149 -0.000000
0.6199 -0.000000
0.6249 -0.000000
0.6299 0.000000
0.6349 0.000000
0.6399 0.000000
0.6449 0.000000
0.6499 0.000000
0.6549 0.000000
0.6599 0.000000
0.6649 -0.000000
0.6699 -0.000000
0.6749 -0.000000
0.6799 -0.000000
0.6849 -0.000000
0.6899 -0.000000
0.6949 -0.000000
0.6999 0.000000
0.7049 0.000000
0.7099 0.000000
0.7149 0.000000
0.7199 0.000000
0.7249 0.000000
0.7299 0.000000
0.7349 0.000000
0.7399 0.000000
0.7449 0.000000
0.7499 0.000000
0.7549 0.000000
0.7599 0.000000
0.7649 0.000000
0.7699 -0.000000
0.7749 -0.000000
0.7799 -0.000000
0.7849 -0.000000
0.7899 -0.000000
0.7949 -0.000000
0.7999 -0.000000
0.8049 -0.000000
0.8099 0.000000
0.8149 0.000000
0.8199 0.000000
0.8249 -0.000000
0.8299 -0.000000
0.8349 0.000000
0.8399 0.000000
0.8449 0.000000
0.8499 0.000000
0.8549 0.000000
0.8599 -0.000000
0.8649 -0.000000
0.8699 -0.000000
0.8749 -0.000000
0.8799 -0.000000
0.8849 -0.000000
0.8899 -0.000000
0.8949 -0.000000
0.8999 -0.000000
0.9049 -0.000000
0.9099 -0.000000
0.9149 -0.000000
0.9199 -0.000000
0.9249 -0.000000
0.9299 0.000000
0.9349 0.000000
0.9399 0.000000
0.9449 -0.000000
0.9499 -0.000000
0.9549 0.000000
0.9599 0.000000
0.9649 0.000000
0.9699 0.000000
0.9749 0.000000
0.9799 0.000000
0.9849 0.000000
0.9899 0.000000
0.9949 0.000000
0.9999 -0.000000
1.0049 -0.000000
1.0099 -0.000000
1.0149 -0.000000
1.0199 0.000000
1.0249 0.000000
1.0299 0.000000
1.0349 0.000000
1.0399 -0.000000
1.0449 -0.000000
1.0499 -0.000000
1.0549 -0.000000
1.0599 -0.000000
1.0649 -0.000000
1.0699 -0.000000
1.0749 -0.000000
1.0799 0.000000
1.0849 0.000000
1.0899 0.000000
1.0949 -0.000000
1.0999 -0.000000
1.1049 -0.000000
1.1099 -0.000000
1.1149 -0.000000
1.1199 -0.000000
1.1249 -0.000000
1.1299 -0.000000
1.1349 -0.000000
1.1399 -0.000000
1.1449 -0.000000
1.1499 0.000000
1.1549 0.000000
1.1599 0.000000
1.1649 -0.000000
1.1699 -0.000000
1.1749 -0.000000
1.1799 -0.000000
1.1849 -0.000000
1.1899 -0.000000
1.1949 0.000000
1.1999 0.000000
