# Acetate(C2) -- Ca in DFT (Daily)
# r0[nm] k[kCal/mol/nm^2]
0.2652 1.664517
0.2697 0.467206
0.2742 -0.361450
0.2787 -1.005901
0.2833 -1.406594
0.2878 -1.643645
0.2923 -1.826739
0.2968 -1.877672
0.3013 -1.826902
0.3058 -1.616568
0.3103 -1.294398
0.3147 -1.101075
0.3192 -1.030536
0.3237 -1.232479
0.3282 -1.495265
0.3327 -1.669381
0.3372 -1.711809
0.3417 -1.692621
0.3463 -1.533923
0.3508 -1.295577
0.3553 -1.114110
0.3598 -0.848180
0.3643 -0.588884
0.3688 -0.359594
0.3733 -0.080568
0.3777 0.164706
0.3822 0.520414
0.3867 0.775464
0.3912 1.005097
0.3957 1.145903
0.4002 1.077731
0.4047 0.893576
0.4093 0.585302
0.4138 0.336290
0.4183 0.218828
0.4228 0.089859
0.4273 -0.132075
0.4318 -0.178525
0.4363 -0.411732
0.4407 -0.614089
0.4452 -0.743954
0.4497 -0.783085
0.4542 -0.767232
0.4587 -0.765828
0.4632 -0.692313
0.4677 -0.743385
0.4723 -0.714650
0.4768 -0.795446
0.4813 -0.839743
0.4858 -0.804433
0.4903 -0.799298
0.4948 -0.692310
0.4993 -0.649279
0.5038 -0.532306
0.5082 -0.414610
0.5128 -0.269643
0.5172 -0.010938
0.5218 0.349567
0.5262 0.289447
0.5308 0.582354
0.5353 0.636686
0.5397 0.712543
0.5443 0.775871
0.5487 0.810399
0.5533 0.884461
0.5577 1.092877
0.5623 1.221544
0.5667 1.424945
0.5713 1.600497
0.5757 1.837707
0.5803 2.016024
0.5847 2.164938
0.5893 2.299133
