# Acetate(C2) -- Ca in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2696 18.729475
0.2746 16.303523
0.2796 14.073435
0.2846 12.138640
0.2896 10.437791
0.2946 8.930478
0.2996 7.590173
0.3046 6.376950
0.3096 5.333598
0.3146 4.421493
0.3196 3.652370
0.3246 3.026255
0.3296 2.516845
0.3346 2.112126
0.3396 1.795934
0.3446 1.515880
0.3495 1.323118
0.3545 1.145786
0.3595 0.964368
0.3645 0.879532
0.3695 0.763017
0.3745 0.644680
0.3795 0.565637
0.3845 0.467544
0.3895 0.333131
0.3945 0.249792
0.3995 0.185131
0.4045 0.116425
0.4095 0.054886
0.4145 0.058047
0.4195 0.044283
0.4245 0.128957
0.4295 0.161327
0.4345 0.186192
0.4395 0.235415
0.4445 0.256311
0.4495 0.265260
0.4545 0.298591
0.4594 0.310504
0.4644 0.325247
0.4694 0.366421
0.4744 0.346173
0.4794 0.384657
0.4844 0.371435
0.4894 0.390623
0.4944 0.411071
0.4994 0.406949
0.5044 0.431982
0.5094 0.422742
0.5144 0.436023
0.5194 0.423260
0.5244 0.399774
0.5294 0.420203
0.5344 0.416440
0.5394 0.431186
0.5444 0.421528
0.5494 0.400892
0.5544 0.359565
0.5594 0.342240
0.5644 0.359144
0.5693 0.357745
0.5743 0.333778
0.5793 0.307040
0.5843 0.324183
0.5893 0.323164
0.5943 0.260305
0.5993 0.238207
0.6043 0.259131
0.6093 0.243518
0.6143 0.224525
0.6193 0.248254
0.6243 0.230301
0.6293 0.205392
0.6343 0.192603
0.6393 0.158009
0.6443 0.125592
0.6493 0.109584
0.6543 0.121318
0.6593 0.117174
0.6643 0.088643
0.6693 0.089846
0.6742 0.075926
0.6792 0.090422
0.6842 0.074877
0.6892 0.041804
0.6942 0.046337
0.6992 0.047467
0.7042 0.029154
0.7092 0.067006
0.7142 0.027889
0.7192 0.036961
0.7242 0.057791
0.7292 0.040395
0.7342 0.008512
0.7392 -0.005420
0.7442 0.006294
0.7492 -0.002346
0.7542 -0.012696
0.7592 0.004977
0.7642 0.003524
0.7692 0.007433
0.7742 0.000728
0.7792 -0.045221
0.7841 -0.073772
0.7891 -0.061847
0.7941 -0.119827
0.7991 -0.079737
0.8041 -0.079136
0.8091 -0.116401
0.8141 -0.069205
0.8191 -0.112289
0.8241 -0.086834
0.8291 -0.114518
0.8341 -0.103660
0.8391 -0.096131
0.8441 -0.097148
0.8491 -0.145739
0.8541 -0.089956
0.8591 -0.085670
0.8641 -0.095262
0.8691 -0.091135
0.8741 -0.086814
0.8791 -0.076807
0.8841 -0.068931
0.8891 -0.085529
0.8940 -0.082055
0.8990 -0.104756
0.9040 -0.086107
0.9090 -0.038747
0.9140 -0.075188
0.9190 -0.060642
0.9240 -0.126860
0.9290 -0.070575
0.9340 -0.046936
0.9390 -0.061644
0.9440 -0.077575
0.9490 -0.080543
0.9540 -0.118841
0.9590 -0.059246
0.9640 -0.122212
0.9690 -0.051743
0.9740 -0.091065
0.9790 -0.048106
0.9840 -0.084288
0.9890 -0.097554
0.9940 -0.053899
0.9989 -0.078587
1.0039 -0.046494
1.0089 0.016695
1.0139 -0.052770
1.0189 -0.058041
1.0239 -0.075441
1.0289 -0.053530
1.0339 -0.070807
1.0389 -0.104957
1.0439 -0.050195
1.0489 -0.032930
1.0539 -0.044572
1.0589 -0.069172
1.0639 -0.079300
1.0689 -0.149712
1.0739 -0.104360
1.0789 -0.115767
1.0839 -0.091416
1.0889 -0.064055
1.0939 -0.096222
1.0989 -0.067497
1.1039 -0.016335
1.1088 -0.012327
1.1138 -0.021309
1.1188 0.015795
1.1238 -0.001665
1.1288 -0.021901
1.1338 -0.031241
1.1388 -0.027157
1.1438 -0.040777
1.1488 -0.046422
1.1538 -0.018332
1.1588 -0.013641
1.1638 -0.059819
1.1688 -0.021814
1.1738 -0.020217
1.1788 -0.010847
1.1838 -0.029139
1.1888 0.003220
1.1938 0.045179
1.1988 0.000000
1.2038 0.010082
1.2088 0.053656
1.2138 -0.016102
1.2187 0.014399
1.2237 0.052532
1.2287 0.019808
1.2337 0.062107
1.2387 0.024690
1.2437 0.018775
1.2487 0.030576
1.2537 0.020992
1.2587 0.020108
1.2637 -0.011961
1.2687 0.011691
1.2737 0.026811
1.2787 -0.025461
1.2837 0.038232
1.2887 0.004860
1.2937 0.051614
1.2987 0.013292
1.3037 0.042467
1.3087 0.026128
1.3137 -0.004041
1.3187 0.034831
1.3236 0.069764
1.3286 0.059092
1.3336 0.038933
1.3386 0.018729
1.3436 0.062252
1.3486 0.010433
1.3536 0.038237
1.3586 0.069048
1.3636 0.065719
1.3686 0.060226
1.3736 0.064394
1.3786 0.045718
1.3836 0.027121
1.3886 0.015699
1.3936 0.060266
1.3986 0.038003
1.4036 0.092440
1.4086 0.035743
1.4136 0.076469
1.4186 0.108683
1.4236 0.056445
1.4286 0.051463
1.4335 0.100839
1.4385 0.158305
1.4435 0.107683
1.4485 0.057514
1.4535 0.074268
1.4585 0.057702
1.4635 0.089016
1.4685 0.061665
1.4735 0.031805
1.4785 0.061842
1.4835 0.059153
1.4885 0.097360
1.4935 0.057893
1.4985 0.047515
1.5035 0.046122
1.5085 0.002665
1.5135 0.072759
1.5185 0.080540
1.5235 0.022553
1.5285 0.042942
1.5335 0.030415
1.5385 0.032310
1.5434 0.053549
1.5484 0.020814
