# Acetate(C2) -- Ca in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2656 6.681960
0.2696 4.264069
0.2736 2.156580
0.2776 0.567660
0.2816 -0.717940
0.2856 -1.773908
0.2896 -2.564358
0.2936 -3.151100
0.2976 -3.518766
0.3016 -3.667917
0.3056 -3.617901
0.3096 -3.463758
0.3136 -3.158695
0.3176 -2.773613
0.3216 -2.337359
0.3256 -1.919059
0.3296 -1.599380
0.3336 -1.373623
0.3376 -1.240577
0.3416 -1.224046
0.3455 -1.288559
0.3495 -1.389710
0.3535 -1.473541
0.3575 -1.498646
0.3615 -1.516410
0.3655 -1.512907
0.3695 -1.447238
0.3735 -1.309101
0.3775 -1.118392
0.3815 -0.842774
0.3855 -0.567462
0.3895 -0.205144
0.3935 0.175028
0.3975 0.551198
0.4015 0.907340
0.4055 1.276139
0.4095 1.623765
0.4135 1.754332
0.4175 1.894249
0.4215 1.983165
0.4255 1.865149
0.4295 1.762316
0.4335 1.670373
0.4375 1.539122
0.4414 1.335694
0.4454 1.195401
0.4494 1.025441
0.4534 0.876316
0.4574 0.773795
0.4614 0.562681
0.4654 0.383713
0.4694 0.274455
0.4734 0.169886
0.4774 0.043383
0.4814 -0.035102
0.4854 -0.167090
0.4894 -0.217196
0.4934 -0.308490
0.4974 -0.353703
0.5014 -0.443646
0.5054 -0.485211
0.5094 -0.533700
0.5134 -0.610189
0.5174 -0.616707
0.5214 -0.641534
0.5254 -0.653887
0.5293 -0.658683
0.5333 -0.713133
0.5373 -0.677717
0.5413 -0.664934
0.5453 -0.661236
0.5493 -0.655913
0.5533 -0.632471
0.5573 -0.619293
0.5613 -0.608254
0.5653 -0.633812
0.5693 -0.593759
0.5733 -0.621302
0.5773 -0.612764
0.5813 -0.599116
0.5853 -0.589597
0.5893 -0.531927
0.5933 -0.503885
0.5973 -0.490281
0.6013 -0.436407
0.6053 -0.417395
0.6093 -0.358697
0.6133 -0.338430
0.6173 -0.303701
0.6213 -0.270626
0.6252 -0.198913
0.6292 -0.179190
0.6332 -0.085751
0.6372 -0.093996
0.6412 -0.011301
0.6452 0.069278
0.6492 0.115105
0.6532 0.112462
0.6572 0.098694
0.6612 0.109000
0.6652 0.126369
0.6692 0.158642
0.6732 0.095831
0.6772 0.135285
0.6812 0.125136
0.6852 0.091686
0.6892 0.095770
0.6932 0.097650
0.6972 0.080490
0.7012 0.019890
0.7052 0.078076
0.7092 0.042772
0.7132 0.051549
0.7171 0.033285
0.7211 0.041325
0.7251 0.037082
0.7291 0.007412
0.7331 -0.008026
0.7371 -0.027177
0.7411 -0.087344
