# Acetate(C2) -- Ca in GB**
# r0[nm] k[kCal/mol/nm^2]
0.2592 5.651235
0.2632 3.571276
0.2672 1.833437
0.2712 0.503734
0.2752 -0.450729
0.2792 -1.039616
0.2832 -1.465951
0.2872 -1.712780
0.2912 -1.855361
0.2952 -1.917796
0.2992 -1.884442
0.3032 -1.806975
0.3072 -1.639114
0.3112 -1.450654
0.3152 -1.349505
0.3192 -1.288195
0.3232 -1.354717
0.3272 -1.492015
0.3312 -1.653453
0.3352 -1.706620
0.3392 -1.704704
0.3432 -1.610756
0.3472 -1.500248
0.3512 -1.334448
0.3552 -1.150603
0.3592 -0.987794
0.3632 -0.743875
0.3672 -0.574433
0.3712 -0.295315
0.3752 -0.030378
0.3792 0.254739
0.3832 0.461101
0.3872 0.648888
0.3912 0.799784
0.3952 1.010623
0.3992 0.887616
0.4032 0.845425
0.4072 0.686750
0.4112 0.489989
0.4152 0.287313
0.4192 0.117889
0.4232 -0.031153
0.4272 -0.207432
0.4312 -0.328278
0.4352 -0.451957
0.4392 -0.645831
0.4432 -0.741132
0.4473 -0.826877
0.4513 -0.867698
0.4553 -0.854964
0.4593 -0.869811
0.4633 -0.849759
0.4673 -0.843143
0.4713 -0.861494
0.4753 -0.850105
0.4793 -0.826151
0.4833 -0.814019
0.4873 -0.805264
0.4913 -0.801498
0.4953 -0.821373
0.4993 -0.807397
0.5033 -0.774706
0.5073 -0.764958
0.5113 -0.731241
0.5153 -0.754990
0.5193 -0.719914
0.5233 -0.714755
0.5273 -0.741942
0.5313 -0.741445
0.5353 -0.742068
0.5393 -0.750636
0.5433 -0.790017
0.5473 -0.766393
0.5513 -0.747837
0.5553 -0.761063
0.5593 -0.752465
0.5633 -0.751838
0.5673 -0.806755
0.5713 -0.745725
0.5753 -0.762922
0.5793 -0.714312
0.5833 -0.675539
0.5873 -0.684550
0.5913 -0.662522
0.5953 -0.639933
0.5993 -0.591896
0.6033 -0.585872
0.6073 -0.530321
0.6113 -0.510169
0.6153 -0.448378
0.6193 -0.418819
0.6233 -0.393733
0.6273 -0.393506
0.6313 -0.286827
0.6353 -0.255407
0.6393 -0.197240
0.6433 -0.136830
0.6473 -0.109006
0.6513 -0.054627
0.6553 -0.023278
0.6593 -0.024667
0.6633 -0.037735
0.6673 0.017024
0.6713 -0.043378
0.6753 -0.042756
0.6793 -0.056126
0.6833 -0.061063
0.6873 -0.036921
0.6913 -0.067260
0.6953 -0.092147
0.6993 -0.047912
0.7033 -0.085482
0.7073 -0.072286
0.7113 -0.139735
0.7153 -0.137700
0.7193 -0.175355
0.7233 -0.183800
0.7273 -0.182497
0.7313 -0.198237
0.7353 -0.192134
