# Acetate(C2) -- Ca in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2449 inf
0.2499 inf
0.2549 10.417888
0.2599 8.707047
0.2649 5.694341
0.2699 3.303116
0.2749 1.348702
0.2799 -0.304383
0.2849 -1.714958
0.2899 -2.767573
0.2949 -3.447126
0.2998 -3.786705
0.3048 -3.805009
0.3098 -3.565603
0.3148 -3.147958
0.3198 -2.590131
0.3248 -2.010805
0.3298 -1.533677
0.3348 -1.299408
0.3398 -1.209174
0.3448 -1.321009
0.3498 -1.463821
0.3548 -1.597235
0.3598 -1.604057
0.3648 -1.622579
0.3697 -1.543306
0.3747 -1.378089
0.3797 -1.072464
0.3847 -0.707338
0.3897 -0.261986
0.3947 0.206343
0.3997 0.680359
0.4047 1.168524
0.4097 1.564131
0.4147 1.865245
0.4197 1.929866
0.4247 1.972511
0.4297 1.771102
0.4347 1.604141
0.4397 1.415030
0.4446 1.157418
0.4496 0.949847
0.4546 0.748671
0.4596 0.537403
0.4646 0.343019
0.4696 0.168661
0.4746 0.012893
0.4796 -0.122024
0.4846 -0.257681
0.4896 -0.377254
0.4946 -0.493932
0.4996 -0.566951
0.5046 -0.612788
0.5096 -0.690466
0.5146 -0.751486
0.5195 -0.760524
0.5245 -0.787945
0.5295 -0.790424
0.5345 -0.800315
0.5395 -0.759774
0.5445 -0.804045
0.5495 -0.767232
0.5545 -0.740399
0.5595 -0.751791
0.5645 -0.733534
0.5695 -0.704861
0.5745 -0.732054
0.5795 -0.669279
0.5845 -0.657772
0.5895 -0.655432
0.5944 -0.587855
0.5994 -0.574048
0.6044 -0.529150
0.6094 -0.487246
0.6144 -0.421644
0.6194 -0.367136
0.6244 -0.321621
0.6294 -0.298189
0.6344 -0.228363
0.6394 -0.176286
0.6444 -0.081302
0.6494 -0.046362
0.6544 -0.034793
0.6594 -0.021823
0.6644 -0.024127
0.6693 0.006471
0.6743 -0.005643
0.6793 0.006480
0.6843 -0.012059
0.6893 -0.024334
0.6943 -0.058364
0.6993 -0.063027
0.7043 -0.072223
0.7093 -0.067988
0.7143 -0.114553
0.7193 -0.096952
0.7243 -0.105216
0.7293 -0.112754
0.7343 -0.157171
0.7393 -0.159399
0.7442 -0.193752
0.7492 -0.197229
0.7542 -0.206560
0.7592 -0.165388
0.7642 -0.203287
0.7692 -0.222327
0.7742 -0.208509
0.7792 -0.211082
0.7842 -0.171160
0.7892 -0.211674
0.7942 -0.206725
0.7992 -0.144216
0.8042 -0.132680
0.8092 -0.177194
0.8142 -0.222054
0.8191 -0.098138
0.8241 -0.112802
0.8291 -0.121441
0.8341 -0.089893
0.8391 -0.114023
0.8441 -0.088378
0.8491 -0.038276
0.8541 -0.068231
0.8591 0.013128
0.8641 -0.050705
0.8691 -0.063895
0.8741 -0.003318
0.8791 -0.022075
0.8841 -0.077155
0.8891 -0.013055
0.8940 -0.047124
0.8990 -0.005989
0.9040 0.011356
0.9090 -0.030661
0.9140 -0.030250
0.9190 -0.034310
0.9240 -0.008983
0.9290 -0.027515
0.9340 -0.053645
0.9390 -0.042075
0.9440 -0.014269
0.9490 -0.038412
0.9540 -0.045657
0.9590 -0.048248
0.9640 -0.046324
0.9689 -0.083404
0.9739 -0.073721
0.9789 -0.082364
0.9839 -0.081255
0.9889 -0.054682
0.9939 -0.086840
0.9989 -0.093788
1.0039 -0.120311
1.0089 -0.095307
1.0139 -0.043158
1.0189 -0.071103
1.0239 -0.099010
1.0289 -0.093478
1.0339 -0.111223
1.0389 -0.067890
1.0438 -0.083297
1.0488 -0.085299
1.0538 -0.066373
1.0588 -0.017232
1.0638 -0.079558
1.0688 -0.054119
1.0738 -0.083461
1.0788 -0.082610
1.0838 -0.084339
1.0888 -0.047653
1.0938 -0.048459
1.0988 -0.064395
1.1038 -0.037875
1.1088 -0.029484
1.1138 0.019626
1.1187 0.044980
1.1237 0.052199
1.1287 0.036932
1.1337 0.003210
1.1387 0.008540
1.1437 -0.001516
1.1487 0.017808
1.1537 0.043288
1.1587 0.031443
1.1637 0.040702
1.1687 0.002406
1.1737 0.023407
1.1787 0.019235
1.1837 0.004569
1.1887 0.007242
1.1936 -0.007120
1.1986 0.000000
1.2036 -0.018501
1.2086 -0.021440
1.2136 0.025248
1.2186 0.026227
1.2236 -0.019908
1.2286 -0.011852
1.2336 0.013142
1.2386 -0.009324
1.2436 -0.027531
1.2486 -0.054396
1.2536 -0.029566
1.2586 -0.014859
1.2636 0.004591
1.2685 0.007991
1.2735 -0.039173
1.2785 -0.005650
1.2835 -0.053127
1.2885 -0.052383
1.2935 0.025337
1.2985 -0.015586
1.3035 -0.014543
1.3085 -0.022892
1.3135 -0.031126
1.3185 0.042046
1.3235 -0.017162
1.3285 -0.051879
1.3335 -0.038161
1.3385 -0.022050
1.3434 -0.050337
1.3484 -0.014491
1.3534 -0.059452
1.3584 -0.041107
1.3634 -0.050000
1.3684 -0.061699
1.3734 -0.007284
1.3784 -0.025376
1.3834 -0.090215
1.3884 -0.045588
1.3934 -0.067839
1.3984 -0.061172
1.4034 -0.054502
1.4084 -0.014778
1.4134 -0.026492
