# Acetate(C2) -- Ca in MM*
# r0[nm] k[kCal/mol/nm^2]
0.2554 7.164150
0.2594 4.265931
0.2634 2.477085
0.2674 1.297296
0.2714 0.431590
0.2754 -0.244079
0.2794 -0.750687
0.2834 -1.143123
0.2874 -1.430563
0.2914 -1.599228
0.2954 -1.655746
0.2994 -1.623386
0.3034 -1.525025
0.3074 -1.325084
0.3114 -1.143751
0.3154 -0.964124
0.3194 -0.992598
0.3234 -1.054534
0.3274 -1.125472
0.3314 -1.267436
0.3354 -1.383043
0.3394 -1.492208
0.3434 -1.436733
0.3474 -1.321159
0.3514 -1.160945
0.3554 -0.976868
0.3594 -0.772470
0.3634 -0.494241
0.3674 -0.284400
0.3714 -0.048316
0.3754 0.198751
0.3794 0.424767
0.3834 0.693314
0.3874 0.950768
0.3914 1.151670
0.3954 1.237127
0.3994 1.316991
0.4034 1.138891
0.4074 0.990200
0.4114 0.789123
0.4154 0.639440
0.4194 0.471982
0.4234 0.320661
0.4274 0.235378
0.4314 0.078939
0.4354 -0.044500
0.4394 -0.185080
0.4435 -0.281633
0.4475 -0.397078
0.4515 -0.416695
0.4555 -0.499650
0.4595 -0.521707
0.4635 -0.629808
0.4675 -0.689846
0.4715 -0.724921
0.4755 -0.751688
0.4795 -0.789587
0.4835 -0.837373
0.4875 -0.839956
0.4915 -0.823589
0.4955 -0.852051
0.4995 -0.818646
0.5035 -0.786361
0.5075 -0.776228
0.5115 -0.760301
0.5155 -0.726553
0.5195 -0.711671
0.5235 -0.685989
0.5275 -0.659837
0.5315 -0.670793
0.5355 -0.628807
0.5395 -0.611654
0.5435 -0.595030
0.5475 -0.591297
0.5515 -0.571990
0.5555 -0.554741
0.5595 -0.506849
0.5635 -0.493127
0.5675 -0.476770
0.5715 -0.438373
0.5755 -0.442076
0.5795 -0.425106
0.5835 -0.403012
0.5875 -0.344647
0.5915 -0.352604
0.5955 -0.345007
0.5995 -0.291786
0.6035 -0.263699
0.6075 -0.233772
0.6115 -0.216602
0.6155 -0.219839
0.6195 -0.117368
0.6235 -0.106547
0.6275 -0.036159
0.6315 -0.006386
0.6355 -0.001388
0.6395 0.072225
0.6435 0.075835
0.6475 0.103674
0.6515 0.151380
0.6555 0.147915
0.6595 0.148240
0.6635 0.166533
0.6675 0.182973
0.6715 0.182195
0.6755 0.158757
0.6795 0.180738
0.6835 0.168959
0.6875 0.180566
0.6915 0.130131
0.6955 0.099354
0.6995 0.099477
0.7035 0.088175
0.7075 0.052001
0.7115 0.021883
0.7155 0.008505
0.7195 0.010008
0.7235 -0.007135
0.7275 0.000687
0.7315 -0.040822
0.7355 -0.027592
0.7395 -0.040730
0.7435 -0.056556
0.7475 -0.072579
0.7515 -0.085056
0.7555 -0.075711
0.7595 -0.074992
0.7635 -0.068121
0.7675 -0.053616
0.7715 -0.096165
0.7755 -0.093800
0.7795 0.001609
0.7835 0.007904
0.7875 0.012316
0.7915 -0.071158
0.7955 -0.058831
0.7995 -0.006498
0.8035 -0.037654
0.8075 -0.021185
0.8115 0.026793
0.8155 -0.074919
0.8195 -0.006398
0.8235 0.055121
0.8275 0.005412
0.8315 0.005929
0.8355 0.046239
0.8395 -0.048517
0.8435 0.011851
0.8475 0.017583
0.8515 0.008300
0.8555 0.073666
0.8595 0.025143
0.8635 0.037411
0.8675 0.010709
0.8715 0.004923
0.8755 -0.045504
0.8795 0.017893
0.8835 -0.010385
0.8875 0.036366
0.8915 0.028345
0.8955 -0.016618
0.8995 0.046657
0.9035 -0.001652
0.9075 0.017873
0.9115 0.034352
0.9155 0.010073
0.9195 0.030698
0.9235 0.027183
0.9275 0.041473
0.9315 0.032354
0.9355 0.018415
0.9395 0.031980
0.9436 0.000397
0.9476 0.083616
0.9516 0.059225
0.9556 0.037931
0.9596 -0.003071
0.9636 0.023235
0.9676 0.068597
0.9716 -0.015252
0.9756 0.003771
0.9796 -0.022780
0.9836 0.043147
0.9876 -0.013857
0.9916 -0.010840
0.9956 -0.006521
0.9996 -0.028287
1.0036 -0.031260
1.0076 -0.033151
1.0116 -0.016070
1.0156 -0.016552
1.0196 -0.095103
1.0236 -0.033325
1.0276 -0.070737
1.0316 -0.030507
1.0356 -0.004641
1.0396 -0.040755
1.0436 -0.080304
1.0476 -0.022840
1.0516 -0.086714
1.0556 -0.034084
1.0596 -0.044381
1.0636 -0.062079
1.0676 -0.061993
1.0716 -0.065005
1.0756 -0.067835
1.0796 -0.050257
1.0836 -0.022777
1.0876 -0.044804
1.0916 -0.038650
1.0956 0.020328
1.0996 0.009360
1.1036 -0.032323
1.1076 -0.019793
1.1116 0.030289
1.1156 0.042315
1.1196 0.047506
1.1236 -0.016634
1.1276 0.001692
1.1316 -0.001999
1.1356 -0.005878
1.1396 -0.002569
1.1436 -0.010067
1.1476 -0.089709
1.1516 -0.050956
1.1556 -0.035385
1.1596 -0.012456
1.1636 0.008690
1.1676 -0.016593
1.1716 -0.006944
1.1756 0.021680
1.1796 0.003010
1.1836 -0.014998
1.1876 -0.048524
1.1916 -0.009267
1.1956 -0.010065
1.1996 0.000000
1.2036 -0.015932
1.2076 -0.056038
1.2116 -0.035740
1.2156 0.015462
1.2196 -0.071996
1.2236 0.000060
1.2276 -0.067428
1.2316 -0.038124
1.2356 -0.049198
1.2396 -0.092249
1.2436 -0.033619
1.2476 -0.042351
1.2516 -0.073659
1.2556 -0.021190
1.2596 -0.061122
1.2636 -0.044339
1.2676 -0.031574
1.2716 -0.028025
1.2756 -0.005984
1.2796 -0.045632
1.2836 -0.019577
1.2876 -0.026934
1.2916 -0.016234
1.2956 -0.057220
1.2996 -0.085585
1.3036 -0.038078
1.3076 0.010977
1.3116 -0.023547
1.3156 0.032968
1.3196 -0.043880
1.3236 -0.028348
1.3276 -0.026774
1.3316 -0.037947
1.3356 0.023315
1.3396 0.006326
1.3436 -0.005223
1.3476 0.024636
1.3516 -0.039791
1.3556 -0.010796
1.3596 0.040457
1.3636 0.019967
1.3676 0.010598
1.3716 0.040432
1.3756 0.002200
1.3796 -0.033758
1.3836 0.035134
1.3876 0.031361
1.3916 -0.006284
1.3956 -0.000563
1.3996 0.035723
1.4036 -0.025062
1.4076 0.026367
1.4116 0.005493
1.4156 0.006627
1.4196 -0.044486
1.4236 -0.008685
1.4276 0.001351
1.4317 -0.036607
1.4357 -0.029088
1.4397 -0.042069
1.4437 0.021436
1.4477 -0.009674
1.4517 -0.006656
1.4557 -0.043058
1.4597 -0.029528
1.4637 0.003827
1.4677 0.011640
1.4717 -0.050887
1.4757 0.008068
1.4797 0.033706
1.4837 -0.043455
1.4877 -0.061791
1.4917 0.016177
1.4957 0.017909
1.4997 -0.006861
1.5037 -0.010634
1.5077 0.010900
1.5117 0.028194
1.5157 -0.011832
1.5197 -0.058262
1.5237 0.014110
1.5277 -0.033435
1.5317 0.008032
1.5357 0.015895
1.5397 -0.025004
1.5437 -0.000203
1.5477 0.014182
