# Acetate(C2) (STEPs-SOL) -- Na (Amber03) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2829 -0.806639
0.2879 -1.052963
0.2929 -1.209463
0.2979 -1.213016
0.3029 -1.199588
0.3079 -1.196665
0.3129 -1.194413
0.3179 -1.203334
0.3229 -1.222196
0.3279 -1.244617
0.3329 -1.266369
0.3379 -1.288933
0.3429 -1.322270
0.3479 -1.358939
0.3529 -1.390940
0.3579 -1.432681
0.3629 -1.482101
0.3679 -1.518073
0.3729 -1.541940
0.3779 -1.568094
0.3829 -1.586967
0.3879 -1.590808
0.3929 -1.597903
0.3979 -1.609578
0.4029 -1.615883
0.4079 -1.615627
0.4129 -1.606773
0.4179 -1.594627
0.4229 -1.584173
0.4279 -1.572457
0.4329 -1.562381
0.4379 -1.551790
0.4429 -1.527079
0.4479 -1.487222
0.4529 -1.451546
0.4579 -1.427573
0.4629 -1.402316
0.4679 -1.374047
0.4729 -1.351767
0.4779 -1.332674
0.4829 -1.311457
0.4879 -1.290646
0.4929 -1.278097
0.4979 -1.271530
0.5029 -1.250547
0.5079 -1.217203
0.5129 -1.193559
0.5179 -1.178256
0.5229 -1.160950
0.5279 -1.132741
0.5329 -1.080042
0.5379 -1.018534
0.5429 -0.965261
0.5479 -0.928304
0.5529 -0.893433
0.5579 -0.853582
0.5629 -0.819625
0.5679 -0.781304
0.5729 -0.731730
0.5779 -0.672200
0.5829 -0.613065
0.5879 -0.559356
0.5929 -0.513350
0.5979 -0.474452
0.6029 -0.433514
0.6079 -0.392002
0.6129 -0.359523
0.6179 -0.330086
0.6229 -0.296189
0.6279 -0.270193
0.6329 -0.247615
0.6379 -0.218640
0.6429 -0.183208
0.6479 -0.156723
0.6529 -0.158456
0.6579 -0.178426
0.6629 -0.195852
0.6679 -0.204581
0.6729 -0.209347
0.6779 -0.214868
0.6829 -0.218523
0.6879 -0.229029
0.6929 -0.248653
0.6979 -0.269563
0.7029 -0.290061
0.7079 -0.303087
0.7129 -0.298018
0.7179 -0.289383
0.7229 -0.297486
0.7279 -0.319756
0.7329 -0.344647
0.7379 -0.360661
0.7429 -0.359435
0.7479 -0.340034
0.7529 -0.319567
0.7579 -0.317029
0.7629 -0.325608
0.7679 -0.338331
0.7729 -0.351039
0.7779 -0.362950
0.7829 -0.369596
0.7879 -0.356856
0.7929 -0.328412
0.7979 -0.311977
0.8029 -0.307247
0.8079 -0.301802
0.8129 -0.301862
0.8179 -0.313006
0.8229 -0.318677
0.8279 -0.313973
0.8329 -0.303060
0.8379 -0.271374
0.8429 -0.237889
0.8479 -0.216585
0.8529 -0.202829
0.8579 -0.194143
0.8629 -0.181560
0.8679 -0.155427
0.8729 -0.123035
0.8779 -0.092061
0.8829 -0.083005
0.8879 -0.095341
0.8929 -0.116577
0.8979 -0.144183
0.9029 -0.159224
0.9079 -0.155438
0.9129 -0.154439
0.9179 -0.160697
0.9229 -0.170457
0.9279 -0.186660
0.9329 -0.192854
0.9379 -0.185881
0.9429 -0.181669
0.9479 -0.177371
0.9529 -0.176242
0.9579 -0.183134
0.9629 -0.174535
0.9679 -0.148715
0.9729 -0.127101
0.9779 -0.109193
0.9829 -0.094854
0.9879 -0.084071
0.9929 -0.073460
0.9979 -0.060524
1.0029 -0.055860
1.0079 -0.067363
1.0129 -0.080423
1.0179 -0.089422
1.0229 -0.085096
1.0279 -0.080258
1.0329 -0.083951
1.0379 -0.090048
1.0429 -0.095688
1.0479 -0.088259
1.0529 -0.066204
1.0579 -0.050243
1.0629 -0.045147
1.0679 -0.033535
1.0729 -0.015882
1.0779 -0.004226
1.0829 0.003818
1.0879 0.011128
1.0929 -0.000257
1.0979 -0.014028
1.1029 -0.015283
1.1079 -0.009863
1.1129 0.004656
1.1179 0.018024
1.1229 0.029987
1.1279 0.036608
1.1329 0.042050
1.1379 0.052233
1.1429 0.070038
1.1479 0.076250
1.1529 0.061817
1.1579 0.045930
1.1629 0.038585
1.1679 0.041754
1.1729 0.046232
1.1779 0.041092
1.1829 0.026620
1.1879 0.014594
1.1929 0.016915
1.1979 0.016912
