# Acetate(C2) -- Cl in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2854 25.930091
0.2894 24.516007
0.2934 21.934891
0.2974 19.680182
0.3014 17.778105
0.3054 16.136419
0.3094 14.673479
0.3134 13.384425
0.3174 12.249225
0.3214 11.271110
0.3254 10.385347
0.3294 9.616029
0.3334 8.939629
0.3373 8.320512
0.3413 7.738846
0.3453 7.280605
0.3493 6.847307
0.3533 6.403880
0.3573 6.078097
0.3613 5.735026
0.3653 5.464993
0.3693 5.194042
0.3733 4.903853
0.3773 4.708726
0.3813 4.491013
0.3853 4.262365
0.3893 4.064151
0.3933 3.907494
0.3973 3.733494
0.4013 3.587627
0.4053 3.475939
0.4093 3.314153
0.4133 3.196664
0.4173 3.052037
0.4213 2.908764
0.4253 2.795988
0.4293 2.674529
0.4333 2.582565
0.4372 2.510744
0.4412 2.434903
0.4452 2.326181
0.4492 2.236785
0.4532 2.124665
0.4572 2.071696
0.4612 1.970499
0.4652 1.888851
0.4692 1.862916
0.4732 1.752099
0.4772 1.680049
0.4812 1.632013
0.4852 1.577511
0.4892 1.493076
0.4932 1.460715
0.4972 1.414114
0.5012 1.346015
0.5052 1.282320
0.5092 1.209620
0.5132 1.186564
0.5172 1.185871
0.5212 1.107962
0.5252 1.133927
0.5292 1.091333
0.5332 0.999716
0.5372 0.973560
0.5411 0.941313
0.5451 0.868734
0.5491 0.896335
0.5531 0.885292
0.5571 0.801147
0.5611 0.803916
0.5651 0.840535
0.5691 0.766165
0.5731 0.769526
0.5771 0.702454
0.5811 0.720867
0.5851 0.667523
0.5891 0.662210
0.5931 0.619369
0.5971 0.633183
0.6011 0.573835
0.6051 0.597638
0.6091 0.578756
0.6131 0.553403
0.6171 0.585465
0.6211 0.536738
0.6251 0.543718
0.6291 0.498741
0.6331 0.499337
0.6371 0.479835
0.6410 0.463510
0.6450 0.428595
0.6490 0.403031
0.6530 0.422368
0.6570 0.441503
0.6610 0.395577
0.6650 0.430135
0.6690 0.407325
0.6730 0.414902
0.6770 0.426549
0.6810 0.359350
0.6850 0.386655
0.6890 0.357593
0.6930 0.379013
0.6970 0.343104
0.7010 0.347527
0.7050 0.353474
0.7090 0.340802
0.7130 0.312052
0.7170 0.292534
0.7210 0.275936
0.7250 0.300885
0.7290 0.294749
0.7330 0.336485
0.7369 0.317545
0.7409 0.301747
0.7449 0.310407
0.7489 0.274386
0.7529 0.241173
0.7569 0.236480
0.7609 0.203813
0.7649 0.231984
0.7689 0.250877
0.7729 0.243391
0.7769 0.221766
0.7809 0.245593
0.7849 0.242801
0.7889 0.297389
0.7929 0.206718
0.7969 0.194987
0.8009 0.249863
0.8049 0.213013
0.8089 0.217863
0.8129 0.180633
0.8169 0.155744
0.8209 0.220768
0.8249 0.199955
0.8289 0.171987
0.8329 0.247277
0.8369 0.194066
0.8408 0.211798
0.8448 0.198849
0.8488 0.181809
0.8528 0.156481
0.8568 0.148989
0.8608 0.188513
0.8648 0.141613
0.8688 0.138476
0.8728 0.120809
0.8768 0.101620
0.8808 0.080997
0.8848 0.062165
0.8888 0.115835
0.8928 0.093037
0.8968 0.159281
0.9008 0.141414
0.9048 0.165293
0.9088 0.135740
0.9128 0.125990
0.9168 0.167876
0.9208 0.169560
0.9248 0.154598
0.9288 0.133532
0.9328 0.163351
0.9368 0.135302
0.9407 0.176745
0.9447 0.131977
0.9487 0.154368
0.9527 0.107254
0.9567 0.152089
0.9607 0.107850
0.9647 0.142428
0.9687 0.089672
0.9727 0.127955
0.9767 0.088295
0.9807 0.073303
0.9847 0.065580
0.9887 0.070736
0.9927 0.083330
0.9967 0.065832
1.0007 0.045476
1.0047 0.020340
1.0087 0.086464
1.0127 0.032680
1.0167 0.080437
1.0207 0.049759
1.0247 0.098595
1.0287 0.073269
1.0327 0.102869
1.0367 0.110572
1.0406 0.104024
1.0446 0.065403
1.0486 0.101106
1.0526 0.084734
1.0566 0.035570
1.0606 0.077884
1.0646 0.054474
1.0686 0.056512
1.0726 0.058556
1.0766 0.085437
1.0806 0.024047
1.0846 0.051367
1.0886 0.001941
1.0926 0.023307
1.0966 0.028812
1.1006 0.034603
1.1046 -0.000913
1.1086 0.073041
1.1126 -0.014258
1.1166 -0.005786
1.1206 -0.025914
1.1246 0.020392
1.1286 -0.014770
1.1326 -0.003599
1.1366 -0.016893
1.1405 0.006951
1.1445 -0.087467
1.1485 -0.024147
1.1525 -0.016194
1.1565 -0.030384
1.1605 -0.005686
1.1645 -0.007082
1.1685 -0.010957
1.1725 -0.023153
1.1765 -0.037371
1.1805 -0.014926
1.1845 -0.027804
1.1885 -0.006979
1.1925 -0.035273
1.1965 -0.014776
1.2005 0.000000
1.2045 0.011058
1.2085 -0.027727
1.2125 -0.052029
1.2165 -0.020983
1.2205 -0.052628
1.2245 0.026003
1.2285 -0.036012
1.2325 -0.071200
1.2365 -0.030433
1.2404 -0.054518
1.2444 -0.073340
1.2484 -0.061162
1.2524 -0.024337
1.2564 -0.082440
1.2604 -0.045181
1.2644 -0.071858
1.2684 -0.048900
1.2724 -0.120204
1.2764 -0.089926
1.2804 -0.041287
1.2844 -0.034350
1.2884 -0.082083
1.2924 -0.051146
1.2964 -0.055204
1.3004 -0.000766
1.3044 -0.069911
1.3084 -0.037881
1.3124 -0.039411
