# Acetate(C2) -- Cl in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2974 18.521284
0.3014 16.588696
0.3054 14.890862
0.3094 13.456698
0.3134 12.157621
0.3174 11.028479
0.3214 10.010930
0.3254 9.127308
0.3294 8.328841
0.3334 7.643844
0.3374 6.995056
0.3414 6.439722
0.3454 5.943514
0.3493 5.450215
0.3533 5.028283
0.3573 4.665309
0.3613 4.295174
0.3653 3.941168
0.3693 3.610746
0.3733 3.342648
0.3773 3.096740
0.3813 2.823801
0.3853 2.634073
0.3893 2.432681
0.3933 2.223980
0.3973 2.064691
0.4013 1.945122
0.4053 1.792167
0.4093 1.697508
0.4133 1.553563
0.4173 1.396244
0.4213 1.322641
0.4253 1.181129
0.4293 1.141365
0.4333 1.031760
0.4373 0.932890
0.4413 0.832127
0.4453 0.819988
0.4493 0.732470
0.4533 0.700021
0.4573 0.629935
0.4613 0.563303
0.4653 0.496142
0.4693 0.473561
0.4733 0.402314
0.4773 0.370365
0.4812 0.322173
0.4852 0.262260
0.4892 0.218590
0.4932 0.147661
0.4972 0.135650
0.5012 0.065379
0.5052 0.057838
0.5092 0.052671
0.5132 0.008681
0.5172 -0.035524
0.5212 -0.045967
0.5252 -0.082113
0.5292 -0.049247
0.5332 -0.084442
0.5372 -0.061110
0.5412 -0.049380
0.5452 -0.026168
0.5492 -0.065863
0.5532 -0.048611
0.5572 -0.077631
0.5612 -0.058370
0.5652 -0.040475
0.5692 0.021257
0.5732 0.054728
0.5772 0.056298
0.5812 0.111065
0.5852 0.112466
0.5892 0.143960
0.5932 0.147618
0.5972 0.137557
0.6012 0.147080
0.6052 0.130392
0.6092 0.203861
0.6131 0.194719
0.6171 0.205720
0.6211 0.239273
0.6251 0.283412
0.6291 0.240270
0.6331 0.252147
0.6371 0.256878
0.6411 0.273089
0.6451 0.287860
0.6491 0.306132
0.6531 0.310717
0.6571 0.273676
0.6611 0.238647
0.6651 0.193594
0.6691 0.213832
0.6731 0.141438
0.6771 0.174748
0.6811 0.144437
0.6851 0.124234
0.6891 0.103859
0.6931 0.112801
0.6971 0.116072
0.7011 0.047814
0.7051 0.038345
0.7091 0.014930
0.7131 0.005728
0.7171 0.027817
0.7211 0.020810
0.7251 -0.029569
0.7291 -0.052603
0.7331 -0.050397
0.7371 -0.109156
0.7411 -0.114410
0.7451 -0.107255
0.7490 -0.072312
0.7530 -0.061331
0.7570 -0.032396
0.7610 -0.091605
0.7650 -0.040095
0.7690 -0.074548
0.7730 -0.133767
0.7770 -0.162538
0.7810 -0.122178
0.7850 -0.140042
0.7890 -0.106493
0.7930 -0.101451
0.7970 -0.083544
0.8010 -0.139470
0.8050 -0.087598
0.8090 -0.111010
0.8130 -0.128247
0.8170 -0.133271
0.8210 -0.107520
0.8250 -0.146999
0.8290 -0.128634
0.8330 -0.172439
0.8370 -0.128480
0.8410 -0.159329
0.8450 -0.115291
0.8490 -0.122147
0.8530 -0.020490
0.8570 -0.017657
0.8610 -0.126134
0.8650 -0.019932
0.8690 -0.012411
0.8730 -0.015723
0.8770 0.022090
0.8809 0.042696
0.8849 0.097147
0.8889 0.000344
0.8929 -0.003830
0.8969 -0.031423
0.9009 -0.058320
0.9049 -0.034097
0.9089 -0.045449
0.9129 -0.067474
0.9169 -0.088870
0.9209 -0.106330
0.9249 -0.087161
0.9289 -0.146535
0.9329 -0.125083
0.9369 -0.106906
0.9409 -0.145128
0.9449 -0.124320
0.9489 -0.151122
0.9529 -0.105817
0.9569 -0.117100
0.9609 -0.141131
0.9649 -0.035205
0.9689 -0.046091
0.9729 -0.096326
0.9769 -0.071337
0.9809 -0.047540
0.9849 -0.081158
0.9889 -0.121474
0.9929 -0.038960
0.9969 -0.041982
1.0009 -0.018478
1.0049 -0.083438
1.0089 -0.085695
1.0128 -0.091513
1.0168 -0.089267
1.0208 -0.053811
1.0248 -0.058370
1.0288 -0.066198
1.0328 -0.041422
1.0368 -0.027066
1.0408 -0.053327
1.0448 -0.040557
1.0488 -0.124733
1.0528 -0.096798
1.0568 -0.040289
1.0608 -0.077243
1.0648 -0.067291
1.0688 -0.030908
1.0728 -0.047270
1.0768 -0.077308
1.0808 -0.017904
1.0848 -0.042198
1.0888 0.004895
1.0928 -0.022324
1.0968 -0.013294
1.1008 -0.029781
1.1048 -0.039903
1.1088 0.039446
1.1128 -0.008359
1.1168 0.001292
1.1208 0.071369
1.1248 0.070003
1.1288 0.052703
1.1328 0.064247
1.1368 0.017210
1.1408 0.064616
1.1447 0.033881
1.1487 0.084647
1.1527 0.100396
1.1567 0.104933
1.1607 0.011988
1.1647 0.063697
1.1687 0.011168
1.1727 0.035349
1.1767 0.031239
1.1807 -0.048766
1.1847 -0.037613
1.1887 -0.013211
1.1927 -0.051880
1.1967 0.015731
1.2007 0.000000
1.2047 -0.042872
1.2087 -0.025351
1.2127 -0.045607
1.2167 -0.021621
1.2207 -0.059498
1.2247 -0.068264
1.2287 0.003937
1.2327 -0.072094
1.2367 -0.077715
1.2407 -0.116728
1.2447 -0.078321
1.2487 -0.057681
1.2527 -0.079711
1.2567 -0.065727
1.2607 -0.121075
1.2647 -0.103841
1.2687 -0.101809
1.2727 -0.062551
1.2767 -0.095598
1.2806 -0.047902
1.2846 -0.108426
1.2886 -0.095135
1.2926 -0.092018
1.2966 -0.108372
1.3006 -0.136098
1.3046 -0.115695
1.3086 -0.094371
1.3126 -0.042468
1.3166 -0.129087
1.3206 -0.015273
1.3246 -0.034616
1.3286 -0.004283
1.3326 -0.094536
1.3366 -0.091123
1.3406 -0.046171
1.3446 -0.088468
1.3486 -0.065307
1.3526 -0.070839
1.3566 -0.134334
1.3606 -0.095919
1.3646 -0.106014
1.3686 -0.127133
1.3726 -0.053756
1.3766 -0.057392
1.3806 -0.090706
1.3846 -0.088008
1.3886 -0.070963
1.3926 -0.043506
1.3966 -0.071537
1.4006 -0.040885
1.4046 -0.036313
1.4086 -0.074216
1.4125 -0.081300
1.4165 -0.052167
1.4205 -0.093228
1.4245 -0.087408
1.4285 -0.100296
1.4325 -0.067024
1.4365 -0.107666
1.4405 -0.059169
1.4445 -0.066324
1.4485 -0.058840
1.4525 -0.077741
1.4565 -0.090284
1.4605 -0.090602
1.4645 -0.118085
1.4685 -0.144387
1.4725 -0.120418
1.4765 -0.120328
1.4805 -0.133087
1.4845 -0.109629
1.4885 -0.073617
1.4925 -0.115684
1.4965 -0.129727
1.5005 -0.132695
1.5045 -0.081295
1.5085 -0.163477
1.5125 -0.126953
1.5165 -0.215262
1.5205 -0.153464
1.5245 -0.199969
1.5285 -0.186470
1.5325 -0.123206
1.5365 -0.121762
1.5405 -0.152389
1.5444 -0.085860
1.5484 -0.098292
