# Acetate(C2) -- Cl in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2829 26.261270
0.2869 24.367402
0.2909 22.107059
0.2949 19.776258
0.2989 17.784486
0.3029 15.947251
0.3069 14.364977
0.3109 12.971375
0.3149 11.744705
0.3189 10.648039
0.3229 9.710835
0.3269 8.848467
0.3309 8.082850
0.3349 7.402917
0.3389 6.823416
0.3429 6.243621
0.3469 5.747231
0.3509 5.277706
0.3549 4.875063
0.3589 4.519753
0.3629 4.131902
0.3669 3.834799
0.3709 3.543275
0.3749 3.265654
0.3789 3.056168
0.3829 2.788525
0.3869 2.610576
0.3909 2.407407
0.3949 2.249096
0.3989 2.041720
0.4029 1.930371
0.4069 1.774968
0.4109 1.655936
0.4149 1.543509
0.4189 1.408803
0.4229 1.272180
0.4269 1.160463
0.4309 1.107038
0.4349 0.959714
0.4389 0.929543
0.4429 0.847688
0.4469 0.803991
0.4509 0.732559
0.4549 0.661893
0.4589 0.607126
0.4629 0.528237
0.4669 0.525384
0.4709 0.456215
0.4749 0.363368
0.4789 0.327262
0.4829 0.298303
0.4869 0.239418
0.4909 0.208567
0.4949 0.193116
0.4989 0.087528
0.5029 0.054416
0.5069 0.036934
0.5109 0.017135
0.5149 -0.013989
0.5189 -0.020333
0.5229 -0.026342
0.5269 -0.072092
0.5309 -0.058214
0.5349 -0.062617
0.5389 -0.057812
0.5429 -0.033427
0.5469 -0.039593
0.5509 -0.044300
0.5549 -0.010319
0.5589 -0.030033
0.5629 -0.019028
0.5669 0.009834
0.5709 0.019532
0.5749 0.022288
0.5789 0.048882
0.5828 0.084002
0.5868 0.096729
0.5908 0.136392
0.5948 0.101090
0.5988 0.151717
0.6028 0.148597
0.6068 0.197714
0.6108 0.204747
0.6148 0.205426
0.6188 0.228305
0.6228 0.267342
0.6268 0.227824
0.6308 0.257595
0.6348 0.242729
0.6388 0.254486
0.6428 0.261706
0.6468 0.287122
0.6508 0.263771
0.6548 0.281178
0.6588 0.234495
0.6628 0.214004
0.6668 0.193699
0.6708 0.221059
0.6748 0.213889
0.6788 0.173333
0.6828 0.164733
0.6868 0.138837
0.6908 0.156423
0.6948 0.097997
0.6988 0.068348
0.7028 0.063888
0.7068 0.013595
0.7108 0.040534
0.7148 -0.016017
0.7188 0.028187
0.7228 -0.005001
0.7268 -0.026084
0.7308 -0.003337
0.7348 -0.026020
0.7388 -0.064554
0.7428 -0.064820
0.7468 -0.080175
0.7508 -0.023409
0.7548 -0.075653
0.7588 -0.101043
0.7628 -0.098590
0.7668 -0.100174
0.7708 -0.091728
0.7748 -0.118015
0.7788 -0.141349
0.7828 -0.133799
0.7868 -0.117745
0.7908 -0.051405
0.7948 -0.136090
0.7988 -0.089535
0.8028 -0.080913
0.8068 -0.083394
0.8108 -0.087900
0.8148 -0.122526
0.8188 -0.150985
0.8228 -0.132044
0.8268 -0.098010
0.8308 -0.126967
0.8348 -0.081462
0.8388 -0.045488
0.8428 -0.029115
0.8468 -0.028250
0.8508 -0.021537
0.8548 -0.068976
0.8588 -0.013588
0.8628 -0.044854
0.8668 0.008076
0.8708 -0.021868
0.8748 -0.024643
0.8788 0.047807
0.8828 0.000765
0.8868 0.004605
0.8908 -0.008143
0.8948 -0.001652
0.8988 -0.000271
0.9028 -0.029054
0.9068 0.007280
0.9108 -0.019521
0.9148 -0.021984
0.9188 0.003215
0.9228 0.012693
0.9268 -0.068128
0.9308 -0.041981
0.9348 -0.053165
0.9388 -0.012863
0.9428 -0.035961
0.9468 -0.019520
0.9508 -0.068938
0.9548 -0.021450
0.9588 -0.074774
0.9628 -0.069928
0.9668 -0.034280
0.9708 -0.003760
0.9748 -0.019977
0.9788 -0.015355
0.9828 -0.027067
0.9868 -0.017108
0.9908 -0.000744
0.9948 0.013555
0.9988 -0.012572
1.0028 0.009737
1.0068 -0.024541
1.0108 -0.007802
1.0148 -0.034201
1.0188 -0.053760
1.0228 0.001934
1.0268 0.003976
1.0308 0.014595
1.0348 0.009501
1.0388 0.033563
1.0428 -0.025049
1.0468 -0.008621
1.0508 -0.009481
1.0548 0.049892
1.0588 0.007376
1.0628 0.001956
1.0668 0.017809
1.0708 0.035238
1.0748 0.054220
1.0788 0.083940
1.0828 0.013958
1.0868 0.071144
1.0908 0.032751
1.0948 0.003439
1.0988 -0.006662
1.1028 0.019005
1.1068 0.013491
1.1108 0.029289
1.1148 0.009581
1.1188 -0.024078
1.1228 0.055391
1.1268 -0.001143
1.1308 0.051861
1.1348 0.044920
1.1388 0.017631
1.1428 0.030080
1.1468 0.071955
1.1508 0.053399
1.1548 0.012395
1.1588 0.030275
1.1628 0.020151
1.1668 0.032536
1.1708 0.021457
1.1748 0.045854
1.1788 -0.002148
1.1828 0.023791
1.1868 -0.059568
1.1908 0.031833
1.1948 -0.007706
1.1988 0.000000
1.2028 -0.030431
1.2068 0.020285
1.2108 0.012759
1.2148 -0.038071
1.2188 -0.056644
1.2228 -0.035862
1.2268 -0.012532
1.2308 -0.045454
1.2348 -0.050510
1.2387 -0.062401
1.2427 -0.059244
1.2467 -0.063000
1.2507 -0.063188
1.2547 -0.018350
1.2587 -0.065097
1.2627 -0.093947
1.2667 -0.051049
1.2707 -0.073993
1.2747 -0.089066
1.2787 -0.077705
1.2827 -0.033476
1.2867 -0.105311
1.2907 -0.088161
1.2947 -0.076021
1.2987 -0.044263
1.3027 -0.094818
1.3067 -0.034834
1.3107 -0.070633
1.3147 -0.049892
1.3187 0.007883
1.3227 -0.029242
1.3267 -0.072122
1.3307 -0.046422
1.3347 -0.018483
1.3387 -0.013188
1.3427 -0.035664
1.3467 -0.036127
1.3507 0.025503
1.3547 -0.008127
1.3587 -0.001482
1.3627 -0.047769
1.3667 -0.014830
1.3707 -0.083382
1.3747 -0.011712
1.3787 -0.041386
1.3827 -0.033244
1.3867 -0.008106
1.3907 -0.016207
1.3947 -0.041489
1.3987 -0.000000
1.4027 0.027421
1.4067 0.009706
1.4107 -0.018191
1.4147 -0.037940
1.4187 -0.017120
1.4227 -0.018038
1.4267 -0.025678
1.4307 -0.007583
1.4347 0.051232
1.4387 0.004148
1.4427 -0.059137
1.4467 0.004401
1.4507 0.029871
1.4547 -0.019156
1.4587 0.054946
1.4627 -0.023482
1.4667 0.027495
1.4707 0.007300
1.4747 0.068530
1.4787 -0.005238
1.4827 0.013280
1.4867 -0.008267
1.4907 0.000236
