# Acetate(C2) -- DMA(O) (STEPs-SOL) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2413 nan
0.2463 nan
0.2513 nan
0.2563 nan
0.2613 nan
0.2663 -0.021333
0.2713 0.005225
0.2763 0.025494
0.2813 0.015596
0.2863 -0.023777
0.2913 -0.056970
0.2963 -0.079759
0.3013 -0.106027
0.3063 -0.128967
0.3113 -0.149859
0.3163 -0.176131
0.3213 -0.202292
0.3263 -0.222804
0.3313 -0.247037
0.3363 -0.282852
0.3413 -0.308931
0.3463 -0.317598
0.3513 -0.326504
0.3563 -0.330690
0.3613 -0.325219
0.3663 -0.325703
0.3713 -0.331904
0.3763 -0.344030
0.3813 -0.353969
0.3863 -0.350863
0.3913 -0.352853
0.3963 -0.353867
0.4013 -0.347220
0.4063 -0.338336
0.4113 -0.337947
0.4163 -0.350346
0.4213 -0.361533
0.4263 -0.362426
0.4313 -0.364552
0.4363 -0.379394
0.4413 -0.388128
0.4463 -0.375455
0.4513 -0.359842
0.4563 -0.349151
0.4613 -0.339494
0.4663 -0.314759
0.4713 -0.278462
0.4763 -0.256954
0.4813 -0.250596
0.4863 -0.239687
0.4913 -0.220671
0.4963 -0.200506
0.5013 -0.176554
0.5063 -0.150315
0.5113 -0.126566
0.5163 -0.104783
0.5213 -0.088354
0.5263 -0.076119
0.5313 -0.063335
0.5363 -0.046163
0.5413 -0.031534
0.5463 -0.022981
0.5513 -0.007103
0.5563 0.016701
0.5613 0.042128
0.5663 0.060249
0.5713 0.069373
0.5763 0.075199
0.5813 0.080571
0.5863 0.096517
0.5913 0.117151
0.5963 0.121358
0.6013 0.112002
0.6063 0.104154
0.6113 0.103134
0.6163 0.116863
0.6213 0.135567
0.6263 0.139649
0.6313 0.137803
0.6363 0.136287
0.6413 0.140939
0.6463 0.144865
0.6513 0.134354
0.6563 0.121505
0.6613 0.119509
0.6663 0.121562
0.6713 0.112585
0.6763 0.099810
0.6813 0.093069
0.6863 0.091602
0.6913 0.084160
0.6963 0.073523
0.7013 0.083758
0.7063 0.106304
0.7113 0.128015
0.7163 0.140516
0.7213 0.130717
0.7263 0.120084
0.7313 0.122935
0.7363 0.125669
0.7413 0.139289
0.7463 0.163751
0.7513 0.166040
0.7563 0.151859
0.7613 0.155818
0.7663 0.171140
0.7713 0.183908
0.7763 0.185213
0.7813 0.165291
0.7863 0.148485
0.7913 0.160912
0.7963 0.182767
0.8013 0.184046
0.8063 0.169219
0.8113 0.183111
0.8163 0.207347
0.8213 0.204740
0.8263 0.192828
0.8313 0.189325
0.8363 0.182691
0.8413 0.176118
0.8463 0.170289
0.8513 0.160473
0.8563 0.168024
0.8613 0.189344
0.8663 0.196590
0.8713 0.191502
0.8763 0.192219
0.8813 0.186784
0.8863 0.162277
0.8913 0.144971
0.8963 0.130066
0.9013 0.110007
0.9063 0.097822
0.9113 0.091524
0.9163 0.081586
0.9213 0.056539
0.9263 0.021127
0.9313 0.015821
0.9363 0.030955
0.9413 0.030474
0.9463 0.019614
0.9513 0.014072
0.9563 0.014213
0.9613 0.000665
0.9663 -0.023837
0.9713 -0.028215
0.9763 -0.001823
0.9813 0.026482
0.9863 0.037702
0.9913 0.048923
0.9963 0.066810
1.0013 0.071628
1.0063 0.056328
1.0113 0.045749
1.0163 0.043435
1.0213 0.033492
1.0263 0.029801
1.0313 0.043516
1.0363 0.061909
1.0413 0.078814
1.0463 0.091794
1.0513 0.086776
1.0563 0.064454
1.0613 0.041976
1.0663 0.038410
1.0713 0.041475
1.0763 0.037274
1.0813 0.031993
1.0863 0.038327
1.0913 0.055422
1.0963 0.063057
1.1013 0.049219
1.1063 0.032592
1.1113 0.025275
1.1163 0.019041
1.1213 -0.000647
1.1263 -0.019622
1.1313 -0.009808
1.1363 -0.003233
1.1413 -0.007063
1.1463 0.004193
1.1513 0.021236
1.1563 0.026598
1.1613 0.025713
1.1663 0.032306
1.1713 0.039551
1.1763 0.032501
1.1813 0.026366
1.1863 0.027192
1.1913 0.027588
1.1963 0.027259
