# Acetate(C2) -- DMA(O) in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2413 inf
0.2453 17.122499
0.2493 15.197527
0.2533 13.250169
0.2573 11.681469
0.2613 10.322788
0.2653 9.156624
0.2693 8.193990
0.2733 7.351840
0.2773 6.620055
0.2813 6.007299
0.2853 5.521076
0.2893 5.084889
0.2933 4.660846
0.2973 4.297729
0.3013 4.027799
0.3053 3.734560
0.3093 3.474459
0.3133 3.280024
0.3173 3.058837
0.3213 2.886162
0.3253 2.723903
0.3293 2.552368
0.3333 2.451867
0.3373 2.327942
0.3413 2.238631
0.3453 2.086964
0.3493 1.967557
0.3532 1.888768
0.3572 1.799088
0.3612 1.684025
0.3652 1.621571
0.3692 1.527029
0.3732 1.479544
0.3772 1.363290
0.3812 1.372105
0.3852 1.240328
0.3892 1.213012
0.3932 1.151145
0.3972 1.094070
0.4012 1.024778
0.4052 0.977500
0.4092 0.906746
0.4132 0.860624
0.4172 0.835340
0.4212 0.799575
0.4252 0.748737
0.4292 0.681302
0.4332 0.662062
0.4372 0.608427
0.4412 0.611616
0.4452 0.517437
0.4492 0.497079
0.4532 0.451248
0.4572 0.408153
0.4612 0.364174
0.4652 0.342241
0.4692 0.302963
0.4732 0.262831
0.4772 0.237954
0.4812 0.214219
0.4852 0.215156
0.4892 0.198463
0.4932 0.154071
0.4972 0.149479
0.5012 0.136702
0.5052 0.131734
0.5092 0.119662
0.5132 0.106851
0.5172 0.087882
0.5212 0.093766
0.5252 0.070178
0.5292 0.108249
0.5332 0.085547
0.5372 0.064034
0.5412 0.033566
0.5452 0.029457
0.5492 0.041985
0.5532 0.036714
0.5572 0.026530
0.5612 -0.014990
0.5652 0.016298
0.5692 -0.010175
0.5732 0.017522
0.5772 -0.023621
0.5812 0.022174
0.5852 -0.013491
0.5892 0.007346
0.5932 -0.020559
0.5972 -0.035731
0.6012 -0.024032
0.6051 -0.011181
0.6091 -0.035588
0.6131 -0.024093
0.6171 -0.007340
0.6211 -0.067768
0.6251 -0.050551
0.6291 -0.082307
0.6331 -0.093697
0.6371 -0.053443
0.6411 -0.085500
0.6451 -0.102802
0.6491 -0.114298
0.6531 -0.067603
0.6571 -0.084905
0.6611 -0.080450
0.6651 -0.094650
0.6691 -0.110387
0.6731 -0.123394
0.6771 -0.109798
0.6811 -0.083382
0.6851 -0.087844
0.6891 -0.128054
0.6931 -0.127196
0.6971 -0.063812
0.7011 -0.103597
0.7051 -0.149002
0.7091 -0.123957
0.7131 -0.127325
0.7171 -0.164899
0.7211 -0.108637
0.7251 -0.116252
0.7291 -0.096539
0.7331 -0.138265
0.7371 -0.105018
0.7411 -0.113466
0.7451 -0.139633
0.7491 -0.149463
0.7531 -0.096814
0.7571 -0.069904
0.7611 -0.106178
0.7651 -0.123658
0.7691 -0.101709
0.7731 -0.150268
0.7771 -0.129441
0.7811 -0.149762
0.7851 -0.045993
0.7891 -0.126842
0.7931 -0.061130
0.7971 -0.078707
0.8011 -0.061075
0.8051 -0.047447
0.8091 -0.050830
0.8131 -0.049927
0.8171 -0.109548
0.8211 -0.113627
0.8251 -0.043829
0.8291 -0.056277
0.8331 -0.058868
0.8371 -0.046894
0.8411 -0.029609
0.8451 -0.074824
0.8491 -0.056092
0.8531 -0.045683
0.8571 -0.025363
0.8610 -0.058237
0.8650 -0.072098
0.8690 -0.022139
0.8730 -0.096882
0.8770 -0.014251
0.8810 -0.108548
0.8850 -0.017551
0.8890 -0.019840
0.8930 -0.061568
0.8970 -0.035893
0.9010 -0.024727
0.9050 -0.028706
0.9090 -0.008934
0.9130 0.003826
0.9170 -0.005518
0.9210 0.017590
0.9250 0.032031
0.9290 0.056763
0.9330 -0.027953
0.9370 -0.036114
0.9410 0.033768
0.9450 0.024476
0.9490 0.023841
0.9530 0.043093
0.9570 -0.023425
0.9610 0.018742
0.9650 0.082559
0.9690 0.036161
0.9730 -0.010977
0.9770 0.017198
0.9810 -0.027830
0.9850 -0.030834
0.9890 -0.000580
0.9930 -0.063162
0.9970 -0.036506
1.0010 -0.060397
1.0050 -0.024088
1.0090 -0.064154
1.0130 -0.007409
1.0170 -0.046040
1.0210 -0.010137
1.0250 -0.042275
1.0290 -0.000506
1.0330 0.004701
1.0370 -0.038209
1.0410 -0.027497
1.0450 -0.053926
1.0490 -0.037984
1.0530 -0.032234
1.0570 -0.041476
1.0610 0.058760
1.0650 -0.001547
1.0690 -0.007019
1.0730 -0.002647
1.0770 -0.037631
1.0810 -0.019612
1.0850 -0.022917
1.0890 -0.022856
1.0930 -0.024066
1.0970 -0.059498
1.1010 -0.013214
1.1050 -0.015285
1.1090 0.010799
1.1130 -0.048021
1.1170 -0.022287
1.1209 -0.016221
1.1249 -0.006744
1.1289 0.018858
1.1329 -0.025424
1.1369 -0.024705
1.1409 0.015085
1.1449 -0.007288
1.1489 -0.012127
1.1529 -0.008476
1.1569 -0.012142
1.1609 -0.026629
1.1649 -0.018826
1.1689 -0.023046
1.1729 -0.023803
1.1769 -0.043147
1.1809 -0.048288
1.1849 -0.042958
1.1889 0.002135
1.1929 -0.028251
1.1969 -0.042484
1.2009 0.000000
1.2049 -0.022540
1.2089 0.008413
1.2129 0.049116
1.2169 -0.079943
1.2209 -0.037868
1.2249 -0.055682
1.2289 0.039853
1.2329 -0.025993
1.2369 -0.038081
1.2409 -0.068154
1.2449 -0.035477
1.2489 -0.044325
1.2529 -0.043837
1.2569 -0.004683
1.2609 -0.022189
1.2649 -0.027069
1.2689 -0.046942
1.2729 -0.046630
1.2769 -0.031035
1.2809 -0.067702
1.2849 -0.038967
1.2889 -0.079772
1.2929 0.006110
1.2969 0.032084
1.3009 -0.032665
1.3049 -0.001752
1.3089 -0.032637
1.3129 -0.067486
1.3169 -0.030098
1.3209 -0.042583
1.3249 -0.005358
1.3289 -0.054009
1.3329 0.004295
1.3369 -0.069050
1.3409 0.006472
1.3449 0.003974
1.3489 -0.010788
1.3529 -0.010693
1.3569 0.007897
1.3609 -0.036240
1.3649 -0.038042
1.3689 -0.060780
1.3728 -0.067450
1.3768 -0.020808
1.3808 -0.047844
1.3848 0.029304
1.3888 -0.014681
1.3928 -0.060249
1.3968 -0.023288
1.4008 -0.028964
1.4048 -0.004162
1.4088 -0.073045
1.4128 -0.025172
1.4168 -0.035981
1.4208 -0.048766
1.4248 -0.067901
1.4288 -0.047363
1.4328 -0.074048
1.4368 -0.072974
1.4408 -0.032082
1.4448 -0.035826
1.4488 -0.051428
1.4528 -0.090133
1.4568 -0.028740
1.4608 -0.077572
1.4648 -0.016885
1.4688 -0.007490
1.4728 -0.059877
1.4768 -0.039481
1.4808 -0.021149
1.4848 0.020690
1.4888 -0.048240
1.4928 -0.083181
1.4968 0.030795
1.5008 -0.032411
1.5048 -0.054365
1.5088 -0.018653
1.5128 -0.065622
1.5168 -0.048641
1.5208 -0.008969
1.5248 -0.060806
1.5288 -0.083584
1.5328 -0.050159
1.5368 -0.040471
1.5408 -0.058063
1.5448 -0.042015
1.5488 -0.043632
