# Acetate(C2) -- DMA(O) in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2479 15.722577
0.2519 13.863249
0.2559 12.126602
0.2599 10.719214
0.2639 9.479961
0.2679 8.420080
0.2719 7.572735
0.2759 6.842617
0.2799 6.206028
0.2839 5.631667
0.2879 5.138706
0.2918 4.703616
0.2958 4.304564
0.2998 3.979397
0.3038 3.656350
0.3078 3.387294
0.3118 3.156683
0.3158 2.900718
0.3198 2.726132
0.3238 2.517040
0.3278 2.351469
0.3318 2.195989
0.3358 2.043760
0.3398 1.890802
0.3438 1.756844
0.3478 1.639201
0.3518 1.540124
0.3558 1.411569
0.3598 1.359015
0.3638 1.252491
0.3678 1.171315
0.3718 1.096830
0.3758 1.015615
0.3798 0.958642
0.3838 0.884455
0.3878 0.808948
0.3918 0.788979
0.3958 0.684754
0.3998 0.635471
0.4038 0.587822
0.4078 0.550593
0.4118 0.434561
0.4158 0.426582
0.4198 0.380058
0.4238 0.325778
0.4278 0.322489
0.4318 0.236116
0.4358 0.172086
0.4398 0.091053
0.4438 0.070497
0.4478 0.051380
0.4518 0.055719
0.4558 0.002040
0.4598 0.014844
0.4638 -0.035467
0.4678 -0.041365
0.4718 -0.041787
0.4758 -0.029378
0.4798 -0.027161
0.4837 -0.085398
0.4877 -0.065316
0.4917 -0.087031
0.4957 -0.044926
0.4997 -0.075913
0.5037 -0.059834
0.5077 -0.020664
0.5117 -0.034107
0.5157 0.007618
0.5197 -0.018958
0.5237 0.025299
0.5277 -0.037874
0.5317 -0.027841
0.5357 -0.048926
0.5397 -0.045329
0.5437 -0.005164
0.5477 0.032680
0.5517 0.015842
0.5557 0.041603
0.5597 0.037470
0.5637 0.097694
0.5677 0.054382
0.5717 0.071349
0.5757 0.070647
0.5797 0.066593
0.5837 0.071577
0.5877 0.078913
0.5917 0.081265
0.5957 0.109112
0.5997 0.079221
0.6037 0.076566
0.6077 0.053303
0.6117 0.064076
0.6157 0.040099
0.6197 0.105381
