# Acetate(C2) -- DMA(O) in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2506 14.403352
0.2546 12.576044
0.2586 11.129055
0.2626 9.838307
0.2666 8.803508
0.2706 7.890231
0.2746 7.131886
0.2786 6.436488
0.2826 5.859441
0.2866 5.316862
0.2906 4.868661
0.2946 4.469320
0.2986 4.114491
0.3026 3.803496
0.3066 3.511592
0.3106 3.273821
0.3146 3.033318
0.3186 2.792656
0.3226 2.620663
0.3266 2.435149
0.3306 2.306166
0.3346 2.128804
0.3386 1.969435
0.3426 1.874783
0.3466 1.741228
0.3506 1.618364
0.3546 1.500207
0.3586 1.424253
0.3626 1.355521
0.3666 1.256993
0.3706 1.192990
0.3746 1.068123
0.3786 1.056594
0.3826 0.934525
0.3866 0.916272
0.3906 0.813800
0.3946 0.791662
0.3986 0.704109
0.4026 0.654974
0.4066 0.621908
0.4106 0.570592
0.4146 0.502587
0.4186 0.464787
0.4226 0.408844
0.4266 0.362035
0.4306 0.337715
0.4346 0.248886
0.4386 0.236304
0.4426 0.161664
0.4466 0.155606
0.4506 0.102091
0.4546 0.110249
0.4586 0.045650
0.4626 -0.010517
0.4666 0.001853
0.4706 0.026316
0.4746 0.007505
0.4786 -0.014637
0.4826 -0.059502
0.4866 -0.035598
0.4906 -0.033167
0.4946 -0.063951
0.4986 -0.045108
0.5026 -0.042560
0.5066 -0.011442
0.5106 -0.026655
0.5146 0.011369
0.5186 -0.024236
0.5226 0.017844
0.5266 0.006143
0.5306 0.025427
0.5346 0.037738
0.5386 -0.005786
0.5426 0.032968
0.5466 -0.012433
0.5506 0.032735
0.5546 0.047672
0.5586 0.028051
0.5626 0.036867
0.5666 0.083211
0.5706 0.070617
0.5746 0.045074
0.5786 0.109477
0.5826 0.077967
0.5866 0.079814
0.5906 0.133724
0.5946 0.101487
0.5986 0.095344
0.6026 0.070768
0.6066 0.091568
0.6106 0.057784
0.6146 0.088192
0.6186 0.092125
0.6226 0.104969
0.6266 0.061308
0.6306 0.057421
0.6346 0.074883
0.6386 0.052244
0.6426 0.044918
0.6466 0.064210
0.6506 0.039562
0.6546 0.031820
0.6586 0.043392
0.6626 0.016001
0.6666 0.046994
0.6706 -0.007239
0.6746 -0.025503
0.6786 -0.000340
0.6826 0.006891
0.6866 -0.010724
0.6906 -0.014079
0.6946 -0.046730
0.6986 -0.031251
0.7026 -0.013079
0.7066 -0.031601
0.7106 -0.012950
0.7146 0.015474
0.7186 0.016930
0.7226 0.018204
0.7266 -0.017939
0.7306 0.031850
0.7346 -0.011977
0.7386 0.023129
0.7426 -0.007313
0.7466 0.050682
0.7506 0.079605
0.7546 0.028384
0.7586 0.053844
0.7626 0.054432
0.7666 0.055871
0.7706 0.050900
0.7746 0.067220
0.7786 0.085358
0.7826 -0.002240
0.7866 0.040538
0.7906 0.086325
0.7946 0.053815
0.7986 0.170985
0.8026 0.175263
0.8066 0.052326
0.8106 0.124762
0.8146 0.170738
0.8186 0.101603
0.8226 0.096728
0.8266 0.125936
0.8306 0.153862
0.8346 0.123487
0.8386 0.140284
0.8426 0.127551
0.8466 0.126101
0.8506 0.080872
0.8546 0.106773
0.8586 0.148427
0.8626 0.151178
0.8666 0.148713
0.8706 0.107027
0.8746 0.174052
0.8786 0.118703
0.8826 0.136976
0.8866 0.103156
0.8906 0.116363
0.8946 0.094187
0.8986 0.104428
0.9026 0.056743
0.9066 0.073381
0.9106 0.109406
0.9146 0.036770
0.9186 0.120557
0.9226 0.111273
0.9266 0.006759
0.9306 0.005720
0.9346 0.025995
0.9386 0.026542
0.9426 0.074312
0.9466 0.045352
0.9506 0.032958
0.9546 0.021018
0.9586 0.020955
0.9626 0.043659
0.9666 0.028300
0.9706 -0.062847
