# Acetate(C2) (STEPs-SOL) -- Na (Amber03) Difference Data: DFT (Daily) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2196 -8.866126
0.2246 -7.112612
0.2296 -4.914056
0.2346 -3.224103
0.2396 -2.049159
0.2446 -1.187483
0.2496 -0.550248
0.2546 -0.092064
0.2596 0.199988
0.2646 0.332166
0.2696 0.337084
0.2746 0.295675
0.2796 0.283315
0.2846 0.305412
0.2896 0.320892
0.2946 0.316345
0.2996 0.303178
0.3046 0.272771
0.3096 0.223476
0.3146 0.165204
0.3196 0.102009
0.3246 0.034506
0.3296 -0.007269
0.3346 0.009765
0.3396 0.089120
0.3446 0.224050
0.3496 0.408728
0.3546 0.631053
0.3596 0.855599
0.3646 1.056839
0.3696 1.251426
0.3746 1.427705
0.3796 1.562629
0.3846 1.673706
0.3896 1.751428
0.3946 1.766343
0.3996 1.726890
0.4046 1.645226
0.4096 1.511167
0.4146 1.327723
0.4196 1.121802
0.4246 0.927210
0.4296 0.758919
0.4346 0.600489
0.4396 0.435820
0.4446 0.285488
0.4496 0.164205
0.4546 0.063728
0.4596 -0.014746
0.4646 -0.071808
0.4696 -0.115317
0.4746 -0.150017
0.4796 -0.177439
0.4846 -0.198403
0.4896 -0.213666
0.4946 -0.223988
0.4996 -0.230125
0.5046 -0.232835
0.5096 -0.232876
0.5146 -0.231005
0.5196 -0.227964
0.5246 -0.224305
0.5296 -0.219904
0.5346 -0.214663
0.5396 -0.210226
0.5446 -0.204493
0.5496 -0.196094
0.5546 -0.193251
0.5596 -0.189335
0.5646 -0.172978
0.5696 -0.153043
0.5746 -0.141245
0.5796 -0.122347
0.5846 -0.084739
0.5896 -0.052632
0.5946 -0.035449
0.5996 -0.018392
0.6046 0.010370
0.6096 0.056035
0.6146 0.108582
0.6196 0.150011
0.6246 0.183084
0.6296 0.207529
0.6346 0.214417
0.6396 0.201316
0.6446 0.185650
0.6496 0.184467
0.6546 0.190489
0.6596 0.190597
0.6646 0.184372
0.6696 0.172067
0.6746 0.166732
0.6796 0.171874
0.6846 0.165221
0.6896 0.133390
0.6946 0.088480
0.6996 0.052877
0.7046 0.040179
0.7096 0.042925
0.7146 0.050808
0.7196 0.055602
0.7246 0.050688
0.7296 0.038778
0.7346 0.025791
0.7396 0.016651
0.7446 0.020322
0.7496 0.031504
0.7546 0.037524
0.7596 0.048157
0.7646 0.062499
0.7696 0.079326
0.7746 0.099522
0.7796 0.104652
0.7846 0.092923
0.7896 0.085729
0.7946 0.097246
0.7996 0.129315
0.8046 0.159208
0.8096 0.164737
0.8146 0.162118
0.8196 0.178191
0.8246 0.202441
0.8296 0.204190
0.8346 0.187523
0.8396 0.164271
0.8446 0.151916
0.8496 0.161467
0.8546 0.176243
0.8596 0.188517
0.8646 0.194424
0.8696 0.183528
0.8746 0.174014
0.8796 0.165179
0.8846 0.144007
0.8896 0.120702
0.8946 0.113763
0.8996 0.120035
0.9046 0.125018
0.9096 0.117303
0.9146 0.102945
0.9196 0.102991
0.9246 0.127049
0.9296 0.153340
0.9346 0.158806
0.9396 0.153699
0.9446 0.162342
0.9496 0.174228
0.9546 0.179477
0.9596 0.190509
0.9646 0.200560
0.9696 0.198144
0.9746 0.185606
0.9796 0.173258
0.9846 0.169696
0.9896 0.179517
0.9946 0.179609
0.9996 0.156305
1.0046 0.139239
1.0096 0.137750
1.0146 0.152514
1.0196 0.167598
1.0246 0.162924
1.0296 0.156131
1.0346 0.148268
1.0396 0.140551
1.0446 0.139211
1.0496 0.147899
1.0546 0.151730
1.0596 0.140424
1.0646 0.114417
1.0696 0.097299
1.0746 0.097130
1.0796 0.102278
1.0846 0.110961
1.0896 0.115307
1.0946 0.096049
1.0996 0.070721
1.1046 0.068427
1.1096 0.061212
1.1146 0.044724
1.1196 0.036415
1.1246 0.040148
1.1296 0.044784
1.1346 0.041078
1.1396 0.033721
1.1446 0.041828
1.1496 0.061275
1.1546 0.078223
1.1596 0.084083
1.1646 0.073353
1.1696 0.051944
1.1746 0.054703
1.1796 0.068345
1.1846 0.052994
1.1896 0.037161
1.1946 0.035196
1.1996 0.025771
