# Acetate(C2) (STEPs-SOL) -- Na (Amber03) Difference Data: DFT (Daily) - MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2196 -1.749523
0.2246 -1.035022
0.2296 0.056201
0.2346 1.111495
0.2396 1.902597
0.2446 2.400896
0.2496 2.656900
0.2546 2.706242
0.2596 2.546758
0.2646 2.177242
0.2696 1.649449
0.2746 1.067233
0.2796 0.534234
0.2846 0.088314
0.2896 -0.275735
0.2946 -0.560728
0.2996 -0.765647
0.3046 -0.899691
0.3096 -0.997023
0.3146 -1.078007
0.3196 -1.148594
0.3246 -1.224203
0.3296 -1.309602
0.3346 -1.387640
0.3396 -1.443961
0.3446 -1.481818
0.3496 -1.500764
0.3546 -1.505110
0.3596 -1.516087
0.3646 -1.528359
0.3696 -1.501104
0.3746 -1.424017
0.3796 -1.303601
0.3846 -1.139848
0.3896 -0.961598
0.3946 -0.795158
0.3996 -0.650552
0.4046 -0.535013
0.4096 -0.457440
0.4146 -0.423423
0.4196 -0.416555
0.4246 -0.414100
0.4296 -0.409460
0.4346 -0.397560
0.4396 -0.383075
0.4446 -0.374210
0.4496 -0.374727
0.4546 -0.375194
0.4596 -0.358825
0.4646 -0.326498
0.4696 -0.288863
0.4746 -0.251274
0.4796 -0.214987
0.4846 -0.180410
0.4896 -0.147886
0.4946 -0.117757
0.4996 -0.090364
0.5046 -0.066048
0.5096 -0.045149
0.5146 -0.028010
0.5196 -0.014966
0.5246 -0.006277
0.5296 -0.001773
0.5346 -0.000275
0.5396 -0.000019
0.5446 -0.000001
0.5496 0.000000
0.5546 0.000000
0.5596 0.000000
0.5646 0.000000
0.5696 0.000000
0.5746 0.000000
0.5796 -0.000000
0.5846 -0.000000
0.5896 0.000000
0.5946 0.000000
0.5996 0.000000
0.6046 -0.000000
0.6096 -0.000000
0.6146 0.000000
0.6196 0.000000
0.6246 0.000000
0.6296 0.000000
0.6346 0.000000
0.6396 -0.000000
0.6446 -0.000000
0.6496 -0.000000
0.6546 -0.000000
0.6596 -0.000000
0.6646 0.000000
0.6696 0.000000
0.6746 0.000000
0.6796 0.000000
0.6846 0.000000
0.6896 0.000000
0.6946 0.000000
0.6996 0.000000
0.7046 0.000000
0.7096 0.000000
0.7146 0.000000
0.7196 -0.000000
0.7246 0.000000
0.7296 0.000000
0.7346 0.000000
0.7396 0.000000
0.7446 -0.000000
0.7496 -0.000000
0.7546 -0.000000
0.7596 -0.000000
0.7646 -0.000000
0.7696 -0.000000
0.7746 0.000000
0.7796 0.000000
0.7846 0.000000
0.7896 -0.000000
0.7946 -0.000000
0.7996 0.000000
0.8046 0.000000
0.8096 0.000000
0.8146 0.000000
0.8196 0.000000
0.8246 0.000000
0.8296 0.000000
0.8346 0.000000
0.8396 0.000000
0.8446 0.000000
0.8496 0.000000
0.8546 0.000000
0.8596 -0.000000
0.8646 -0.000000
0.8696 -0.000000
0.8746 -0.000000
0.8796 -0.000000
0.8846 -0.000000
0.8896 -0.000000
0.8946 0.000000
0.8996 0.000000
0.9046 0.000000
0.9096 -0.000000
0.9146 -0.000000
0.9196 0.000000
0.9246 0.000000
0.9296 0.000000
0.9346 0.000000
0.9396 -0.000000
0.9446 -0.000000
0.9496 -0.000000
0.9546 -0.000000
0.9596 -0.000000
0.9646 0.000000
0.9696 0.000000
0.9746 -0.000000
0.9796 -0.000000
0.9846 0.000000
0.9896 0.000000
0.9946 0.000000
0.9996 0.000000
1.0046 0.000000
1.0096 0.000000
1.0146 -0.000000
1.0196 -0.000000
1.0246 -0.000000
1.0296 -0.000000
1.0346 -0.000000
1.0396 -0.000000
1.0446 0.000000
1.0496 0.000000
1.0546 0.000000
1.0596 0.000000
1.0646 0.000000
1.0696 0.000000
1.0746 0.000000
1.0796 0.000000
1.0846 0.000000
1.0896 -0.000000
1.0946 -0.000000
1.0996 -0.000000
1.1046 -0.000000
1.1096 -0.000000
1.1146 -0.000000
1.1196 -0.000000
1.1246 -0.000000
1.1296 0.000000
1.1346 -0.000000
1.1396 -0.000000
1.1446 -0.000000
1.1496 0.000000
1.1546 0.000000
1.1596 0.000000
1.1646 0.000000
1.1696 -0.000000
1.1746 -0.000000
1.1796 -0.000000
1.1846 -0.000000
1.1896 0.000000
1.1946 0.000000
1.1996 0.000000
