# Acetate(C2) -- Na in DFT (Daily)
# r0[nm] k[kCal/mol/nm^2]
0.2709 0.495123
0.2731 0.161238
0.2754 -0.030556
0.2776 -0.193982
0.2799 -0.423492
0.2821 -0.519404
0.2844 -0.623344
0.2866 -0.764384
0.2889 -0.805330
0.2911 -0.908316
0.2934 -0.981966
0.2956 -1.044127
0.2979 -1.091126
0.3001 -1.147089
0.3024 -1.213331
0.3046 -1.272812
0.3069 -1.308163
0.3091 -1.345272
0.3114 -1.403012
0.3136 -1.482637
0.3159 -1.515778
0.3181 -1.545576
0.3204 -1.606108
0.3226 -1.627643
0.3249 -1.700720
0.3271 -1.716163
0.3294 -1.761297
0.3316 -1.741733
0.3339 -1.774062
0.3361 -1.755295
0.3384 -1.747905
0.3406 -1.728456
0.3429 -1.669811
0.3451 -1.603483
0.3474 -1.551024
0.3496 -1.445082
0.3519 -1.333969
0.3541 -1.219989
0.3564 -1.114952
0.3586 -0.992407
0.3609 -0.878547
0.3631 -0.802522
0.3654 -0.679600
0.3676 -0.586241
0.3699 -0.457916
0.3721 -0.331124
0.3744 -0.221163
0.3766 -0.142501
0.3789 -0.037547
0.3811 0.077944
0.3834 0.170898
0.3856 0.255459
0.3879 0.327106
0.3901 0.408275
0.3924 0.455437
0.3946 0.502965
0.3969 0.525509
0.3991 0.549268
0.4014 0.573542
0.4036 0.608420
0.4059 0.579881
0.4081 0.565471
0.4104 0.543356
0.4126 0.462872
0.4149 0.437903
0.4171 0.381738
0.4194 0.315938
0.4216 0.263783
0.4239 0.230315
0.4261 0.184236
0.4284 0.105683
0.4306 0.084421
0.4329 0.060327
0.4351 0.033806
0.4374 -0.017558
0.4396 -0.071910
0.4419 -0.099943
0.4441 -0.125283
0.4464 -0.168293
0.4486 -0.226847
0.4509 -0.231766
0.4531 -0.265888
0.4554 -0.305798
0.4576 -0.303882
0.4599 -0.313193
0.4621 -0.306569
0.4644 -0.272199
0.4666 -0.227733
0.4689 -0.136386
0.4711 -0.024013
0.4734 -0.015347
0.4756 0.066084
0.4779 0.122113
0.4801 0.207280
0.4824 0.117504
0.4846 0.130106
0.4869 0.070521
0.4891 0.027937
0.4914 -0.032822
0.4936 -0.037824
0.4959 -0.068452
0.4981 -0.048033
0.5004 -0.017611
0.5026 -0.049956
0.5049 -0.006119
0.5071 0.004793
0.5094 0.024617
0.5116 0.089885
0.5139 0.108791
0.5161 0.211279
0.5184 0.184748
0.5206 0.202178
0.5229 0.231311
0.5251 0.370836
0.5296 0.377479
