# Acetate(C2) -- Na in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2250 14.186442
0.2290 11.238444
0.2330 9.564850
0.2370 7.885824
0.2410 6.576186
0.2450 5.337418
0.2490 4.276442
0.2530 3.268962
0.2570 2.380223
0.2610 1.631408
0.2650 0.946232
0.2690 0.403960
0.2730 -0.077330
0.2770 -0.447575
0.2810 -0.750320
0.2849 -0.975748
0.2889 -1.163097
0.2929 -1.278479
0.2969 -1.368481
0.3009 -1.506214
0.3049 -1.553223
0.3089 -1.580234
0.3129 -1.636057
0.3169 -1.676582
0.3209 -1.718780
0.3249 -1.710029
0.3289 -1.708528
0.3329 -1.728030
0.3369 -1.780932
0.3409 -1.805600
0.3449 -1.822915
0.3489 -1.837637
0.3529 -1.804301
0.3569 -1.849060
0.3609 -1.836322
0.3649 -1.758978
0.3689 -1.727161
0.3729 -1.732158
0.3768 -1.638918
0.3808 -1.517128
0.3848 -1.465301
0.3888 -1.432990
0.3928 -1.322421
0.3968 -1.247258
0.4008 -1.152557
0.4048 -1.078864
0.4088 -1.003026
0.4128 -0.916156
0.4168 -0.881203
0.4208 -0.762403
0.4248 -0.687190
0.4288 -0.657964
0.4328 -0.634528
0.4368 -0.515653
0.4408 -0.482648
0.4448 -0.388415
0.4488 -0.403763
0.4528 -0.355763
0.4568 -0.316618
0.4608 -0.272398
0.4647 -0.292017
0.4687 -0.255615
0.4727 -0.268396
0.4767 -0.269299
0.4807 -0.214891
0.4847 -0.219926
0.4887 -0.229799
0.4927 -0.188266
0.4967 -0.163267
0.5007 -0.174114
0.5047 -0.098751
0.5087 -0.159908
0.5127 -0.123418
0.5167 -0.093326
0.5207 -0.109959
0.5247 -0.119666
0.5287 -0.116265
0.5327 -0.098529
0.5367 -0.132532
0.5407 -0.121391
0.5447 -0.108718
0.5487 -0.126770
0.5527 -0.108068
0.5566 -0.116785
0.5606 -0.101138
0.5646 -0.122751
0.5686 -0.137496
0.5726 -0.094286
0.5766 -0.123796
0.5806 -0.104503
0.5846 -0.125709
0.5886 -0.118846
0.5926 -0.092714
0.5966 -0.120486
0.6006 -0.099317
0.6046 -0.102233
0.6086 -0.065792
0.6126 -0.155697
0.6166 -0.109497
0.6206 -0.104950
0.6246 -0.158511
0.6286 -0.122820
0.6326 -0.164404
0.6366 -0.147828
0.6406 -0.110490
0.6445 -0.099517
0.6485 -0.109257
0.6525 -0.111533
0.6565 -0.150647
0.6605 -0.145341
0.6645 -0.142297
0.6685 -0.133807
0.6725 -0.125887
0.6765 -0.157937
0.6805 -0.156442
0.6845 -0.142067
0.6885 -0.164828
0.6925 -0.113332
0.6965 -0.086052
0.7005 -0.089009
0.7045 -0.092483
0.7085 -0.098305
0.7125 -0.114295
0.7165 -0.110674
0.7205 -0.112487
0.7245 -0.110144
0.7285 -0.107729
0.7325 -0.077011
0.7364 -0.086437
0.7404 -0.095164
0.7444 -0.070473
0.7484 -0.102601
0.7524 -0.103122
0.7564 -0.038123
0.7604 -0.082086
0.7644 -0.070332
0.7684 -0.082374
0.7724 -0.114331
0.7764 -0.155189
0.7804 -0.194911
0.7844 -0.134425
0.7884 -0.096407
0.7924 -0.075449
0.7964 -0.163644
0.8004 -0.097186
0.8044 -0.164863
0.8084 -0.153008
0.8124 -0.092680
0.8164 -0.130744
0.8204 -0.095127
0.8244 -0.176222
0.8283 -0.157204
0.8323 -0.115844
0.8363 -0.111974
0.8403 -0.096849
0.8443 -0.078392
0.8483 -0.119375
0.8523 -0.097516
0.8563 -0.149666
0.8603 -0.089640
0.8643 -0.145289
0.8683 -0.086052
0.8723 -0.132506
0.8763 -0.096876
0.8803 -0.110658
0.8843 -0.130003
0.8883 -0.079538
0.8923 -0.090803
0.8963 -0.061689
0.9003 -0.042937
0.9043 -0.091831
0.9083 -0.106213
0.9123 -0.075505
0.9162 -0.059989
0.9202 -0.023474
0.9242 -0.078345
0.9282 -0.103856
0.9322 -0.135309
0.9362 -0.098453
0.9402 -0.093339
0.9442 -0.073371
0.9482 -0.088453
0.9522 -0.093547
0.9562 -0.099714
0.9602 -0.109340
0.9642 -0.123440
0.9682 -0.133907
0.9722 -0.104346
0.9762 -0.103224
0.9802 -0.108836
0.9842 -0.084428
0.9882 -0.101423
0.9922 -0.119930
0.9962 -0.119762
1.0002 -0.056151
1.0041 -0.098701
1.0081 -0.099809
1.0121 -0.089100
1.0161 -0.108647
1.0201 -0.102333
1.0241 -0.034434
1.0281 -0.115144
1.0321 -0.074494
1.0361 -0.048891
1.0401 -0.081625
1.0441 -0.043203
1.0481 -0.073965
1.0521 -0.088328
1.0561 -0.079399
1.0601 -0.084170
1.0641 -0.086389
1.0681 -0.030247
1.0721 -0.022678
1.0761 -0.070822
1.0801 -0.035319
1.0841 -0.024733
1.0881 -0.070629
1.0921 -0.049303
1.0960 -0.076648
1.1000 -0.013408
1.1040 -0.046932
1.1080 -0.027285
1.1120 -0.002113
1.1160 0.004403
1.1200 -0.015752
1.1240 -0.049637
1.1280 0.027371
1.1320 -0.056024
1.1360 -0.010721
1.1400 -0.019170
1.1440 -0.046247
1.1480 -0.059541
1.1520 -0.056604
1.1560 -0.037347
1.1600 -0.052956
1.1640 -0.072668
1.1680 0.016044
1.1720 -0.046742
1.1760 -0.034403
1.1800 -0.064476
1.1839 -0.037003
1.1879 0.045685
1.1919 -0.029363
1.1959 -0.068818
1.1999 0.000000
1.2039 0.048554
1.2079 -0.012515
1.2119 -0.035252
1.2159 -0.043595
1.2199 -0.047195
1.2239 -0.002808
1.2279 -0.002826
1.2319 0.021853
1.2359 -0.019631
1.2399 -0.005768
1.2439 -0.035664
1.2479 0.029501
1.2519 0.021934
1.2559 0.019388
1.2599 0.003396
1.2639 -0.023754
1.2679 -0.015223
1.2719 -0.026471
1.2758 0.002293
1.2798 -0.055173
1.2838 0.009845
1.2878 -0.029488
1.2918 -0.040011
1.2958 0.006692
1.2998 -0.006722
1.3038 0.053628
1.3078 -0.004061
1.3118 -0.007380
1.3158 -0.037410
1.3198 0.003616
1.3238 -0.001504
1.3278 0.021299
1.3318 -0.026323
1.3358 0.014939
1.3398 -0.006376
1.3438 -0.020963
1.3478 -0.006901
1.3518 0.002749
1.3558 -0.046364
1.3598 -0.056461
1.3637 -0.015556
1.3677 -0.008752
1.3717 0.007881
1.3757 -0.029398
1.3797 -0.017785
1.3837 -0.044148
1.3877 -0.013636
1.3917 0.006226
1.3957 0.014196
1.3997 0.019645
1.4037 0.013715
1.4077 0.032767
1.4117 -0.020886
1.4157 -0.055816
1.4197 0.006121
1.4237 -0.018184
1.4277 -0.046735
1.4317 -0.029526
1.4357 -0.030246
1.4397 -0.069368
1.4437 -0.037188
1.4477 0.035744
1.4517 -0.037278
1.4556 -0.004634
1.4596 0.034842
1.4636 0.010051
1.4676 0.019382
1.4716 0.044796
1.4756 0.051502
1.4796 0.087935
1.4836 0.067365
1.4876 0.030865
1.4916 0.025570
1.4956 0.042067
1.4996 0.031347
1.5036 0.023214
1.5076 0.002196
1.5116 -0.010158
1.5156 0.005315
1.5196 -0.002706
1.5236 0.006713
1.5276 0.000651
1.5316 0.022083
1.5356 0.023250
1.5396 -0.035163
1.5435 -0.006123
1.5475 -0.020397
