# Acetate(C2) -- Na in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2180 10.369439
0.2220 8.482374
0.2260 7.028966
0.2300 5.808078
0.2340 4.582878
0.2380 3.389740
0.2420 2.344431
0.2460 1.459457
0.2501 0.696874
0.2541 0.060810
0.2581 -0.464642
0.2621 -0.821610
0.2661 -1.032520
0.2701 -1.123407
0.2741 -1.137441
0.2781 -1.051816
0.2821 -0.956300
0.2861 -0.829169
0.2901 -0.687851
0.2941 -0.566746
0.2981 -0.531878
0.3021 -0.469544
0.3061 -0.480399
0.3101 -0.453219
0.3141 -0.460250
0.3181 -0.456499
0.3221 -0.486190
0.3261 -0.483310
0.3301 -0.464100
0.3341 -0.436274
0.3381 -0.313351
0.3421 -0.217197
0.3462 -0.138794
0.3502 0.018634
0.3542 0.164690
0.3582 0.420202
0.3622 0.591245
0.3662 0.765172
0.3702 0.999499
0.3742 1.104834
0.3782 1.152600
0.3822 1.211988
0.3862 1.274139
0.3902 1.274870
0.3942 1.262270
0.3982 1.213906
0.4022 1.173546
0.4062 1.069806
0.4102 0.989395
0.4142 0.859965
0.4182 0.743056
0.4222 0.631063
0.4262 0.524063
0.4302 0.479949
0.4342 0.346371
0.4382 0.295397
0.4423 0.219395
0.4463 0.127643
0.4503 0.043360
0.4543 0.048689
0.4583 -0.040455
0.4623 -0.046746
0.4663 -0.084908
0.4703 -0.154059
0.4743 -0.168588
0.4783 -0.172234
0.4823 -0.229917
0.4863 -0.235780
0.4903 -0.262500
0.4943 -0.248939
0.4983 -0.272378
0.5023 -0.292281
0.5063 -0.270830
0.5103 -0.334800
0.5143 -0.395046
0.5183 -0.366066
0.5223 -0.389354
0.5263 -0.381964
0.5303 -0.353466
0.5343 -0.382201
0.5383 -0.364269
0.5424 -0.354807
0.5464 -0.364892
0.5504 -0.324899
0.5544 -0.325025
0.5584 -0.286976
0.5624 -0.252016
0.5664 -0.302400
0.5704 -0.256995
0.5744 -0.262867
0.5784 -0.241719
0.5824 -0.202017
0.5864 -0.188889
0.5904 -0.172575
0.5944 -0.173779
0.5984 -0.149691
0.6024 -0.144790
0.6064 -0.115565
0.6104 -0.048785
0.6144 -0.018658
0.6184 0.041638
0.6224 0.015992
0.6264 0.077949
0.6304 0.064513
0.6344 0.059936
0.6385 0.041946
0.6425 -0.004843
0.6465 0.062782
0.6505 0.014729
0.6545 0.008660
0.6585 -0.001605
0.6625 0.008314
0.6665 0.009765
0.6705 0.035245
0.6745 0.079969
0.6785 0.099843
0.6825 0.059558
0.6865 0.002688
0.6905 0.008175
0.6945 -0.060935
0.6985 -0.078590
0.7025 -0.141442
0.7065 -0.116162
0.7105 -0.085730
0.7145 -0.064054
0.7185 -0.037811
0.7225 -0.070351
0.7265 -0.087534
0.7306 -0.085975
0.7346 -0.101911
0.7386 -0.108329
0.7426 -0.125654
0.7466 -0.073625
0.7506 -0.087614
0.7546 -0.075723
0.7586 -0.085999
0.7626 -0.044925
0.7666 -0.016514
0.7706 -0.015853
0.7746 -0.010475
0.7786 -0.008347
0.7826 -0.040181
0.7866 -0.026741
0.7906 -0.012753
0.7946 -0.005740
0.7986 0.002227
0.8026 0.039395
0.8066 0.046358
0.8106 0.043521
0.8146 0.066314
0.8186 -0.007528
0.8226 0.058163
0.8266 0.073745
0.8307 0.046761
0.8347 0.068528
0.8387 0.039604
0.8427 0.027384
0.8467 0.033087
0.8507 0.057295
0.8547 0.018420
0.8587 0.060545
0.8627 0.032876
0.8667 0.078430
0.8707 0.070681
0.8747 0.065434
0.8787 0.081007
0.8827 0.055780
0.8867 0.045378
