# Acetate(C2) -- Na in GB**
# r0[nm] k[kCal/mol/nm^2]
0.2108 13.121080
0.2148 11.357213
0.2188 8.663530
0.2228 7.173406
0.2268 6.446186
0.2308 6.070622
0.2348 5.616797
0.2388 5.087385
0.2428 4.595260
0.2468 3.992577
0.2509 3.409330
0.2549 2.845943
0.2589 2.253919
0.2629 1.649464
0.2669 1.049568
0.2709 0.512635
0.2749 0.092686
0.2789 -0.280117
0.2829 -0.550434
0.2869 -0.689845
0.2909 -0.880006
0.2949 -1.010740
0.2989 -1.140173
0.3029 -1.274007
0.3069 -1.308300
0.3109 -1.404216
0.3149 -1.455596
0.3189 -1.519489
0.3229 -1.608819
0.3269 -1.671363
0.3309 -1.711905
0.3349 -1.707580
0.3389 -1.664518
0.3429 -1.596749
0.3469 -1.456553
0.3509 -1.335754
0.3549 -1.188984
0.3589 -1.001344
0.3630 -0.846847
0.3670 -0.644623
0.3710 -0.409480
0.3750 -0.181820
0.3790 -0.057836
0.3830 0.147120
0.3870 0.340248
0.3910 0.426433
0.3950 0.563704
0.3990 0.615684
0.4030 0.573569
0.4070 0.559390
0.4110 0.523820
0.4150 0.425716
0.4190 0.352347
0.4230 0.243655
0.4270 0.151165
0.4310 0.074467
0.4350 0.006617
0.4390 -0.112137
0.4430 -0.129893
0.4470 -0.147346
0.4510 -0.237319
0.4550 -0.253552
0.4590 -0.270260
0.4630 -0.337619
0.4670 -0.332548
0.4710 -0.315645
0.4751 -0.345976
0.4791 -0.389766
0.4831 -0.378957
0.4871 -0.388708
0.4911 -0.382162
0.4951 -0.403838
0.4991 -0.429100
0.5031 -0.356301
0.5071 -0.335642
0.5111 -0.321542
0.5151 -0.316481
0.5191 -0.326854
0.5231 -0.320214
0.5271 -0.265432
0.5311 -0.306980
0.5351 -0.278572
0.5391 -0.307239
0.5431 -0.317080
0.5471 -0.256816
0.5511 -0.258290
0.5551 -0.250608
0.5591 -0.246313
0.5631 -0.217101
0.5671 -0.214669
0.5711 -0.231812
0.5751 -0.202536
0.5791 -0.171300
0.5831 -0.159988
0.5872 -0.154625
0.5912 -0.104258
0.5952 -0.128231
0.5992 -0.055266
0.6032 -0.075609
0.6072 -0.038980
0.6112 -0.024009
0.6152 0.011389
0.6192 0.070939
0.6232 0.109539
0.6272 0.138796
0.6312 0.130427
0.6352 0.114849
0.6392 0.112406
0.6432 0.096081
0.6472 0.104086
0.6512 0.089277
0.6552 0.132381
0.6592 0.084684
0.6632 0.104571
0.6672 0.077174
0.6712 0.088305
0.6752 0.093971
0.6792 0.097963
0.6832 0.102457
0.6872 0.080279
0.6912 0.077048
0.6952 0.025012
0.6993 -0.051929
0.7033 -0.038195
0.7073 -0.026680
0.7113 -0.048457
0.7153 -0.015209
