# Acetate(C2) -- Na in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2196 10.289745
0.2236 9.035140
0.2276 7.326432
0.2316 5.672405
0.2356 4.250488
0.2396 3.083043
0.2436 2.094855
0.2476 1.263267
0.2516 0.551233
0.2555 -0.035955
0.2596 -0.493097
0.2636 -0.789567
0.2675 -0.948208
0.2715 -1.038885
0.2755 -0.960205
0.2795 -0.875170
0.2835 -0.733290
0.2875 -0.556451
0.2915 -0.476167
0.2955 -0.402732
0.2995 -0.313957
0.3035 -0.370150
0.3075 -0.348390
0.3115 -0.360331
0.3155 -0.420224
0.3195 -0.442662
0.3235 -0.479931
0.3275 -0.464500
0.3315 -0.430746
0.3355 -0.336799
0.3395 -0.291466
0.3435 -0.167164
0.3475 -0.014261
0.3515 0.148979
0.3555 0.346669
0.3595 0.549631
0.3635 0.797076
0.3675 0.975066
0.3715 1.132112
0.3755 1.241616
0.3795 1.346038
0.3835 1.344299
0.3875 1.368847
0.3915 1.317676
0.3955 1.274999
0.3995 1.189621
0.4035 1.142534
0.4075 1.035305
0.4115 0.926579
0.4155 0.820104
0.4195 0.739729
0.4235 0.643526
0.4275 0.554540
0.4315 0.482015
0.4355 0.419805
0.4395 0.312141
0.4435 0.261264
0.4475 0.151933
0.4515 0.128840
0.4555 0.092309
0.4595 0.055332
0.4635 -0.008048
0.4675 -0.037271
0.4715 -0.090886
0.4755 -0.115575
0.4795 -0.174760
0.4835 -0.208700
0.4875 -0.230927
0.4915 -0.248603
0.4955 -0.282090
0.4995 -0.283499
0.5035 -0.319236
0.5075 -0.317268
0.5115 -0.314945
0.5155 -0.315407
0.5195 -0.299033
0.5235 -0.313193
0.5275 -0.325633
0.5315 -0.340801
0.5355 -0.325761
0.5395 -0.330209
0.5435 -0.329300
0.5475 -0.315773
0.5515 -0.295404
0.5555 -0.309497
0.5595 -0.307126
0.5635 -0.307545
0.5675 -0.276320
0.5715 -0.259416
0.5755 -0.245012
0.5795 -0.263617
0.5835 -0.200417
0.5875 -0.173203
0.5915 -0.136280
0.5955 -0.147240
0.5995 -0.129798
0.6035 -0.109379
0.6075 -0.073564
0.6115 -0.019723
0.6155 0.005077
0.6195 0.037066
0.6235 0.027055
0.6275 0.048564
0.6315 0.109462
0.6355 0.067303
0.6395 0.081447
0.6435 0.079635
0.6475 0.053182
0.6515 0.079775
0.6555 0.072060
0.6595 0.035760
0.6635 0.058645
0.6675 0.052058
0.6715 0.014156
0.6755 0.008484
0.6795 0.024906
0.6835 0.064277
0.6875 -0.018879
0.6915 -0.006105
0.6955 -0.015288
0.6995 -0.057394
0.7035 -0.055228
0.7075 -0.056452
0.7115 -0.069510
0.7155 -0.058328
0.7195 -0.048044
0.7235 -0.054416
0.7275 -0.058148
0.7315 -0.066553
0.7355 -0.050749
0.7395 -0.084251
0.7435 -0.074818
0.7475 -0.045506
0.7515 -0.048000
0.7555 -0.050942
0.7595 -0.021147
0.7635 0.004380
0.7675 -0.028784
0.7715 -0.026450
0.7755 -0.019033
0.7795 -0.065070
0.7835 -0.065236
0.7875 -0.012023
0.7915 -0.006223
0.7955 -0.058227
0.7995 0.016901
0.8035 0.018992
0.8075 0.030357
0.8115 0.035848
0.8155 0.033427
0.8195 0.054554
0.8235 0.068834
0.8275 0.056408
0.8315 0.052587
0.8355 0.095159
0.8395 0.060190
0.8435 0.051162
0.8475 0.033194
