# Acetate(C2) -- Na in MM*
# r0[nm] k[kCal/mol/nm^2]
0.2204 9.265031
0.2244 7.469456
0.2284 6.359106
0.2324 5.656150
0.2364 5.045355
0.2404 4.463968
0.2444 3.938632
0.2484 3.320739
0.2524 2.791360
0.2564 2.220914
0.2604 1.652544
0.2644 1.062247
0.2684 0.557758
0.2724 0.066462
0.2763 -0.349467
0.2803 -0.613525
0.2843 -0.809219
0.2883 -0.955145
0.2923 -1.055766
0.2963 -1.222377
0.3003 -1.303761
0.3043 -1.460016
0.3083 -1.545825
0.3123 -1.658904
0.3163 -1.725833
0.3203 -1.830166
0.3243 -1.916981
0.3283 -1.957416
0.3323 -1.983331
0.3363 -1.979319
0.3403 -1.939609
0.3443 -1.814693
0.3483 -1.710925
0.3523 -1.542474
0.3563 -1.321105
0.3603 -1.171433
0.3643 -0.950289
0.3683 -0.721519
0.3723 -0.479304
0.3763 -0.292108
0.3803 -0.112148
0.3843 0.080153
0.3883 0.231744
0.3923 0.339958
0.3963 0.398358
0.4003 0.425426
0.4043 0.419222
0.4083 0.415127
0.4123 0.358692
0.4163 0.273625
0.4203 0.217688
0.4243 0.097615
0.4283 0.029316
0.4323 -0.039145
0.4363 -0.120489
0.4403 -0.192723
0.4443 -0.251155
0.4483 -0.278682
0.4523 -0.333907
0.4562 -0.382805
0.4602 -0.434024
0.4642 -0.430480
0.4682 -0.441080
0.4722 -0.431608
0.4762 -0.449982
0.4802 -0.434412
0.4842 -0.447518
0.4882 -0.409293
0.4922 -0.430311
0.4962 -0.421172
0.5002 -0.389253
0.5042 -0.387722
0.5082 -0.386963
0.5122 -0.376289
0.5162 -0.379664
0.5202 -0.412859
0.5242 -0.386347
0.5282 -0.390062
0.5322 -0.428475
0.5362 -0.414537
0.5402 -0.426573
0.5442 -0.401772
0.5482 -0.421868
0.5522 -0.402808
0.5562 -0.390465
0.5602 -0.391076
0.5642 -0.327716
0.5682 -0.352601
0.5722 -0.285084
0.5762 -0.263934
0.5802 -0.285056
0.5842 -0.226645
0.5882 -0.168137
0.5922 -0.185653
0.5962 -0.143681
0.6002 -0.118056
0.6042 -0.114362
0.6082 -0.060067
0.6122 -0.052882
0.6162 -0.031330
0.6202 0.015530
0.6242 -0.009675
0.6282 0.002512
0.6322 -0.011413
