# Ca -- Ca (Amber03) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2415 63.487860
0.2465 61.417463
0.2515 58.478312
0.2565 55.507572
0.2615 52.652814
0.2665 50.009720
0.2715 47.515881
0.2765 45.317665
0.2815 43.496629
0.2865 41.920658
0.2915 40.432617
0.2965 38.851635
0.3015 37.064120
0.3065 35.049675
0.3115 32.849241
0.3165 30.530492
0.3215 28.243668
0.3265 26.132039
0.3315 24.157828
0.3365 22.265118
0.3415 20.466657
0.3465 18.770651
0.3515 17.178193
0.3565 15.701411
0.3615 14.351675
0.3665 13.124430
0.3715 12.021561
0.3765 11.028740
0.3815 10.125598
0.3865 9.293857
0.3915 8.519564
0.3965 7.802319
0.4015 7.139968
0.4065 6.516856
0.4115 5.937542
0.4165 5.428312
0.4215 5.002896
0.4265 4.644849
0.4315 4.330501
0.4365 4.055874
0.4415 3.809929
0.4465 3.581054
0.4515 3.374326
0.4565 3.201736
0.4615 3.078955
0.4665 3.000811
0.4715 2.941780
0.4765 2.896934
0.4815 2.878638
0.4865 2.886778
0.4915 2.913866
0.4965 2.944445
0.5015 2.958171
0.5065 2.945733
0.5115 2.921438
0.5165 2.897846
0.5215 2.869081
0.5265 2.839230
0.5315 2.819845
0.5365 2.799504
0.5415 2.757802
0.5465 2.704994
0.5515 2.632641
0.5565 2.528829
0.5615 2.399005
0.5665 2.253641
0.5715 2.096020
0.5765 1.931720
0.5815 1.751206
0.5865 1.564836
0.5915 1.398288
0.5965 1.246107
0.6015 1.094356
0.6065 0.937574
0.6115 0.773842
0.6165 0.615772
0.6215 0.476504
0.6265 0.355372
0.6315 0.237971
0.6365 0.116439
0.6415 -0.001704
0.6465 -0.107225
0.6515 -0.205432
0.6565 -0.301828
0.6615 -0.389102
0.6665 -0.466006
0.6715 -0.526329
0.6765 -0.573724
0.6815 -0.613815
0.6865 -0.634030
0.6915 -0.630146
0.6965 -0.614974
0.7015 -0.599426
0.7065 -0.593902
0.7115 -0.587564
0.7165 -0.576095
0.7215 -0.570433
0.7265 -0.552980
0.7315 -0.519279
0.7365 -0.483143
0.7415 -0.448826
0.7465 -0.428556
0.7515 -0.419789
0.7565 -0.403039
0.7615 -0.367291
0.7665 -0.330522
0.7715 -0.300881
0.7765 -0.275700
0.7815 -0.268612
0.7865 -0.260447
0.7915 -0.240547
0.7965 -0.229903
0.8015 -0.213447
0.8065 -0.200100
0.8115 -0.208493
0.8165 -0.229210
0.8215 -0.256209
0.8265 -0.273546
0.8315 -0.276310
0.8365 -0.278180
0.8415 -0.288553
0.8465 -0.299491
0.8515 -0.299503
0.8565 -0.292775
0.8615 -0.292973
0.8665 -0.309142
0.8715 -0.325805
0.8765 -0.332676
0.8815 -0.336136
0.8865 -0.336711
0.8915 -0.345498
0.8965 -0.352393
0.9015 -0.347342
0.9065 -0.339262
0.9115 -0.327853
0.9165 -0.315344
0.9215 -0.303421
0.9265 -0.287746
0.9315 -0.283731
0.9365 -0.288092
0.9415 -0.260167
0.9465 -0.219323
0.9515 -0.199116
0.9565 -0.193210
0.9615 -0.174834
0.9665 -0.150056
0.9715 -0.132969
0.9765 -0.110944
0.9815 -0.088118
0.9865 -0.085001
0.9915 -0.093000
0.9965 -0.077139
1.0015 -0.047048
1.0065 -0.037728
1.0115 -0.039483
1.0165 -0.034587
1.0215 -0.032071
1.0265 -0.043599
1.0315 -0.068450
1.0365 -0.075991
1.0415 -0.062374
1.0465 -0.050256
1.0515 -0.042655
1.0565 -0.044073
1.0615 -0.041381
1.0665 -0.025971
1.0715 -0.021137
1.0765 -0.022375
1.0815 -0.022594
1.0865 -0.032178
1.0915 -0.038875
1.0965 -0.038593
1.1015 -0.044681
1.1065 -0.048748
1.1115 -0.044297
1.1165 -0.038308
1.1215 -0.042968
1.1265 -0.055495
1.1315 -0.058145
1.1365 -0.061625
1.1415 -0.067871
1.1465 -0.056885
1.1515 -0.044089
1.1565 -0.036167
1.1615 -0.019217
1.1665 -0.003836
1.1715 -0.000883
1.1765 -0.009143
1.1815 -0.020941
1.1865 -0.024211
1.1915 -0.015762
1.1965 -0.008637
1.2015 -0.006008
1.2065 0.000675
1.2115 0.018281
1.2165 0.047440
1.2215 0.072477
1.2265 0.083413
1.2315 0.098730
1.2365 0.104976
1.2415 0.094650
1.2465 0.090570
1.2515 0.105834
1.2565 0.132487
1.2615 0.140391
1.2665 0.123863
1.2715 0.110411
1.2765 0.116756
1.2815 0.125183
1.2865 0.124347
1.2915 0.106227
1.2965 0.083740
1.3015 0.068612
1.3065 0.060771
1.3115 0.058369
1.3165 0.063824
1.3215 0.075228
1.3265 0.077111
1.3315 0.064702
1.3365 0.049640
1.3415 0.045161
1.3465 0.051096
1.3515 0.050040
1.3565 0.031114
1.3615 0.010274
1.3665 0.002179
1.3715 0.008313
1.3765 0.022316
1.3815 0.031940
1.3865 0.033828
1.3915 0.039873
1.3965 0.056398
1.4015 0.055147
1.4065 0.043105
1.4115 0.044938
1.4165 0.045785
1.4215 0.032165
1.4265 0.013399
1.4315 -0.003506
1.4365 -0.013403
1.4415 -0.018111
1.4465 -0.024344
1.4515 -0.025294
1.4565 -0.019822
1.4615 -0.010863
1.4665 0.008055
1.4715 0.011597
1.4765 -0.013716
1.4815 -0.039185
1.4865 -0.040129
1.4915 -0.035922
1.4965 -0.040828
