# Ca -- Ca (Amber03) Difference Data: DFT (Hadi, Fulton) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2415 -1.243581
0.2465 -1.674923
0.2515 -2.218136
0.2565 -2.643528
0.2615 -2.941263
0.2665 -3.026991
0.2715 -2.963464
0.2765 -2.604315
0.2815 -1.867985
0.2865 -0.886590
0.2915 0.182736
0.2965 1.159119
0.3015 1.928963
0.3065 2.471548
0.3115 2.822274
0.3165 3.005234
0.3215 3.031120
0.3265 2.918206
0.3315 2.686090
0.3365 2.351821
0.3415 1.930605
0.3465 1.426944
0.3515 0.846652
0.3565 0.201742
0.3615 -0.504079
0.3665 -1.272791
0.3715 -2.075455
0.3765 -2.834052
0.3815 -3.395609
0.3865 -3.687161
0.3915 -3.789459
0.3965 -3.751826
0.4015 -3.654950
0.4065 -3.587598
0.4115 -3.503929
0.4165 -3.335711
0.4215 -3.096210
0.4265 -2.867819
0.4315 -2.685029
0.4365 -2.478734
0.4415 -2.210632
0.4465 -1.937974
0.4515 -1.702855
0.4565 -1.475681
0.4615 -1.213710
0.4665 -0.968793
0.4715 -0.806181
0.4765 -0.715037
0.4815 -0.636412
0.4865 -0.533712
0.4915 -0.404251
0.4965 -0.264308
0.5015 -0.126727
0.5065 -0.029605
0.5115 0.026067
0.5165 0.084987
0.5215 0.112249
0.5265 0.070828
0.5315 -0.004471
0.5365 -0.074130
0.5415 -0.138003
0.5465 -0.180105
0.5515 -0.203456
0.5565 -0.164528
0.5615 -0.060513
0.5665 -0.023256
0.5715 -0.113721
0.5765 -0.273818
0.5815 -0.409092
0.5865 -0.491778
0.5915 -0.552858
0.5965 -0.614524
0.6015 -0.690477
0.6065 -0.818567
0.6115 -0.986296
0.6165 -1.109833
0.6215 -1.125933
0.6265 -1.058440
0.6315 -1.002201
0.6365 -0.995046
0.6415 -0.978500
0.6465 -0.931749
0.6515 -0.879866
0.6565 -0.848108
0.6615 -0.821124
0.6665 -0.789408
0.6715 -0.764729
0.6765 -0.751840
0.6815 -0.747296
0.6865 -0.745781
0.6915 -0.741827
0.6965 -0.729966
0.7015 -0.704904
0.7065 -0.663575
0.7115 -0.614026
0.7165 -0.580887
0.7215 -0.570794
0.7265 -0.552991
0.7315 -0.519279
0.7365 -0.483143
0.7415 -0.448826
0.7465 -0.428556
0.7515 -0.419789
0.7565 -0.403039
0.7615 -0.367291
0.7665 -0.330522
0.7715 -0.300881
0.7765 -0.275700
0.7815 -0.268612
0.7865 -0.260447
0.7915 -0.240547
0.7965 -0.229903
0.8015 -0.213447
0.8065 -0.200100
0.8115 -0.208493
0.8165 -0.229210
0.8215 -0.256209
0.8265 -0.273546
0.8315 -0.276310
0.8365 -0.278180
0.8415 -0.288553
0.8465 -0.299491
0.8515 -0.299503
0.8565 -0.292775
0.8615 -0.292973
0.8665 -0.309142
0.8715 -0.325805
0.8765 -0.332676
0.8815 -0.336136
0.8865 -0.336711
0.8915 -0.345498
0.8965 -0.352393
0.9015 -0.347342
0.9065 -0.339262
0.9115 -0.327853
0.9165 -0.315344
0.9215 -0.303421
0.9265 -0.287746
0.9315 -0.283731
0.9365 -0.288092
0.9415 -0.260167
0.9465 -0.219323
0.9515 -0.199116
0.9565 -0.193210
0.9615 -0.174834
0.9665 -0.150056
0.9715 -0.132969
0.9765 -0.110944
0.9815 -0.088118
0.9865 -0.085001
0.9915 -0.093000
0.9965 -0.077139
1.0015 -0.047048
1.0065 -0.037728
1.0115 -0.039483
1.0165 -0.034587
1.0215 -0.032071
1.0265 -0.043599
1.0315 -0.068450
1.0365 -0.075991
1.0415 -0.062374
1.0465 -0.050256
1.0515 -0.042655
1.0565 -0.044073
1.0615 -0.041381
1.0665 -0.025971
1.0715 -0.021137
1.0765 -0.022375
1.0815 -0.022594
1.0865 -0.032178
1.0915 -0.038875
1.0965 -0.038593
1.1015 -0.044681
1.1065 -0.048748
1.1115 -0.044297
1.1165 -0.038308
1.1215 -0.042968
1.1265 -0.055495
1.1315 -0.058145
1.1365 -0.061625
1.1415 -0.067871
1.1465 -0.056885
1.1515 -0.044089
1.1565 -0.036167
1.1615 -0.019217
1.1665 -0.003836
1.1715 -0.000883
1.1765 -0.009143
1.1815 -0.020941
1.1865 -0.024211
1.1915 -0.015762
1.1965 -0.008637
1.2015 -0.006008
1.2065 0.000675
1.2115 0.018281
1.2165 0.047440
1.2215 0.072477
1.2265 0.083413
1.2315 0.098730
1.2365 0.104976
1.2415 0.094650
1.2465 0.090570
1.2515 0.105834
1.2565 0.132487
1.2615 0.140391
1.2665 0.123863
1.2715 0.110411
1.2765 0.116756
1.2815 0.125183
1.2865 0.124347
1.2915 0.106227
1.2965 0.083740
1.3015 0.068612
1.3065 0.060771
1.3115 0.058369
1.3165 0.063824
1.3215 0.075228
1.3265 0.077111
1.3315 0.064702
1.3365 0.049640
1.3415 0.045161
1.3465 0.051096
1.3515 0.050040
1.3565 0.031114
1.3615 0.010274
1.3665 0.002179
1.3715 0.008313
1.3765 0.022316
1.3815 0.031940
1.3865 0.033828
1.3915 0.039873
1.3965 0.056398
1.4015 0.055147
1.4065 0.043105
1.4115 0.044938
1.4165 0.045785
1.4215 0.032165
1.4265 0.013399
1.4315 -0.003506
1.4365 -0.013403
1.4415 -0.018111
1.4465 -0.024344
1.4515 -0.025294
1.4565 -0.019822
1.4615 -0.010863
1.4665 0.008055
1.4715 0.011597
1.4765 -0.013716
1.4815 -0.039185
1.4865 -0.040129
1.4915 -0.035922
1.4965 -0.040828
