# Ca -- Ca (Amber03) Difference Data: DFT (Hadi, Fulton) - MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.3172 -26.153098
0.3222 -24.785349
0.3272 -22.976619
0.3322 -21.266009
0.3372 -19.729155
0.3422 -18.377389
0.3472 -17.208313
0.3522 -16.215843
0.3572 -15.406867
0.3622 -14.788695
0.3672 -14.352037
0.3722 -14.062359
0.3772 -13.809807
0.3822 -13.440415
0.3872 -12.902468
0.3922 -12.229340
0.3972 -11.464607
0.4022 -10.708623
0.4072 -10.022945
0.4122 -9.352381
0.4172 -8.671644
0.4222 -8.022287
0.4272 -7.458566
0.4322 -6.969078
0.4372 -6.474494
0.4422 -5.953773
0.4472 -5.457401
0.4522 -5.013553
0.4572 -4.623059
0.4622 -4.256210
0.4672 -3.942882
0.4722 -3.731737
0.4772 -3.603081
0.4822 -3.508788
0.4872 -3.404262
0.4922 -3.284496
0.4972 -3.170331
0.5022 -3.054682
0.5072 -2.957962
0.5122 -2.894376
0.5172 -2.823893
0.5222 -2.775371
0.5272 -2.792237
0.5322 -2.847149
0.5372 -2.891871
0.5422 -2.908132
0.5472 -2.889336
0.5522 -2.821336
0.5572 -2.652338
0.5622 -2.419653
0.5672 -2.265160
0.5722 -2.210746
0.5772 -2.197558
0.5822 -2.140403
0.5872 -2.034173
0.5922 -1.932494
0.5972 -1.852466
0.6022 -1.790192
0.6072 -1.758651
0.6122 -1.753643
0.6172 -1.717493
0.6222 -1.590472
0.6272 -1.386803
0.6322 -1.205455
0.6372 -1.087608
0.6422 -0.961379
0.6472 -0.802957
0.6522 -0.643666
0.6572 -0.528488
0.6622 -0.457769
0.6672 -0.401178
0.6722 -0.344143
0.6772 -0.285648
0.6822 -0.227588
0.6872 -0.172089
0.6922 -0.121285
0.6972 -0.077308
0.7022 -0.042274
0.7072 -0.018060
0.7122 -0.005168
0.7172 -0.000808
0.7222 -0.000057
0.7272 -0.000002
0.7322 -0.000000
0.7372 0.000000
0.7422 0.000000
0.7472 -0.000000
0.7522 -0.000000
0.7572 -0.000000
0.7622 -0.000000
0.7672 0.000000
0.7722 0.000000
0.7772 0.000000
0.7822 -0.000000
0.7872 -0.000000
0.7922 -0.000000
0.7972 -0.000000
0.8022 0.000000
0.8072 -0.000000
0.8122 -0.000000
0.8172 0.000000
0.8222 0.000000
0.8272 0.000000
0.8322 0.000000
0.8372 -0.000000
0.8422 -0.000000
0.8472 -0.000000
0.8522 0.000000
0.8572 0.000000
0.8622 0.000000
0.8672 -0.000000
0.8722 -0.000000
0.8772 -0.000000
0.8822 -0.000000
0.8872 -0.000000
0.8922 0.000000
0.8972 0.000000
0.9022 -0.000000
0.9072 -0.000000
0.9122 0.000000
0.9172 0.000000
0.9222 0.000000
0.9272 0.000000
0.9322 0.000000
0.9372 -0.000000
0.9422 -0.000000
0.9472 -0.000000
0.9522 -0.000000
0.9572 0.000000
0.9622 0.000000
0.9672 0.000000
0.9722 -0.000000
0.9772 -0.000000
0.9822 -0.000000
0.9872 -0.000000
0.9922 -0.000000
0.9972 -0.000000
1.0022 0.000000
1.0072 0.000000
1.0122 0.000000
1.0172 0.000000
1.0222 0.000000
1.0272 0.000000
1.0322 0.000000
1.0372 -0.000000
1.0422 -0.000000
1.0472 -0.000000
1.0522 -0.000000
1.0572 -0.000000
1.0622 0.000000
1.0672 0.000000
1.0722 0.000000
1.0772 0.000000
1.0822 0.000000
1.0872 -0.000000
1.0922 -0.000000
1.0972 -0.000000
1.1022 -0.000000
1.1072 -0.000000
1.1122 -0.000000
1.1172 -0.000000
1.1222 0.000000
1.1272 0.000000
1.1322 0.000000
1.1372 0.000000
1.1422 0.000000
1.1472 0.000000
1.1522 0.000000
1.1572 0.000000
1.1622 0.000000
1.1672 -0.000000
1.1722 -0.000000
1.1772 0.000000
1.1822 0.000000
1.1872 0.000000
1.1922 0.000000
1.1972 0.000000
1.2022 0.000000
1.2072 0.000000
1.2122 0.000000
1.2172 0.000000
1.2222 0.000000
1.2272 0.000000
1.2322 0.000000
1.2372 0.000000
1.2422 -0.000000
1.2472 -0.000000
1.2522 0.000000
1.2572 -0.000000
1.2622 -0.000000
1.2672 -0.000000
1.2722 0.000000
1.2772 0.000000
1.2822 -0.000000
1.2872 0.000000
1.2922 0.000000
1.2972 0.000000
1.3022 0.000000
1.3072 0.000000
1.3122 -0.000000
1.3172 -0.000000
1.3222 -0.000000
1.3272 -0.000000
1.3322 -0.000000
1.3372 -0.000000
1.3422 -0.000000
1.3472 -0.000000
1.3522 -0.000000
1.3572 -0.000000
1.3622 -0.000000
1.3672 -0.000000
1.3722 -0.000000
1.3772 -0.000000
1.3822 -0.000000
1.3872 -0.000000
1.3922 -0.000000
1.3972 -0.000000
1.4022 -0.000000
1.4072 -0.000000
1.4122 0.000000
1.4172 0.000000
1.4222 0.000000
1.4272 0.000000
1.4322 0.000000
1.4372 0.000000
1.4422 0.000000
1.4472 -0.000000
1.4522 -0.000000
1.4572 -0.000000
1.4622 -0.000000
1.4672 -0.000000
1.4722 -0.000000
1.4772 -0.000000
1.4822 -0.000000
1.4872 -0.000000
1.4922 0.000000
1.4972 0.000000
