# Ca -- Ca in DFT (Hadi, Fulton)
# r0[nm] k[kCal/mol/nm^2]
0.3793 5.945207
0.3807 5.533827
0.3821 5.538327
0.3836 5.299527
0.3850 5.131377
0.3864 5.001937
0.3879 4.724357
0.3893 4.594887
0.3907 4.441857
0.3921 4.285287
0.3936 4.134947
0.3950 4.039067
0.3964 4.020757
0.3979 3.942177
0.3993 3.927427
0.4007 3.913257
0.4021 3.832877
0.4036 3.684587
0.4050 3.598097
0.4064 3.487687
0.4079 3.373867
0.4093 3.244177
0.4107 3.265757
0.4121 3.219187
0.4136 3.196897
0.4150 3.175717
0.4164 3.083817
0.4179 3.118257
0.4193 3.173357
0.4207 3.130897
0.4221 3.121687
0.4236 3.134557
0.4250 3.121077
0.4264 3.083427
0.4279 3.026237
0.4293 3.056247
0.4307 3.016317
0.4321 2.902137
0.4336 2.872287
0.4350 2.933687
0.4364 2.850757
0.4379 2.873227
0.4393 2.887997
0.4407 2.937407
0.4421 3.020147
0.4436 3.048087
0.4450 3.110897
0.4464 3.052297
0.4479 2.990127
0.4493 3.012997
0.4507 3.046567
0.4521 3.145687
0.4536 3.212247
0.4550 3.216027
0.4564 3.054947
0.4579 3.111207
0.4593 3.129757
0.4607 3.281607
0.4621 3.221627
0.4636 3.183647
0.4650 3.337547
0.4664 3.315907
0.4679 3.376767
0.4693 3.402647
0.4707 3.389547
0.4721 3.320687
0.4736 3.375187
0.4750 3.308727
0.4764 3.262487
0.4779 3.266077
0.4793 3.248307
0.4807 3.223207
0.4821 3.176897
0.4836 3.134407
0.4850 3.070317
0.4864 3.191207
0.4879 3.187367
0.4893 3.155357
0.4907 3.190727
0.4921 3.280077
0.4936 3.212417
0.4950 3.204807
0.4964 3.208267
0.4979 3.293927
0.4993 3.237517
0.5007 3.276137
0.5021 3.279557
0.5036 3.270997
0.5050 3.323747
0.5064 3.301957
0.5079 3.352337
0.5093 3.292487
0.5107 3.213737
0.5121 3.154217
0.5136 3.142057
0.5150 3.193157
0.5164 3.259337
0.5179 3.199797
0.5193 3.209777
0.5207 3.219807
0.5221 3.164987
0.5236 3.129547
0.5250 3.127077
0.5264 3.091607
0.5279 2.982797
0.5293 2.893547
0.5307 2.885467
0.5321 2.795397
0.5336 2.776627
0.5350 2.760107
0.5364 2.750027
0.5379 2.671457
0.5393 2.531397
0.5407 2.551877
0.5421 2.504557
0.5436 2.471787
0.5450 2.473157
0.5464 2.478087
0.5479 2.423297
0.5493 2.439557
0.5507 2.377467
0.5521 2.319077
0.5536 2.266397
0.5550 2.266437
0.5564 2.225487
0.5579 2.325417
0.5593 2.433637
0.5607 2.435907
0.5621 2.564397
0.5636 2.483797
0.5650 2.490237
0.5664 2.439427
0.5679 2.325177
0.5693 2.274217
0.5707 2.358777
0.5721 2.283757
0.5736 2.108857
0.5750 2.080227
0.5764 1.981287
0.5779 1.928317
0.5793 1.922067
0.5807 1.811187
0.5821 1.814917
0.5836 1.834527
0.5850 1.773407
0.5864 1.740091
0.5879 1.733555
0.5893 1.707470
0.5907 1.658417
0.5921 1.636276
0.5936 1.589948
0.5950 1.516347
0.5964 1.473633
0.5979 1.488585
0.5993 1.495483
0.6007 1.534534
0.6021 1.374721
0.6036 1.331714
0.6050 1.274630
0.6064 1.233837
0.6079 1.190054
0.6093 1.046367
0.6107 0.995369
0.6121 0.966430
0.6136 0.886918
0.6150 0.814423
0.6164 0.805890
0.6179 0.777707
0.6193 0.851395
0.6207 0.777882
0.6221 0.717763
0.6236 0.808139
0.6250 0.803417
0.6264 0.843662
0.6279 0.876324
0.6293 0.872100
0.6307 0.866210
0.6321 0.961430
0.6336 0.844809
0.6350 0.905057
0.6364 0.774484
0.6379 0.756344
0.6393 0.811997
0.6407 0.824555
0.6421 0.813741
0.6436 0.790812
0.6450 0.885138
0.6464 0.823990
0.6479 0.809365
0.6493 0.854469
0.6507 0.833504
0.6521 0.916400
0.6536 0.881143
0.6550 0.894199
0.6564 0.833753
0.6579 0.883987
0.6593 0.809738
0.6607 0.846057
0.6621 0.846959
0.6636 0.806643
0.6650 0.851805
0.6664 0.834554
0.6679 0.953118
0.6693 0.987079
0.6707 0.937261
0.6721 0.939223
0.6736 1.003594
0.6750 0.998872
0.6764 1.034788
0.6779 0.975637
0.6793 1.032885
0.6807 0.955476
0.6821 0.942258
0.6836 0.936834
0.6850 0.949719
0.6864 0.962418
0.6879 1.057108
0.6893 1.022512
0.6907 1.002380
0.6921 0.932189
0.6936 0.905668
0.6950 0.987731
0.6964 0.900669
0.6979 0.841650
0.6993 0.740698
