# Ca -- Ca in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2415 46.590852
0.2455 45.945176
0.2495 45.238180
0.2535 45.257121
0.2575 43.228093
0.2615 43.246450
0.2655 41.386020
0.2695 40.786228
0.2735 39.713940
0.2775 37.928742
0.2815 36.085472
0.2855 34.232060
0.2895 31.953257
0.2935 29.999321
0.2975 28.064786
0.3015 26.296013
0.3055 24.747328
0.3095 23.267580
0.3135 21.885192
0.3175 20.651234
0.3215 19.499778
0.3255 18.437361
0.3295 17.439402
0.3334 16.516980
0.3374 15.684699
0.3414 14.860779
0.3454 14.111880
0.3494 13.400005
0.3534 12.746123
0.3574 12.147332
0.3614 11.522680
0.3654 11.036360
0.3694 10.494119
0.3734 10.015230
0.3774 9.578536
0.3814 9.165225
0.3854 8.795245
0.3894 8.432878
0.3934 8.084898
0.3974 7.744945
0.4014 7.450724
0.4054 7.175854
0.4094 6.901447
0.4134 6.699124
0.4174 6.428449
0.4214 6.217220
0.4254 5.946816
0.4293 5.749010
0.4333 5.580008
0.4373 5.358336
0.4413 5.182467
0.4453 5.019042
0.4493 4.844286
0.4533 4.715728
0.4573 4.580631
0.4613 4.445709
0.4653 4.281754
0.4693 4.139287
0.4733 4.069039
0.4773 3.973413
0.4813 3.842472
0.4853 3.783557
0.4893 3.695060
0.4933 3.583759
0.4973 3.478867
0.5013 3.390653
0.5053 3.273583
0.5093 3.263804
0.5133 3.178648
0.5173 3.119890
0.5213 3.035663
0.5253 3.010189
0.5292 2.910123
0.5332 2.866931
0.5372 2.751389
0.5412 2.726160
0.5452 2.656164
0.5492 2.569381
0.5532 2.568728
0.5572 2.502207
0.5612 2.478731
0.5652 2.405997
0.5692 2.362985
0.5732 2.368927
0.5772 2.282815
0.5812 2.251846
0.5852 2.267089
0.5892 2.195173
0.5932 2.174069
0.5972 2.095668
0.6012 2.094325
0.6052 2.013435
0.6092 1.999230
0.6132 1.995296
0.6172 1.979545
0.6212 1.934109
0.6251 1.909863
0.6291 1.861966
0.6331 1.837627
0.6371 1.813815
0.6411 1.798704
0.6451 1.791416
0.6491 1.751489
0.6531 1.700535
0.6571 1.698466
0.6611 1.670361
0.6651 1.690506
0.6691 1.666019
0.6731 1.658333
0.6771 1.633835
0.6811 1.627799
0.6851 1.618859
0.6891 1.631044
0.6931 1.497549
0.6971 1.509312
0.7011 1.464978
0.7051 1.453390
0.7091 1.430038
0.7131 1.434372
0.7171 1.377886
0.7210 1.379594
0.7250 1.393162
0.7290 1.382803
0.7330 1.304411
0.7370 1.291411
0.7410 1.281993
0.7450 1.246893
0.7490 1.259222
0.7530 1.253294
0.7570 1.268093
0.7610 1.232244
0.7650 1.231851
0.7690 1.163836
0.7730 1.232995
0.7770 1.150037
0.7810 1.130726
0.7850 1.199415
0.7890 1.217230
0.7930 1.081253
0.7970 1.146917
0.8010 1.091272
0.8050 1.125428
0.8090 1.047160
0.8130 1.055889
0.8170 1.055613
0.8209 1.039998
0.8249 1.105534
0.8289 1.062936
0.8329 0.976548
0.8369 1.024028
0.8409 0.993470
0.8449 1.027968
