# Ca -- Ca in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2316 inf
0.2356 inf
0.2396 inf
0.2436 inf
0.2476 inf
0.2516 71.666861
0.2556 71.685649
0.2596 70.659580
0.2636 70.677790
0.2676 68.753393
0.2715 67.708316
0.2755 67.725732
0.2795 67.742898
0.2835 63.792976
0.2875 62.502791
0.2915 60.739073
0.2955 59.497704
0.2995 57.720308
0.3035 56.489844
0.3075 54.723845
0.3115 53.068966
0.3155 50.809829
0.3195 48.596620
0.3235 46.253231
0.3275 43.667568
0.3315 41.120444
0.3355 38.740767
0.3395 36.433227
0.3435 34.270904
0.3475 32.236468
0.3515 30.294452
0.3555 28.456549
0.3595 26.771563
0.3635 25.200152
0.3674 23.754720
0.3714 22.373572
0.3754 21.116797
0.3794 19.901990
0.3834 18.816161
0.3874 17.803759
0.3914 16.807794
0.3954 15.880735
0.3994 15.013202
0.4034 14.217775
0.4074 13.449800
0.4114 12.744004
0.4154 12.047770
0.4194 11.448408
0.4234 10.908660
0.4274 10.449794
0.4314 9.984796
0.4354 9.561228
0.4394 9.216152
0.4434 8.844171
0.4474 8.481552
0.4514 8.161197
0.4554 7.834108
0.4594 7.593986
0.4634 7.374394
0.4673 7.259698
0.4713 7.048847
0.4753 6.910413
0.4793 6.749271
0.4833 6.621921
0.4873 6.565489
0.4913 6.532515
0.4953 6.434584
0.4993 6.327839
0.5033 6.258565
0.5073 6.164867
0.5113 6.099831
0.5153 6.027941
0.5193 5.928877
0.5233 5.880450
0.5273 5.798797
0.5313 5.680314
0.5353 5.605931
0.5393 5.506977
0.5433 5.422126
0.5473 5.296005
0.5513 5.217945
0.5553 5.033394
0.5593 4.935751
0.5633 4.791516
0.5672 4.659916
0.5712 4.465574
0.5752 4.272128
0.5792 4.108612
0.5832 3.918280
0.5872 3.733272
0.5912 3.533619
0.5952 3.392486
0.5992 3.262219
0.6032 3.124671
0.6072 2.951055
0.6112 2.800023
0.6152 2.637799
0.6192 2.488885
0.6232 2.333283
0.6272 2.227748
0.6312 2.085712
0.6352 1.986546
0.6392 1.880980
0.6432 1.755111
0.6472 1.664990
0.6512 1.540564
0.6552 1.451409
0.6592 1.333450
0.6631 1.262940
0.6671 1.173610
0.6711 1.115539
0.6751 1.034925
0.6791 0.973851
0.6831 0.950884
0.6871 0.915666
0.6911 0.877700
0.6951 0.860820
0.6991 0.844347
0.7031 0.864931
0.7071 0.814435
0.7111 0.857012
0.7151 0.846850
0.7191 0.846384
0.7231 0.866575
0.7271 0.834081
0.7311 0.828701
0.7351 0.867191
0.7391 0.856498
0.7431 0.865169
0.7471 0.868315
0.7511 0.834081
0.7551 0.822787
0.7591 0.810551
0.7630 0.843156
0.7670 0.874334
0.7710 0.892226
0.7750 0.873441
0.7790 0.935870
0.7830 0.901369
0.7870 0.855566
0.7910 0.905030
0.7950 0.948297
0.7990 0.911228
0.8030 0.891649
0.8070 0.929875
0.8110 0.845791
0.8150 0.846558
0.8190 0.842300
0.8230 0.832642
0.8270 0.721460
0.8310 0.737735
0.8350 0.722771
0.8390 0.744079
0.8430 0.675036
0.8470 0.702699
0.8510 0.671448
0.8550 0.603279
0.8589 0.667450
0.8629 0.620247
0.8669 0.613208
0.8709 0.602061
0.8749 0.579722
0.8789 0.589093
0.8829 0.482070
0.8869 0.461978
0.8909 0.487704
0.8949 0.487206
0.8989 0.476716
0.9029 0.446865
0.9069 0.461149
0.9109 0.472719
0.9149 0.466407
0.9189 0.460989
0.9229 0.465338
0.9269 0.449198
0.9309 0.486976
0.9349 0.422261
0.9389 0.444328
0.9429 0.473603
0.9469 0.524422
0.9509 0.518026
0.9549 0.485900
0.9588 0.520387
0.9628 0.476768
0.9668 0.507710
0.9708 0.511848
0.9748 0.544031
0.9788 0.540549
0.9828 0.555831
0.9868 0.532159
0.9908 0.539259
0.9948 0.549668
0.9988 0.555737
1.0028 0.594013
1.0068 0.557912
1.0108 0.550211
1.0148 0.602862
1.0188 0.535988
1.0228 0.494722
1.0268 0.523655
1.0308 0.416499
1.0348 0.491919
1.0388 0.440028
1.0428 0.438260
1.0468 0.454335
1.0508 0.469843
1.0547 0.475147
1.0587 0.458015
1.0627 0.463600
1.0667 0.465929
1.0707 0.463616
1.0747 0.468612
1.0787 0.450455
1.0827 0.435909
1.0867 0.465532
1.0907 0.440387
1.0947 0.438286
1.0987 0.448446
1.1027 0.412878
1.1067 0.429018
1.1107 0.443543
1.1147 0.399826
