# Ca -- Ca in GB**
# r0[nm] k[kCal/mol/nm^2]
0.2392 51.776881
0.2432 50.860602
0.2472 49.883154
0.2512 48.844859
0.2552 47.505027
0.2592 46.588116
0.2632 45.784283
0.2672 44.100053
0.2712 41.710417
0.2752 38.697901
0.2792 36.385598
0.2832 34.435587
0.2872 32.815434
0.2912 31.448191
0.2952 30.204342
0.2992 29.039145
0.3032 27.930926
0.3072 26.759880
0.3112 25.583114
0.3153 24.458491
0.3193 23.263958
0.3233 22.161319
0.3273 20.956801
0.3313 19.858290
0.3353 18.709803
0.3393 17.530047
0.3433 16.373323
0.3473 15.232528
0.3513 14.040982
0.3553 12.922792
0.3593 11.798554
0.3633 10.641797
0.3673 9.536930
0.3713 8.387454
0.3753 7.326394
0.3793 6.393494
0.3833 5.632022
0.3873 5.062699
0.3913 4.623378
0.3953 4.271970
0.3993 4.039229
0.4033 3.822589
0.4073 3.555992
0.4113 3.360041
0.4153 3.222178
0.4193 3.203261
0.4233 3.176746
0.4274 3.127696
0.4314 3.049529
0.4354 3.044548
0.4394 3.063884
0.4434 3.130808
0.4474 3.151137
0.4514 3.182621
0.4554 3.190299
0.4594 3.254945
0.4634 3.363867
0.4674 3.393184
0.4714 3.409506
0.4754 3.388941
0.4794 3.416799
0.4834 3.359106
0.4874 3.313018
0.4914 3.284140
0.4954 3.321048
0.4994 3.347660
0.5034 3.348489
0.5074 3.339328
0.5114 3.307913
0.5154 3.291881
0.5194 3.248816
0.5234 3.199193
0.5274 3.057942
0.5314 2.939990
0.5354 2.830735
0.5394 2.726667
0.5435 2.647764
0.5475 2.552833
0.5515 2.484762
0.5555 2.434889
0.5595 2.425089
0.5635 2.510538
0.5675 2.445663
0.5715 2.322206
0.5755 2.184542
0.5795 2.034588
0.5835 1.943642
0.5875 1.855918
0.5915 1.750292
0.5955 1.678113
0.5995 1.588862
0.6035 1.437391
0.6075 1.321689
0.6115 1.114163
0.6155 0.984915
0.6195 0.914226
0.6235 0.913218
0.6275 0.960770
0.6315 0.975824
0.6355 0.966781
0.6395 0.941891
0.6435 0.959522
0.6475 0.956928
0.6515 0.945977
0.6556 0.984585
0.6596 0.959319
0.6636 0.970706
0.6676 0.952134
0.6716 0.937861
0.6756 0.932539
0.6796 0.945579
0.6836 0.901349
0.6876 0.892455
0.6916 0.897952
0.6956 0.865110
0.6996 0.866913
0.7036 0.881257
0.7076 0.916630
0.7116 0.936837
0.7156 0.946002
0.7196 0.869676
0.7236 0.874639
0.7276 0.937774
0.7316 0.904261
0.7356 0.922757
0.7396 0.901900
0.7436 0.965290
0.7476 0.941213
0.7516 0.976340
0.7556 1.019529
0.7596 1.042747
0.7637 1.048712
0.7677 1.007486
0.7717 1.016170
0.7757 0.960677
0.7797 1.041727
0.7837 0.960175
0.7877 0.913444
0.7917 0.955613
0.7957 1.007159
0.7997 1.006244
0.8037 1.006626
0.8077 0.942790
0.8117 1.015229
0.8157 0.939019
0.8197 0.890664
0.8237 0.851817
0.8277 0.834385
0.8317 0.814924
0.8357 0.839774
0.8397 0.735522
0.8437 0.781443
0.8477 0.761113
0.8517 0.778629
0.8557 0.781085
0.8597 0.725965
0.8637 0.656606
0.8677 0.701667
0.8717 0.671482
0.8758 0.649464
0.8798 0.601575
0.8838 0.579123
0.8878 0.587846
0.8918 0.564047
0.8958 0.552848
0.8998 0.602400
0.9038 0.612077
0.9078 0.584490
0.9118 0.593615
0.9158 0.626995
0.9198 0.621652
0.9238 0.567510
0.9278 0.625367
0.9318 0.642915
0.9358 0.587154
0.9398 0.603323
0.9438 0.627243
0.9478 0.631768
0.9518 0.676838
0.9558 0.649028
0.9598 0.657844
0.9638 0.633651
0.9678 0.661675
0.9718 0.699650
0.9758 0.682391
0.9798 0.705045
0.9838 0.665644
0.9879 0.665736
0.9919 0.639873
0.9959 0.679980
0.9999 0.603916
1.0039 0.630831
1.0079 0.664972
1.0119 0.664174
1.0159 0.637739
1.0199 0.657605
1.0239 0.648285
1.0279 0.590138
1.0319 0.510825
1.0359 0.572916
1.0399 0.571524
1.0439 0.600034
1.0479 0.542275
1.0519 0.556128
1.0559 0.585455
1.0599 0.565980
1.0639 0.538541
1.0679 0.530593
1.0719 0.584939
1.0759 0.530543
1.0799 0.503692
1.0839 0.535543
1.0879 0.500628
1.0919 0.466937
1.0959 0.500107
1.0999 0.494805
1.1040 0.457855
1.1080 0.410963
1.1120 0.442701
1.1160 0.400370
1.1200 0.391980
1.1240 0.364141
1.1280 0.414507
1.1320 0.421771
1.1360 0.441454
1.1400 0.417389
1.1440 0.468594
1.1480 0.399264
1.1520 0.440161
1.1560 0.506612
1.1600 0.445170
1.1640 0.492270
1.1680 0.433066
1.1720 0.443066
1.1760 0.393756
1.1800 0.425263
1.1840 0.422715
1.1880 0.404352
1.1920 0.420643
1.1960 0.441025
1.2000 0.446036
1.2040 0.414156
1.2080 0.388141
1.2120 0.383542
1.2161 0.428763
1.2201 0.450243
1.2241 0.467535
1.2281 0.410938
1.2321 0.484999
1.2361 0.534412
1.2401 0.466408
1.2441 0.445878
1.2481 0.444590
1.2521 0.431812
1.2561 0.470895
1.2601 0.430807
1.2641 0.409043
1.2681 0.399326
1.2721 0.393022
1.2761 0.402976
1.2801 0.436644
1.2841 0.365420
1.2881 0.401292
1.2921 0.399213
1.2961 0.334767
1.3001 0.395871
1.3041 0.328280
1.3081 0.360570
1.3121 0.319540
1.3161 0.390426
1.3201 0.340368
1.3241 0.439174
1.3282 0.362950
1.3322 0.320573
1.3362 0.316305
1.3402 0.250880
1.3442 0.310553
1.3482 0.266238
1.3522 0.321167
1.3562 0.240804
1.3602 0.235189
1.3642 0.254041
1.3682 0.166697
1.3722 0.205386
1.3762 0.202549
1.3802 0.258109
1.3842 0.196808
1.3882 0.191617
1.3922 0.194610
1.3962 0.181675
1.4002 0.242441
1.4042 0.217240
1.4082 0.186540
1.4122 0.218342
1.4162 0.218797
1.4202 0.164481
1.4242 0.239636
1.4282 0.169468
1.4322 0.184323
1.4362 0.174525
1.4403 0.155852
1.4443 0.148895
1.4483 0.131892
1.4523 0.172311
1.4563 0.116124
1.4603 0.153805
1.4643 0.081695
1.4683 0.106131
1.4723 0.075186
1.4763 0.018027
1.4803 0.083083
1.4843 0.023498
1.4883 -0.022250
1.4923 0.023735
1.4963 0.030844
1.5003 0.000000
1.5043 0.030929
1.5083 0.023701
1.5123 0.014681
1.5163 0.059829
1.5203 0.029166
1.5243 0.004542
1.5283 0.019827
1.5323 0.003874
1.5363 -0.017006
1.5403 0.016408
1.5443 -0.024326
1.5483 0.057271
