# Ca -- Ca in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.3172 50.985506
0.3212 47.791286
0.3252 45.160814
0.3292 42.568044
0.3331 40.099590
0.3371 37.720474
0.3411 35.479468
0.3451 33.333271
0.3491 31.345625
0.3531 29.424905
0.3571 27.640823
0.3611 25.984497
0.3651 24.445350
0.3691 23.000769
0.3731 21.711396
0.3771 20.483564
0.3811 19.361233
0.3851 18.322152
0.3891 17.327731
0.3931 16.374125
0.3971 15.459238
0.4011 14.666235
0.4051 13.860685
0.4091 13.146037
0.4130 12.413339
0.4170 11.785977
0.4210 11.232649
0.4250 10.710133
0.4290 10.222663
0.4330 9.799182
0.4370 9.396816
0.4410 9.032278
0.4450 8.658931
0.4490 8.326216
0.4530 8.028099
0.4570 7.745214
0.4610 7.513426
0.4650 7.305630
0.4690 7.130127
0.4730 6.991730
0.4770 6.849961
0.4810 6.718496
0.4850 6.651772
0.4890 6.592199
0.4930 6.519193
0.4969 6.442909
0.5009 6.383031
0.5049 6.243399
0.5089 6.192860
0.5129 6.088196
0.5169 6.035952
0.5209 5.911526
0.5249 5.846341
0.5289 5.764904
0.5329 5.645620
0.5369 5.612438
0.5409 5.465079
0.5449 5.403038
0.5489 5.290325
0.5529 5.173477
0.5569 5.055865
0.5609 4.888284
0.5649 4.744908
0.5689 4.563032
0.5729 4.388879
0.5769 4.237516
0.5808 4.048692
0.5848 3.854203
0.5888 3.682623
0.5928 3.526337
0.5968 3.345460
0.6008 3.212017
0.6048 3.021785
0.6088 2.877234
0.6128 2.710451
0.6168 2.580211
0.6208 2.413992
0.6248 2.297948
0.6288 2.189599
0.6328 2.045675
0.6368 1.925866
0.6408 1.804265
0.6448 1.710012
0.6488 1.601630
0.6528 1.495352
0.6568 1.370840
0.6608 1.308940
0.6647 1.220281
0.6687 1.170923
0.6727 1.109586
0.6767 1.066084
0.6807 1.004261
0.6847 0.985903
0.6887 0.945406
0.6927 0.915112
0.6967 0.879413
0.7007 0.891060
0.7047 0.851725
0.7087 0.846959
0.7127 0.817058
0.7167 0.837340
0.7207 0.789471
0.7247 0.801614
0.7287 0.842064
0.7327 0.823437
0.7367 0.792851
0.7407 0.860558
0.7447 0.812628
0.7486 0.840018
0.7526 0.836717
0.7566 0.837960
0.7606 0.870793
0.7646 0.868317
0.7686 0.914812
0.7726 0.875873
0.7766 0.915923
0.7806 0.864364
0.7846 0.898651
0.7886 0.917561
0.7926 0.943704
0.7966 0.876721
0.8006 0.870956
0.8046 0.932629
0.8086 0.914422
0.8126 0.803278
0.8166 0.847135
0.8206 0.756678
0.8246 0.843567
0.8286 0.767388
0.8325 0.718033
0.8365 0.749856
0.8405 0.721167
0.8445 0.690748
0.8485 0.664636
0.8525 0.656531
0.8565 0.645895
0.8605 0.664164
0.8645 0.640596
0.8685 0.586316
0.8725 0.562371
0.8765 0.632207
0.8805 0.514746
0.8845 0.510192
0.8885 0.585429
0.8925 0.491169
0.8965 0.482253
0.9005 0.495147
0.9045 0.481532
0.9085 0.452890
0.9125 0.478648
0.9164 0.447446
0.9204 0.444501
0.9244 0.441307
0.9284 0.476304
0.9324 0.513249
0.9364 0.416655
0.9404 0.492029
0.9444 0.489148
0.9484 0.504298
0.9524 0.533490
0.9564 0.501493
0.9604 0.484713
0.9644 0.526818
0.9684 0.543754
0.9724 0.526472
0.9764 0.564217
0.9804 0.573883
0.9844 0.588806
0.9884 0.548727
0.9924 0.524956
0.9963 0.543660
1.0003 0.625288
1.0043 0.562753
1.0083 0.562518
1.0123 0.529837
1.0163 0.578045
1.0203 0.537341
1.0243 0.518454
1.0283 0.557958
1.0323 0.514782
1.0363 0.497691
1.0403 0.530395
1.0443 0.500916
1.0483 0.462761
1.0523 0.542731
1.0563 0.460501
1.0603 0.493146
1.0643 0.463776
1.0683 0.536749
1.0723 0.474951
1.0763 0.439628
1.0802 0.482970
1.0842 0.425940
1.0882 0.407128
1.0922 0.404369
1.0962 0.401639
1.1002 0.367063
1.1042 0.400454
1.1082 0.378566
1.1122 0.396013
1.1162 0.392441
1.1202 0.384205
1.1242 0.355980
1.1282 0.362197
1.1322 0.334744
1.1362 0.357903
1.1402 0.290888
1.1442 0.291344
1.1482 0.321626
1.1522 0.322370
1.1562 0.290758
1.1602 0.310175
1.1641 0.349959
1.1681 0.314207
1.1721 0.334463
1.1761 0.324504
1.1801 0.290229
1.1841 0.298633
1.1881 0.307587
1.1921 0.328648
1.1961 0.352984
1.2001 0.281817
1.2041 0.338948
1.2081 0.339083
1.2121 0.339193
1.2161 0.361079
1.2201 0.383805
1.2241 0.390467
1.2281 0.322943
1.2321 0.359671
1.2361 0.374206
1.2401 0.362430
1.2441 0.340843
1.2480 0.344881
1.2520 0.372789
1.2560 0.394034
1.2600 0.343945
1.2640 0.404675
1.2680 0.371636
1.2720 0.331544
1.2760 0.379092
1.2800 0.355548
1.2840 0.355269
1.2880 0.365797
1.2920 0.304524
1.2960 0.327616
1.3000 0.299115
1.3040 0.271370
1.3080 0.313886
1.3120 0.282684
1.3160 0.280116
1.3200 0.276089
1.3240 0.311220
1.3280 0.251595
1.3319 0.275387
1.3359 0.244897
1.3399 0.250554
1.3439 0.240741
1.3479 0.250657
1.3519 0.231281
1.3559 0.192263
1.3599 0.212270
1.3639 0.191876
1.3679 0.173922
1.3719 0.159487
1.3759 0.154289
1.3799 0.152729
1.3839 0.141004
1.3879 0.173488
1.3919 0.112747
1.3959 0.156654
1.3999 0.189313
1.4039 0.131337
1.4079 0.071820
1.4119 0.122603
1.4158 0.121986
1.4198 0.110671
1.4238 0.050200
1.4278 0.133821
1.4318 0.054880
1.4358 0.073007
1.4398 0.062320
1.4438 0.056498
1.4478 0.057888
1.4518 0.005085
1.4558 0.022312
1.4598 0.025912
1.4638 0.025702
1.4678 0.123127
1.4718 0.037970
1.4758 -0.000926
1.4798 -0.006153
1.4838 -0.007528
1.4878 -0.001800
1.4918 -0.015927
1.4958 0.033203
1.4997 0.000000
1.5037 0.066873
1.5077 0.055336
1.5117 0.056286
1.5157 0.042958
1.5197 0.077987
1.5237 0.063791
1.5277 0.103324
1.5317 0.122634
1.5357 0.113328
1.5397 0.144388
1.5437 0.100717
1.5477 0.170175
