# Ca -- Ca in MM*
# r0[nm] k[kCal/mol/nm^2]
0.2899 43.782730
0.2939 40.451415
0.2979 38.709431
0.3019 38.725324
0.3059 33.599675
0.3099 30.355240
0.3139 27.125179
0.3179 24.381776
0.3219 22.515714
0.3259 21.116440
0.3299 19.944192
0.3339 18.782348
0.3379 17.635532
0.3419 16.476528
0.3459 15.330970
0.3499 14.229103
0.3539 13.092209
0.3579 11.950607
0.3619 10.827062
0.3659 9.690330
0.3699 8.596156
0.3739 7.528875
0.3779 6.553542
0.3819 5.743424
0.3859 5.121211
0.3899 4.659239
0.3939 4.322947
0.3979 4.085643
0.4019 3.878289
0.4059 3.629735
0.4099 3.458874
0.4139 3.303562
0.4179 3.246514
0.4219 3.190091
0.4258 3.142941
0.4298 3.097681
0.4338 3.059933
0.4378 3.092774
0.4418 3.127726
0.4458 3.198428
0.4498 3.271921
0.4538 3.320838
0.4578 3.388382
0.4618 3.410242
0.4658 3.492381
0.4698 3.553293
0.4738 3.546086
0.4778 3.537164
0.4818 3.527822
0.4858 3.529541
0.4898 3.530821
0.4938 3.634307
0.4978 3.608600
0.5018 3.633951
0.5058 3.612015
0.5098 3.597935
0.5138 3.581912
0.5178 3.549822
0.5218 3.489812
0.5258 3.376233
0.5298 3.303965
0.5338 3.165684
0.5378 3.063299
0.5418 2.942756
0.5458 2.895774
0.5498 2.777626
0.5538 2.740565
0.5578 2.765772
0.5618 2.760134
0.5658 2.794824
0.5698 2.712752
0.5738 2.519144
0.5778 2.359930
0.5818 2.225333
0.5858 2.120289
0.5898 2.026697
0.5938 1.937197
0.5978 1.810826
0.6018 1.666891
0.6058 1.489708
0.6098 1.347376
0.6138 1.191381
0.6178 1.094689
0.6218 1.027159
0.6258 1.065023
0.6298 1.086773
0.6338 1.063201
0.6377 1.037274
0.6417 1.018132
0.6457 1.071958
0.6497 1.127419
0.6537 1.137956
0.6577 1.102956
0.6617 1.141900
0.6657 1.084426
0.6697 1.101767
0.6737 1.049353
0.6777 1.067780
0.6817 1.007377
0.6857 1.036166
0.6897 1.086238
0.6937 1.070519
0.6977 1.103962
0.7017 1.055599
0.7057 1.092533
0.7097 1.113842
0.7137 1.086140
0.7177 1.100802
0.7217 1.093856
0.7257 1.082850
0.7297 1.090126
0.7337 1.136384
0.7377 1.129575
0.7417 1.135359
0.7457 1.143705
0.7497 1.182846
0.7537 1.141833
0.7577 1.170905
0.7617 1.175776
0.7657 1.225897
0.7697 1.188588
0.7737 1.226973
0.7777 1.236666
0.7817 1.186550
0.7857 1.204815
0.7897 1.258492
0.7937 1.195507
0.7977 1.170218
0.8017 1.203493
0.8057 1.202833
0.8097 1.188100
0.8137 1.146849
0.8177 1.158782
0.8217 1.139445
0.8257 1.114635
0.8297 1.147315
0.8337 1.132895
0.8377 1.063073
0.8417 1.069364
0.8457 1.022651
0.8496 1.044840
0.8536 1.010615
0.8576 0.982461
0.8616 0.974801
0.8656 0.902868
0.8696 0.938274
0.8736 0.893596
0.8776 0.873293
0.8816 0.800644
0.8856 0.823507
0.8896 0.801993
0.8936 0.800825
0.8976 0.759353
0.9016 0.781175
0.9056 0.743383
0.9096 0.757131
0.9136 0.725275
0.9176 0.811074
0.9216 0.778418
0.9256 0.783351
0.9296 0.755250
0.9336 0.768888
0.9376 0.741459
0.9416 0.808559
0.9456 0.756533
0.9496 0.786556
0.9536 0.728841
0.9576 0.759290
0.9616 0.706458
0.9656 0.677721
0.9696 0.679233
0.9736 0.720574
0.9776 0.742646
0.9816 0.688933
0.9856 0.692385
0.9896 0.683105
0.9936 0.644429
0.9976 0.658068
1.0016 0.647899
1.0056 0.666381
1.0096 0.645353
1.0136 0.690728
1.0176 0.650826
1.0216 0.723902
1.0256 0.642767
1.0296 0.644187
1.0336 0.625498
1.0376 0.664042
1.0416 0.698884
1.0456 0.620315
1.0496 0.663470
1.0536 0.613631
1.0575 0.597465
1.0615 0.623348
1.0655 0.584034
1.0695 0.597730
1.0735 0.538725
1.0775 0.574694
1.0815 0.574956
1.0855 0.499135
1.0895 0.574941
1.0935 0.557418
1.0975 0.548479
1.1015 0.519283
1.1055 0.544383
1.1095 0.507891
1.1135 0.492279
1.1175 0.489455
1.1215 0.465469
1.1255 0.536836
1.1295 0.481958
1.1335 0.473378
1.1375 0.463526
1.1415 0.452556
1.1455 0.416012
1.1495 0.421760
1.1535 0.450036
1.1575 0.428533
1.1615 0.436630
1.1655 0.387470
1.1695 0.394792
1.1735 0.370239
1.1775 0.337353
1.1815 0.311273
1.1855 0.334411
1.1895 0.354906
1.1935 0.318906
1.1975 0.314712
1.2015 0.328221
1.2055 0.314348
1.2095 0.270045
1.2135 0.319273
1.2175 0.346347
1.2215 0.268324
1.2255 0.277546
1.2295 0.281961
1.2335 0.301855
1.2375 0.309758
1.2415 0.339934
1.2455 0.274463
1.2495 0.241387
1.2535 0.314436
1.2575 0.309450
1.2615 0.301341
1.2655 0.333589
1.2694 0.304278
1.2734 0.392573
1.2774 0.354827
1.2814 0.343023
1.2854 0.347995
1.2894 0.348762
1.2934 0.311803
1.2974 0.352901
1.3014 0.326957
1.3054 0.372869
1.3094 0.364525
1.3134 0.324825
1.3174 0.346669
1.3214 0.339354
1.3254 0.304535
1.3294 0.332534
1.3334 0.310788
1.3374 0.333590
1.3414 0.291158
1.3454 0.299409
1.3494 0.270948
1.3534 0.209468
1.3574 0.251241
1.3614 0.279157
1.3654 0.246728
1.3694 0.238481
1.3734 0.239652
1.3774 0.237121
1.3814 0.228451
1.3854 0.208872
1.3894 0.174337
1.3934 0.189724
1.3974 0.155377
1.4014 0.150426
1.4054 0.101332
1.4094 0.155638
1.4134 0.110510
1.4174 0.157843
1.4214 0.113038
1.4254 0.125252
1.4294 0.093639
1.4334 0.129805
1.4374 0.080074
1.4414 0.079991
1.4454 0.117186
1.4494 0.023659
1.4534 -0.020493
1.4574 0.089552
1.4614 0.021574
1.4654 0.034860
1.4694 0.026876
1.4734 -0.030362
1.4773 0.024479
1.4813 -0.024494
1.4853 0.017228
1.4893 -0.026152
1.4933 -0.007192
1.4973 -0.008539
1.5013 0.000000
1.5053 0.004897
1.5093 -0.008671
1.5133 0.037085
1.5173 0.025226
1.5213 0.013096
1.5253 0.055109
1.5293 0.013430
1.5333 -0.007455
1.5373 -0.005779
1.5413 0.044847
1.5453 0.048295
1.5493 0.084619
