# Ca -- Cl (Amber03) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2516 -0.598243
0.2566 -0.739247
0.2616 -0.699408
0.2666 -0.738459
0.2716 -1.343568
0.2766 -2.474722
0.2816 -3.509507
0.2866 -3.767619
0.2916 -3.278582
0.2966 -2.433669
0.3016 -1.488285
0.3066 -0.572954
0.3116 0.261087
0.3166 1.015272
0.3216 1.702211
0.3266 2.322419
0.3316 2.862611
0.3366 3.321241
0.3416 3.717171
0.3466 4.051983
0.3516 4.329133
0.3566 4.572645
0.3616 4.773371
0.3666 4.923734
0.3716 5.041614
0.3766 5.133165
0.3816 5.183647
0.3866 5.173546
0.3916 5.110201
0.3966 5.016744
0.4016 4.897575
0.4066 4.754249
0.4116 4.578812
0.4166 4.367985
0.4216 4.137954
0.4266 3.893507
0.4316 3.623733
0.4366 3.338946
0.4416 3.063946
0.4466 2.792404
0.4516 2.514592
0.4566 2.232562
0.4616 1.964727
0.4666 1.709093
0.4716 1.456250
0.4766 1.226283
0.4816 1.018888
0.4866 0.828002
0.4916 0.664872
0.4966 0.524019
0.5016 0.396261
0.5066 0.287599
0.5116 0.198781
0.5166 0.134354
0.5216 0.092954
0.5266 0.073993
0.5316 0.074415
0.5366 0.062726
0.5416 0.022229
0.5466 -0.019972
0.5516 -0.045464
0.5566 -0.064716
0.5616 -0.077516
0.5666 -0.068697
0.5716 -0.049844
0.5766 -0.022220
0.5816 0.030103
0.5866 0.099701
0.5916 0.158935
0.5966 0.205704
0.6016 0.262617
0.6066 0.329147
0.6116 0.396232
0.6166 0.459406
0.6216 0.518619
0.6266 0.565913
0.6316 0.586541
0.6366 0.589431
0.6416 0.588060
0.6466 0.581444
0.6516 0.576631
0.6566 0.570291
0.6616 0.548543
0.6666 0.513807
0.6716 0.479400
0.6766 0.440230
0.6816 0.401058
0.6866 0.371179
0.6916 0.349683
0.6966 0.316626
0.7016 0.279410
0.7066 0.251009
0.7116 0.221580
0.7166 0.191865
0.7216 0.168917
0.7266 0.144688
0.7316 0.116932
0.7366 0.093980
0.7416 0.084071
0.7466 0.085950
0.7516 0.091672
0.7566 0.087754
0.7616 0.073963
0.7666 0.055159
0.7716 0.022185
0.7766 -0.020845
0.7816 -0.049570
0.7866 -0.050951
0.7916 -0.055355
0.7966 -0.077153
0.8016 -0.069696
0.8066 -0.038553
0.8116 -0.032606
0.8166 -0.041894
0.8216 -0.031182
0.8266 -0.011533
0.8316 0.001024
0.8366 0.018929
0.8416 0.029522
0.8466 0.033202
0.8516 0.053838
0.8566 0.075221
0.8616 0.094726
0.8666 0.123795
0.8716 0.150398
0.8766 0.162774
0.8816 0.163992
0.8866 0.154502
0.8916 0.145297
0.8966 0.149793
0.9016 0.156753
0.9066 0.166903
0.9116 0.161551
0.9166 0.136706
0.9216 0.104535
0.9266 0.085316
0.9316 0.076683
0.9366 0.069213
0.9416 0.065108
0.9466 0.062894
0.9516 0.057523
0.9566 0.048570
0.9616 0.048012
0.9666 0.051787
0.9716 0.040916
0.9766 0.020943
0.9816 -0.001089
0.9866 -0.020217
0.9916 -0.030115
0.9966 -0.021721
