# Ca -- Cl (Amber03) Difference Data: DFT (Hadi, Fulton) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2516 -14.641213
0.2566 -14.477806
0.2616 -13.913880
0.2666 -12.958595
0.2716 -11.793425
0.2766 -10.448181
0.2816 -8.699030
0.2866 -6.413846
0.2916 -3.932158
0.2966 -1.662471
0.3016 0.230244
0.3066 1.764919
0.3116 2.971869
0.3166 3.905009
0.3216 4.637677
0.3266 5.190449
0.3316 5.547372
0.3366 5.731353
0.3416 5.797139
0.3466 5.797432
0.3516 5.750849
0.3566 5.661399
0.3616 5.513983
0.3666 5.334293
0.3716 5.153601
0.3766 4.988769
0.3816 4.799642
0.3866 4.548468
0.3916 4.266719
0.3966 3.987634
0.4016 3.683138
0.4066 3.343949
0.4116 3.013989
0.4166 2.733351
0.4216 2.507690
0.4266 2.310725
0.4316 2.087390
0.4366 1.825520
0.4416 1.552284
0.4466 1.268454
0.4516 1.009290
0.4566 0.815127
0.4616 0.685531
0.4666 0.597387
0.4716 0.501576
0.4766 0.399785
0.4816 0.345134
0.4866 0.331380
0.4916 0.318370
0.4966 0.290721
0.5016 0.250813
0.5066 0.204645
0.5116 0.158496
0.5166 0.118649
0.5216 0.091229
0.5266 0.080272
0.5316 0.079176
0.5366 0.063845
0.5416 0.022322
0.5466 -0.019969
0.5516 -0.045464
0.5566 -0.064716
0.5616 -0.077516
0.5666 -0.068697
0.5716 -0.049844
0.5766 -0.022220
0.5816 0.030103
0.5866 0.099701
0.5916 0.158935
0.5966 0.205704
0.6016 0.262617
0.6066 0.329147
0.6116 0.396232
0.6166 0.459406
0.6216 0.518619
0.6266 0.565913
0.6316 0.586541
0.6366 0.589431
0.6416 0.588060
0.6466 0.581444
0.6516 0.576631
0.6566 0.570291
0.6616 0.548543
0.6666 0.513807
0.6716 0.479400
0.6766 0.440230
0.6816 0.401058
0.6866 0.371179
0.6916 0.349683
0.6966 0.316626
0.7016 0.279410
0.7066 0.251009
0.7116 0.221580
0.7166 0.191865
0.7216 0.168917
0.7266 0.144688
0.7316 0.116932
0.7366 0.093980
0.7416 0.084071
0.7466 0.085950
0.7516 0.091672
0.7566 0.087754
0.7616 0.073963
0.7666 0.055159
0.7716 0.022185
0.7766 -0.020845
0.7816 -0.049570
0.7866 -0.050951
0.7916 -0.055355
0.7966 -0.077153
0.8016 -0.069696
0.8066 -0.038553
0.8116 -0.032606
0.8166 -0.041894
0.8216 -0.031182
0.8266 -0.011533
0.8316 0.001024
0.8366 0.018929
0.8416 0.029522
0.8466 0.033202
0.8516 0.053838
0.8566 0.075221
0.8616 0.094726
0.8666 0.123795
0.8716 0.150398
0.8766 0.162774
0.8816 0.163992
0.8866 0.154502
0.8916 0.145297
0.8966 0.149793
0.9016 0.156753
0.9066 0.166903
0.9116 0.161551
0.9166 0.136706
0.9216 0.104535
0.9266 0.085316
0.9316 0.076683
0.9366 0.069213
0.9416 0.065108
0.9466 0.062894
0.9516 0.057523
0.9566 0.048570
0.9616 0.048012
0.9666 0.051787
0.9716 0.040916
0.9766 0.020943
0.9816 -0.001089
0.9866 -0.020217
0.9916 -0.030115
0.9966 -0.021721
