# Ca -- Cl (Amber03) Difference Data: DFT (Hadi, Fulton) - MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2516 -14.389826
0.2566 -13.898731
0.2616 -13.246090
0.2666 -12.222606
0.2716 -10.449929
0.2766 -7.973459
0.2816 -5.189523
0.2866 -2.646227
0.2916 -0.653576
0.2966 0.771198
0.3016 1.718530
0.3066 2.337873
0.3116 2.710781
0.3166 2.889738
0.3216 2.935466
0.3266 2.868031
0.3316 2.684761
0.3366 2.410112
0.3416 2.079967
0.3466 1.745449
0.3516 1.421716
0.3566 1.088754
0.3616 0.740612
0.3666 0.410559
0.3716 0.111988
0.3766 -0.144396
0.3816 -0.384005
0.3866 -0.625077
0.3916 -0.843482
0.3966 -1.029110
0.4016 -1.214437
0.4066 -1.410301
0.4116 -1.564823
0.4166 -1.634634
0.4216 -1.630263
0.4266 -1.582782
0.4316 -1.536343
0.4366 -1.513427
0.4416 -1.511662
0.4466 -1.523950
0.4516 -1.505302
0.4566 -1.417435
0.4616 -1.279196
0.4666 -1.111710
0.4716 -0.954792
0.4766 -0.827965
0.4816 -0.680520
0.4866 -0.507955
0.4916 -0.350664
0.4966 -0.227083
0.5016 -0.136432
0.5066 -0.073816
0.5116 -0.034014
0.5166 -0.011795
0.5216 -0.001937
0.5266 0.000674
0.5316 0.000486
0.5366 0.000102
0.5416 0.000008
0.5466 0.000000
0.5516 -0.000000
0.5566 -0.000000
0.5616 -0.000000
0.5666 -0.000000
0.5716 -0.000000
0.5766 -0.000000
0.5816 0.000000
0.5866 0.000000
0.5916 0.000000
0.5966 0.000000
0.6016 0.000000
0.6066 0.000000
0.6116 0.000000
0.6166 0.000000
0.6216 0.000000
0.6266 0.000000
0.6316 0.000000
0.6366 -0.000000
0.6416 0.000000
0.6466 0.000000
0.6516 0.000000
0.6566 0.000000
0.6616 -0.000000
0.6666 -0.000000
0.6716 -0.000000
0.6766 -0.000000
0.6816 -0.000000
0.6866 -0.000000
0.6916 0.000000
0.6966 0.000000
0.7016 0.000000
0.7066 -0.000000
0.7116 -0.000000
0.7166 0.000000
0.7216 0.000000
0.7266 0.000000
0.7316 0.000000
0.7366 0.000000
0.7416 0.000000
0.7466 0.000000
0.7516 0.000000
0.7566 0.000000
0.7616 -0.000000
0.7666 -0.000000
0.7716 -0.000000
0.7766 -0.000000
0.7816 -0.000000
0.7866 -0.000000
0.7916 -0.000000
0.7966 0.000000
0.8016 0.000000
0.8066 0.000000
0.8116 0.000000
0.8166 0.000000
0.8216 0.000000
0.8266 0.000000
0.8316 0.000000
0.8366 -0.000000
0.8416 -0.000000
0.8466 -0.000000
0.8516 0.000000
0.8566 0.000000
0.8616 0.000000
0.8666 -0.000000
0.8716 -0.000000
0.8766 -0.000000
0.8816 -0.000000
0.8866 0.000000
0.8916 0.000000
0.8966 -0.000000
0.9016 -0.000000
0.9066 -0.000000
0.9116 -0.000000
0.9166 -0.000000
0.9216 -0.000000
0.9266 0.000000
0.9316 0.000000
0.9366 -0.000000
0.9416 -0.000000
0.9466 -0.000000
0.9516 -0.000000
0.9566 -0.000000
0.9616 -0.000000
0.9666 -0.000000
0.9716 -0.000000
0.9766 -0.000000
0.9816 0.000000
0.9866 0.000000
0.9916 -0.000000
0.9966 -0.000000
