# Ca -- Cl in DFT (Hadi, Fulton)
# r0[nm] k[kCal/mol/nm^2]
0.2519 4.030434
0.2531 4.036374
0.2544 4.042284
0.2556 3.632284
0.2569 3.394854
0.2581 3.094184
0.2594 2.898104
0.2606 2.753084
0.2619 2.586214
0.2631 2.499434
0.2644 2.425004
0.2656 2.327554
0.2669 2.193024
0.2681 2.085084
0.2694 1.995224
0.2706 1.918464
0.2719 1.908804
0.2731 1.899484
0.2744 1.919784
0.2756 1.925234
0.2769 1.930664
0.2781 1.921254
0.2794 2.021574
0.2806 2.026934
0.2819 2.049654
0.2831 2.150404
0.2844 2.269234
0.2856 2.226474
0.2869 2.255244
0.2881 2.337164
0.2894 2.399544
0.2906 2.375444
0.2919 2.409864
0.2931 2.414994
0.2944 2.553984
0.2956 2.639194
0.2969 2.736744
0.2981 2.741784
0.2994 2.698784
0.3006 2.703784
0.3019 2.756784
0.3031 2.813954
0.3044 2.939294
0.3056 3.014884
0.3069 3.019784
0.3081 3.024654
0.3094 3.109634
0.3106 3.114474
0.3119 3.211784
0.3131 3.124094
0.3144 3.221364
0.3156 3.335524
0.3169 3.340264
0.3181 3.344984
0.3194 3.483574
0.3206 3.488264
0.3219 3.492934
0.3231 3.670194
0.3244 3.674834
0.3256 3.679444
0.3269 3.684044
0.3281 3.688624
0.3294 3.693184
0.3306 3.697734
0.3319 3.702254
0.3331 3.706774
0.3344 3.711264
0.3356 3.715744
0.3369 3.720204
0.3381 3.724644
0.3394 3.729074
0.3406 3.733484
0.3419 3.565274
0.3431 3.569654
0.3444 3.574014
0.3456 3.578364
0.3469 3.582694
0.3481 3.587014
0.3494 3.457424
0.3506 3.461714
0.3519 3.465984
0.3531 3.470244
0.3544 3.474484
0.3556 3.478704
0.3569 3.482914
0.3581 3.377714
0.3594 3.381904
0.3606 3.386064
0.3619 3.217614
0.3631 3.301864
0.3644 3.225874
0.3656 3.229984
0.3669 3.163404
0.3681 3.167484
0.3694 3.051154
0.3706 3.003004
0.3719 2.959014
0.3731 2.963044
0.3744 2.967054
0.3756 2.971054
0.3769 2.930574
0.3781 2.854434
0.3794 2.858394
0.3806 2.825964
0.3819 2.829904
0.3831 2.767084
0.3844 2.770994
0.3856 2.714844
0.3869 2.638604
0.3881 2.571804
0.3894 2.512454
0.3906 2.496624
0.3919 2.378294
0.3931 2.336524
0.3944 2.355154
0.3956 2.329674
0.3969 2.278874
0.3981 2.164624
0.3994 2.157764
0.4006 2.101464
0.4019 2.059384
0.4031 1.973144
0.4044 1.925914
0.4056 1.851254
0.4069 1.723514
0.4081 1.644614
0.4094 1.542474
0.4106 1.531934
0.4119 1.450654
0.4131 1.421694
0.4144 1.405454
0.4156 1.360834
0.4169 1.247794
0.4181 1.198644
0.4194 1.162784
0.4206 1.150204
0.4219 1.107784
0.4231 1.068634
0.4244 1.009874
0.4256 1.021714
0.4269 1.015544
0.4281 0.962744
0.4294 0.907924
0.4306 0.934534
0.4319 0.881794
0.4331 0.768574
0.4344 0.724484
0.4356 0.720634
0.4369 0.637834
0.4381 0.594904
0.4394 0.556494
0.4406 0.512944
0.4419 0.451904
0.4431 0.367404
0.4444 0.302566
0.4456 0.235010
0.4469 0.159712
0.4481 0.067829
0.4494 0.006955
0.4506 -0.062812
0.4519 -0.083114
0.4531 -0.124797
0.4544 -0.177285
0.4556 -0.227770
0.4569 -0.210667
0.4581 -0.221507
0.4594 -0.262095
0.4606 -0.310665
0.4619 -0.308962
0.4631 -0.317469
0.4644 -0.340102
0.4656 -0.293036
0.4669 -0.337282
0.4681 -0.398950
0.4694 -0.408580
0.4706 -0.313796
0.4719 -0.361957
0.4731 -0.423490
0.4744 -0.463990
0.4756 -0.504440
0.4769 -0.496264
0.4781 -0.514006
0.4794 -0.528153
0.4806 -0.543197
0.4819 -0.483393
0.4831 -0.498006
0.4844 -0.518024
0.4856 -0.534234
0.4869 -0.460549
0.4881 -0.358075
0.4894 -0.326014
0.4906 -0.310998
0.4919 -0.290257
0.4931 -0.319083
0.4944 -0.317822
0.4956 -0.249835
0.4969 -0.255769
0.4981 -0.328289
0.4994 -0.385116
0.5006 -0.427310
0.5019 -0.416059
0.5031 -0.419617
0.5044 -0.383184
0.5056 -0.404378
0.5069 -0.385791
0.5081 -0.398643
0.5094 -0.356935
0.5106 -0.343924
0.5119 -0.324949
0.5131 -0.277353
0.5144 -0.268900
0.5156 -0.251700
0.5169 -0.238690
0.5181 -0.188094
0.5194 -0.192182
0.5206 -0.264986
0.5219 -0.308038
0.5231 -0.299678
0.5244 -0.247349
0.5256 -0.210268
0.5269 -0.231578
0.5281 -0.201278
0.5294 -0.170288
0.5306 -0.159111
0.5319 -0.131052
0.5331 -0.093077
0.5344 -0.112731
0.5356 -0.149860
0.5369 -0.092111
0.5381 -0.140762
0.5394 -0.162858
0.5406 -0.103702
0.5419 -0.086171
0.5431 -0.063660
0.5444 -0.016631
0.5456 -0.059831
0.5469 -0.042920
0.5481 -0.021251
0.5494 -0.083374
0.5506 -0.062996
0.5519 0.034956
0.5531 0.072985
0.5544 0.084426
0.5556 0.098620
0.5569 0.064167
0.5581 -0.014025
0.5594 0.027893
0.5606 -0.009383
0.5619 0.098657
0.5631 0.115238
0.5644 0.126583
0.5656 0.103382
0.5669 0.116379
0.5681 0.138650
0.5694 0.173218
0.5706 0.066931
0.5719 0.135679
0.5731 0.138829
0.5744 0.158467
0.5756 0.166553
0.5769 0.146655
0.5781 0.105482
0.5794 0.126419
0.5806 0.152490
0.5819 0.137200
0.5831 0.136026
