# Ca -- Cl in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2711 13.890792
0.2751 12.689168
0.2791 12.254901
0.2831 10.608570
0.2871 8.399854
0.2911 6.415983
0.2951 4.686033
0.2991 3.145090
0.3031 1.911656
0.3071 0.930331
0.3111 0.158881
0.3151 -0.475767
0.3191 -0.973357
0.3231 -1.361926
0.3271 -1.677632
0.3311 -1.899976
0.3351 -2.071037
0.3391 -2.130347
0.3432 -2.230978
0.3472 -2.279103
0.3512 -2.261159
0.3552 -2.259679
0.3592 -2.261303
0.3632 -2.228553
0.3672 -2.179669
0.3712 -2.145546
0.3752 -2.093705
0.3792 -2.031884
0.3832 -2.010126
0.3872 -1.901899
0.3912 -1.836402
0.3952 -1.761607
0.3992 -1.667254
0.4032 -1.629215
0.4072 -1.579912
0.4112 -1.516267
0.4152 -1.448315
0.4192 -1.419852
0.4232 -1.318893
0.4272 -1.318766
0.4312 -1.251701
0.4352 -1.137920
0.4392 -1.137345
0.4432 -1.117512
0.4472 -1.068529
0.4512 -1.039323
0.4552 -1.023870
0.4592 -0.983358
0.4632 -0.930279
0.4672 -0.946900
0.4712 -0.890124
0.4752 -0.831314
0.4792 -0.853811
0.4832 -0.800661
0.4872 -0.788495
0.4912 -0.742936
0.4952 -0.753605
0.4992 -0.727082
0.5032 -0.719110
0.5072 -0.707250
0.5112 -0.623933
0.5152 -0.634825
0.5192 -0.623673
0.5232 -0.556508
0.5272 -0.575462
0.5312 -0.603713
0.5352 -0.590197
0.5392 -0.553988
0.5432 -0.554416
0.5472 -0.517312
0.5512 -0.474691
0.5552 -0.500847
0.5592 -0.445793
0.5632 -0.456732
0.5672 -0.479413
0.5712 -0.483292
0.5752 -0.431768
0.5792 -0.417711
0.5832 -0.427326
0.5872 -0.444132
0.5912 -0.431359
0.5952 -0.426869
0.5992 -0.374007
0.6032 -0.398606
0.6072 -0.377111
0.6112 -0.384429
0.6152 -0.386836
0.6192 -0.372756
0.6232 -0.376775
0.6272 -0.389284
0.6312 -0.371209
0.6352 -0.330806
0.6392 -0.360578
0.6433 -0.319818
0.6473 -0.337212
0.6513 -0.343933
0.6553 -0.366069
0.6593 -0.363573
0.6633 -0.333443
0.6673 -0.287530
0.6713 -0.317828
