# Ca -- Cl in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2692 13.344772
0.2732 11.225714
0.2772 10.250432
0.2812 8.798652
0.2852 6.261354
0.2892 4.113862
0.2932 2.638054
0.2972 1.644699
0.3012 1.041338
0.3052 0.647611
0.3092 0.445868
0.3132 0.375682
0.3172 0.425176
0.3212 0.543908
0.3252 0.729527
0.3292 0.895998
0.3332 1.128638
0.3371 1.352308
0.3411 1.542207
0.3451 1.736786
0.3491 1.985452
0.3531 2.170470
0.3571 2.356730
0.3611 2.585734
0.3651 2.715088
0.3691 2.849713
0.3731 2.982605
0.3771 3.117466
0.3811 3.261377
0.3851 3.325396
0.3891 3.369075
0.3931 3.389886
0.3971 3.386398
0.4011 3.348532
0.4051 3.326584
0.4091 3.292919
0.4131 3.144632
0.4171 3.013629
0.4211 2.870935
0.4251 2.666102
0.4291 2.478556
0.4331 2.319913
0.4371 2.152418
0.4411 1.980052
0.4451 1.858177
0.4491 1.696181
0.4531 1.518555
0.4571 1.298422
0.4611 1.137319
0.4650 0.998566
0.4690 0.753293
0.4730 0.582242
0.4770 0.451536
0.4810 0.319950
0.4850 0.184513
0.4890 0.064175
0.4930 -0.018432
0.4970 -0.149342
0.5010 -0.249124
0.5050 -0.283851
0.5090 -0.311604
0.5130 -0.373394
0.5170 -0.417224
0.5210 -0.426605
0.5250 -0.416796
0.5290 -0.459672
0.5330 -0.383078
0.5370 -0.434790
0.5410 -0.440089
0.5450 -0.480472
0.5490 -0.503560
0.5530 -0.470363
0.5570 -0.490805
0.5610 -0.503211
0.5650 -0.487192
0.5690 -0.444985
0.5730 -0.420242
0.5770 -0.368667
0.5810 -0.332937
0.5850 -0.289632
0.5889 -0.255067
0.5929 -0.167890
0.5969 -0.117233
0.6009 -0.071322
0.6049 -0.027461
0.6089 0.023862
0.6129 0.068539
0.6169 0.138215
0.6209 0.203879
0.6249 0.276689
0.6289 0.292982
0.6329 0.284091
0.6369 0.297547
0.6409 0.321647
0.6449 0.323694
0.6489 0.316120
0.6529 0.315769
0.6569 0.310162
0.6609 0.323730
0.6649 0.291960
0.6689 0.264141
0.6729 0.246064
0.6769 0.177071
0.6809 0.144992
0.6849 0.133300
0.6889 0.124489
0.6929 0.111373
0.6969 0.085245
0.7009 0.115748
0.7049 0.081448
0.7089 0.045125
0.7129 0.022454
0.7168 -0.017835
0.7208 -0.005508
0.7248 0.015292
0.7288 -0.047894
0.7328 -0.082042
0.7368 -0.077866
0.7408 -0.095812
0.7448 -0.131571
0.7488 -0.086344
0.7528 -0.078439
0.7568 -0.057795
0.7608 -0.131725
0.7648 -0.095178
0.7688 -0.125905
0.7728 -0.129163
0.7768 -0.204222
0.7808 -0.172258
0.7848 -0.181286
0.7888 -0.180168
0.7928 -0.181915
0.7968 -0.211622
0.8008 -0.231929
0.8048 -0.128562
0.8088 -0.174983
0.8128 -0.137027
0.8168 -0.166303
0.8208 -0.124183
0.8248 -0.097691
0.8288 -0.119997
0.8328 -0.109030
0.8368 -0.098961
0.8407 -0.040687
0.8447 -0.049497
0.8487 -0.003578
0.8527 0.016505
0.8567 0.102389
0.8607 0.017233
0.8647 0.070928
0.8687 0.095165
0.8727 0.180750
0.8767 0.132115
0.8807 0.105870
0.8847 0.154696
0.8887 0.173796
0.8927 0.142199
0.8967 0.114086
0.9007 0.126652
0.9047 0.077722
0.9087 0.172955
0.9127 0.138850
0.9167 0.088886
0.9207 0.028838
0.9247 0.041474
0.9287 0.051685
0.9327 0.016638
0.9367 0.056640
0.9407 0.057296
0.9447 0.021354
0.9487 0.070919
0.9527 0.093034
0.9567 0.031291
0.9607 0.082322
0.9647 0.035632
0.9686 0.080889
0.9726 0.115365
0.9766 0.054226
0.9806 0.009746
0.9846 0.035019
0.9886 -0.053086
0.9926 0.041368
0.9966 0.043168
