# Ca -- Cl in GB**
# r0[nm] k[kCal/mol/nm^2]
0.2719 10.084376
0.2759 7.614493
0.2799 5.114950
0.2839 3.476159
0.2879 2.634771
0.2919 2.360645
0.2959 2.386041
0.2999 2.475719
0.3039 2.645633
0.3079 2.842395
0.3119 3.007832
0.3159 3.187033
0.3199 3.328815
0.3239 3.494780
0.3279 3.603522
0.3319 3.614209
0.3359 3.626587
0.3399 3.603484
0.3439 3.531205
0.3479 3.517191
0.3520 3.450531
0.3560 3.372041
0.3600 3.310343
0.3640 3.264818
0.3680 3.102139
0.3720 3.017019
0.3760 2.984230
0.3800 2.889439
0.3840 2.720643
0.3880 2.589180
0.3920 2.422710
0.3960 2.284746
0.4000 2.076638
0.4040 1.915152
0.4080 1.662234
0.4120 1.481867
0.4160 1.339864
0.4200 1.205230
0.4240 1.079409
0.4280 0.985779
0.4320 0.820902
0.4360 0.698312
0.4400 0.456498
0.4440 0.306850
0.4480 0.089949
0.4520 -0.036870
0.4560 -0.171813
0.4600 -0.245832
0.4640 -0.289650
0.4680 -0.323488
0.4720 -0.329612
0.4760 -0.395157
0.4800 -0.407581
0.4840 -0.436392
0.4880 -0.414792
0.4920 -0.448681
0.4960 -0.429396
0.5000 -0.452365
0.5040 -0.478798
0.5080 -0.480370
0.5120 -0.477259
0.5160 -0.486531
0.5200 -0.502076
0.5240 -0.469821
0.5280 -0.488477
0.5320 -0.471270
0.5360 -0.467818
0.5400 -0.483418
0.5440 -0.524582
0.5481 -0.554646
0.5521 -0.492841
0.5561 -0.549305
0.5601 -0.522700
0.5641 -0.519493
0.5681 -0.492944
0.5721 -0.524049
0.5761 -0.486784
0.5801 -0.430481
0.5841 -0.348710
0.5881 -0.247192
0.5921 -0.188306
0.5961 -0.147082
0.6001 -0.134480
0.6041 -0.057267
0.6081 -0.009146
0.6121 0.062298
0.6161 0.098959
0.6201 0.167058
0.6241 0.182498
0.6281 0.229663
0.6321 0.236782
0.6361 0.220417
0.6401 0.207257
0.6441 0.241314
0.6481 0.286018
0.6521 0.258204
0.6561 0.251434
0.6601 0.219574
0.6641 0.269468
0.6681 0.202025
0.6721 0.227295
0.6761 0.201731
0.6801 0.165014
0.6841 0.139145
0.6881 0.110938
0.6921 0.103536
