# Ca -- Cl in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2516 19.394642
0.2556 17.140581
0.2596 17.159102
0.2636 14.951386
0.2676 14.969353
0.2716 12.707603
0.2756 10.807154
0.2796 8.152727
0.2836 5.865798
0.2876 4.103876
0.2916 2.793561
0.2956 1.808444
0.2996 1.131222
0.3036 0.714022
0.3076 0.476744
0.3116 0.383993
0.3156 0.372681
0.3196 0.439275
0.3236 0.600264
0.3277 0.772636
0.3317 0.997798
0.3357 1.193234
0.3397 1.432517
0.3437 1.673420
0.3477 1.887862
0.3517 2.060063
0.3557 2.297827
0.3597 2.489393
0.3637 2.647822
0.3677 2.781227
0.3717 2.915906
0.3757 3.047607
0.3797 3.178272
0.3837 3.227781
0.3877 3.317523
0.3917 3.279313
0.3957 3.322910
0.3997 3.283137
0.4037 3.227022
0.4077 3.168740
0.4117 3.095883
0.4157 2.955352
0.4197 2.855005
0.4237 2.703685
0.4277 2.546261
0.4317 2.404461
0.4357 2.205397
0.4397 2.049044
0.4437 1.845542
0.4477 1.657597
0.4517 1.489661
0.4557 1.243269
0.4597 1.075246
0.4637 0.909645
0.4677 0.741808
0.4717 0.533432
0.4757 0.409527
0.4797 0.268092
0.4837 0.120560
0.4877 -0.028188
0.4917 -0.095174
0.4957 -0.178576
0.4997 -0.341139
0.5037 -0.358605
0.5078 -0.444115
0.5118 -0.446670
0.5158 -0.516080
0.5198 -0.472670
0.5238 -0.521927
0.5278 -0.523979
0.5318 -0.518024
0.5358 -0.473897
0.5398 -0.514681
0.5438 -0.569702
0.5478 -0.552480
0.5518 -0.525307
0.5558 -0.520914
0.5598 -0.578059
0.5638 -0.548523
0.5678 -0.531617
0.5718 -0.528574
0.5758 -0.480184
0.5798 -0.424266
0.5838 -0.389049
0.5878 -0.307350
0.5918 -0.247723
0.5958 -0.247508
0.5998 -0.147054
0.6038 -0.094005
0.6078 -0.038321
0.6118 0.020010
0.6158 0.068513
0.6198 0.118543
0.6238 0.170691
0.6278 0.216926
0.6318 0.231017
0.6358 0.228566
0.6398 0.273318
0.6438 0.263019
0.6478 0.222796
0.6518 0.233878
0.6558 0.204087
0.6598 0.239558
0.6638 0.205805
0.6678 0.190288
0.6718 0.187899
0.6758 0.144520
0.6798 0.132572
0.6838 0.113514
0.6879 0.061192
0.6919 0.067732
0.6959 0.036122
0.6999 0.004330
0.7039 -0.006218
0.7079 -0.022639
0.7119 -0.041687
0.7159 -0.083769
0.7199 -0.086612
0.7239 -0.084140
0.7279 -0.093598
0.7319 -0.091613
0.7359 -0.125390
0.7399 -0.106000
0.7439 -0.129596
0.7479 -0.124558
0.7519 -0.137445
0.7559 -0.125460
0.7599 -0.138402
0.7639 -0.157099
0.7679 -0.142186
0.7719 -0.166301
0.7759 -0.193408
0.7799 -0.167983
0.7839 -0.170541
0.7879 -0.128817
0.7919 -0.098224
0.7959 -0.176242
0.7999 -0.136938
0.8039 -0.131638
0.8079 -0.105856
0.8119 -0.119012
0.8159 -0.112603
0.8199 -0.151194
0.8239 -0.075939
0.8279 -0.076986
0.8319 -0.086058
0.8359 -0.041187
0.8399 -0.027722
0.8439 0.021732
0.8479 -0.066939
0.8519 -0.026822
0.8559 0.001462
0.8599 -0.001365
0.8639 0.016017
0.8680 0.049439
0.8720 0.052719
0.8760 0.069181
0.8800 0.082379
0.8840 0.090839
0.8880 0.074090
0.8920 0.034614
0.8960 0.116848
0.9000 0.022624
0.9040 0.135092
0.9080 0.091380
0.9120 0.142492
0.9160 0.145461
0.9200 0.021224
0.9240 0.080609
0.9280 0.012613
0.9320 0.065264
0.9360 0.043234
0.9400 0.020505
0.9440 0.045845
0.9480 -0.004389
0.9520 0.024856
0.9560 0.009362
0.9600 0.008873
0.9640 0.040390
0.9680 0.053524
0.9720 0.000084
0.9760 0.046572
0.9800 0.010052
0.9840 -0.030895
0.9880 0.002876
0.9920 -0.020269
0.9960 0.009019
1.0000 0.000000
1.0040 -0.006437
1.0080 -0.028585
1.0120 -0.038794
1.0160 0.010820
1.0200 0.009029
1.0240 0.002994
1.0280 -0.032078
1.0320 0.007627
1.0360 -0.039041
1.0400 -0.038976
1.0441 0.023819
1.0481 0.048193
1.0521 0.008534
1.0561 0.069770
1.0601 -0.000751
1.0641 0.042313
1.0681 0.043333
1.0721 0.070215
1.0761 0.010565
1.0801 0.043832
1.0841 0.058703
1.0881 0.030614
1.0921 0.056517
1.0961 0.104928
1.1001 0.028759
