# Ca -- Cl in MM*
# r0[nm] k[kCal/mol/nm^2]
0.2718 4.736217
0.2758 2.932541
0.2798 2.065651
0.2838 1.841245
0.2878 1.934719
0.2918 2.163825
0.2958 2.355325
0.2998 2.553008
0.3038 2.750436
0.3078 2.930173
0.3118 3.044553
0.3158 3.243366
0.3198 3.376714
0.3238 3.456514
0.3278 3.556110
0.3318 3.592147
0.3357 3.671158
0.3397 3.634157
0.3437 3.547680
0.3477 3.545916
0.3517 3.506293
0.3557 3.383714
0.3597 3.357276
0.3637 3.227475
0.3677 3.108274
0.3717 2.992314
0.3757 2.902478
0.3797 2.844074
0.3837 2.696306
0.3877 2.579097
0.3917 2.358819
0.3957 2.230421
0.3997 2.000342
0.4037 1.823090
0.4077 1.566587
0.4117 1.360585
0.4157 1.178276
0.4197 1.059153
0.4237 0.914983
0.4277 0.819990
0.4317 0.721752
0.4357 0.591380
0.4397 0.415143
0.4437 0.176034
0.4477 -0.001766
0.4517 -0.153191
0.4557 -0.255719
0.4597 -0.309486
0.4637 -0.402547
0.4677 -0.428835
0.4717 -0.486216
0.4756 -0.523746
0.4796 -0.568532
0.4836 -0.560441
0.4876 -0.535080
0.4916 -0.515135
0.4956 -0.482592
0.4996 -0.496713
0.5036 -0.525449
0.5076 -0.510978
0.5116 -0.510264
0.5156 -0.544778
0.5196 -0.542085
0.5236 -0.560317
0.5276 -0.550181
0.5316 -0.550744
0.5356 -0.524302
0.5396 -0.581773
0.5436 -0.566340
0.5476 -0.554420
0.5516 -0.557905
0.5556 -0.587402
0.5596 -0.561740
0.5636 -0.558186
0.5676 -0.503191
0.5716 -0.528782
0.5756 -0.510901
0.5796 -0.433581
0.5836 -0.407211
0.5876 -0.338796
0.5916 -0.351012
0.5956 -0.282105
0.5996 -0.217715
0.6036 -0.130522
0.6076 -0.123988
0.6116 -0.007046
0.6155 0.004523
0.6195 0.072597
0.6235 0.107870
0.6275 0.152243
0.6315 0.140443
0.6355 0.157895
0.6395 0.188157
0.6435 0.204720
0.6475 0.192364
0.6515 0.181388
0.6555 0.121838
0.6595 0.168557
0.6635 0.157469
0.6675 0.112979
0.6715 0.113714
0.6755 0.084155
0.6795 0.082823
0.6835 0.102697
0.6875 0.056162
0.6915 0.028378
0.6955 -0.026691
0.6995 -0.040471
0.7035 -0.059673
0.7075 -0.089690
0.7115 -0.052456
0.7155 -0.127691
0.7195 -0.097221
0.7235 -0.109327
0.7275 -0.155267
0.7315 -0.126747
0.7355 -0.124249
0.7395 -0.153733
0.7435 -0.173684
0.7475 -0.165095
0.7515 -0.164134
0.7554 -0.170048
0.7594 -0.169905
0.7634 -0.157148
0.7674 -0.176523
0.7714 -0.148807
0.7754 -0.144618
0.7794 -0.135551
0.7834 -0.093471
0.7874 -0.124009
0.7914 -0.144686
0.7954 -0.066191
0.7994 -0.038322
0.8034 -0.074374
0.8074 -0.083059
0.8114 -0.079321
0.8154 -0.050692
0.8194 -0.086348
0.8234 -0.028314
0.8274 0.011122
0.8314 -0.024168
0.8354 -0.036981
