# Cl -- Cl (Amber03) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2793 8.923930
0.2843 8.078409
0.2893 6.915160
0.2943 5.826461
0.2993 4.922937
0.3043 4.360750
0.3093 4.118553
0.3143 3.751816
0.3193 3.391444
0.3243 3.026305
0.3293 2.641374
0.3343 2.330627
0.3393 2.077119
0.3443 1.851502
0.3493 1.650341
0.3543 1.460618
0.3593 1.262997
0.3643 1.057613
0.3693 0.855972
0.3743 0.665584
0.3793 0.487758
0.3843 0.332315
0.3893 0.190063
0.3943 0.041175
0.3993 -0.111005
0.4043 -0.256679
0.4093 -0.403007
0.4143 -0.546271
0.4193 -0.666137
0.4243 -0.764366
0.4293 -0.850270
0.4343 -0.916751
0.4393 -0.960779
0.4443 -0.994535
0.4493 -1.035689
0.4543 -1.075220
0.4593 -1.104093
0.4643 -1.129473
0.4693 -1.147873
0.4743 -1.150298
0.4793 -1.137108
0.4843 -1.107763
0.4893 -1.074868
0.4943 -1.052410
0.4993 -1.022982
0.5043 -0.975108
0.5093 -0.917074
0.5143 -0.862192
0.5193 -0.818741
0.5243 -0.773277
0.5293 -0.715485
0.5343 -0.653576
0.5393 -0.598200
0.5443 -0.549476
0.5493 -0.504710
0.5543 -0.458395
0.5593 -0.404856
0.5643 -0.348600
0.5693 -0.298128
0.5743 -0.256588
0.5793 -0.200478
0.5843 -0.137750
0.5893 -0.094705
0.5943 -0.066675
0.5993 -0.033523
0.6043 0.002968
0.6093 0.025860
0.6143 0.038003
0.6193 0.053627
0.6243 0.075067
0.6293 0.100115
0.6343 0.118392
0.6393 0.115634
0.6443 0.105978
0.6493 0.101535
0.6543 0.098114
0.6593 0.090271
0.6643 0.069004
0.6693 0.036473
0.6743 -0.002177
0.6793 -0.043957
0.6843 -0.068816
0.6893 -0.077684
0.6943 -0.088317
0.6993 -0.097579
0.7043 -0.101054
0.7093 -0.102609
0.7143 -0.110986
0.7193 -0.131925
0.7243 -0.158134
0.7293 -0.184628
0.7343 -0.203318
0.7393 -0.210324
0.7443 -0.213073
0.7493 -0.206002
0.7543 -0.193470
0.7593 -0.183626
0.7643 -0.176066
0.7693 -0.168293
0.7743 -0.159977
0.7793 -0.151853
0.7843 -0.137529
0.7893 -0.116784
0.7943 -0.112845
0.7993 -0.124204
0.8043 -0.122893
0.8093 -0.101880
0.8143 -0.080793
0.8193 -0.060408
0.8243 -0.039723
0.8293 -0.035058
0.8343 -0.027238
0.8393 0.005588
0.8443 0.033733
0.8493 0.044725
0.8543 0.036210
0.8593 0.022608
0.8643 0.028015
0.8693 0.043723
0.8743 0.051491
0.8793 0.053888
0.8843 0.063431
0.8893 0.069712
0.8943 0.063126
0.8993 0.055300
0.9043 0.053076
0.9093 0.058997
0.9143 0.053622
0.9193 0.019241
0.9243 -0.012473
0.9293 -0.014050
0.9343 -0.015412
0.9393 -0.023667
0.9443 -0.017604
0.9493 0.006314
0.9543 0.025244
0.9593 0.022559
0.9643 0.004636
0.9693 -0.012017
0.9743 -0.030055
0.9793 -0.042811
0.9843 -0.027798
0.9893 -0.008271
0.9943 -0.003736
0.9993 -0.005251
