# Cl -- Cl (Amber03) Difference Data: DFT (Duignan) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2793 -19.912766
0.2843 -20.268313
0.2893 -20.724287
0.2943 -20.926580
0.2993 -20.668994
0.3043 -20.014485
0.3093 -19.101046
0.3143 -17.972877
0.3193 -16.251451
0.3243 -14.112379
0.3293 -12.083111
0.3343 -10.397452
0.3393 -9.058601
0.3443 -8.003670
0.3493 -7.161794
0.3543 -6.475940
0.3593 -5.910097
0.3643 -5.427903
0.3693 -5.002075
0.3743 -4.608023
0.3793 -4.239254
0.3843 -3.896563
0.3893 -3.582481
0.3943 -3.305309
0.3993 -3.066132
0.4043 -2.851393
0.4093 -2.657743
0.4143 -2.487438
0.4193 -2.338096
0.4243 -2.209713
0.4293 -2.090919
0.4343 -1.980332
0.4393 -1.884426
0.4443 -1.801570
0.4493 -1.734395
0.4543 -1.679109
0.4593 -1.634143
0.4643 -1.598747
0.4693 -1.564219
0.4743 -1.526664
0.4793 -1.488568
0.4843 -1.447089
0.4893 -1.406539
0.4943 -1.376616
0.4993 -1.346520
0.5043 -1.297784
0.5093 -1.232296
0.5143 -1.163929
0.5193 -1.098099
0.5243 -1.031209
0.5293 -0.963969
0.5343 -0.895499
0.5393 -0.826426
0.5443 -0.757731
0.5493 -0.686429
0.5543 -0.614413
0.5593 -0.545074
0.5643 -0.484802
0.5693 -0.431624
0.5743 -0.384171
0.5793 -0.332421
0.5843 -0.287896
0.5893 -0.260162
0.5943 -0.241815
0.5993 -0.223657
0.6043 -0.208435
0.6093 -0.207932
0.6143 -0.215343
0.6193 -0.217532
0.6243 -0.222722
0.6293 -0.230053
0.6343 -0.233934
0.6393 -0.241969
0.6443 -0.248324
0.6493 -0.251583
0.6543 -0.255031
0.6593 -0.257171
0.6643 -0.262560
0.6693 -0.275159
0.6743 -0.290660
0.6793 -0.303837
0.6843 -0.312975
0.6893 -0.318114
0.6943 -0.319610
0.6993 -0.317844
0.7043 -0.313197
0.7093 -0.306051
0.7143 -0.296787
0.7193 -0.285785
0.7243 -0.273428
0.7293 -0.260095
0.7343 -0.246170
0.7393 -0.232032
0.7443 -0.218071
0.7493 -0.204761
0.7543 -0.192937
0.7593 -0.183586
0.7643 -0.176065
0.7693 -0.168293
0.7743 -0.159977
0.7793 -0.151853
0.7843 -0.137529
0.7893 -0.116784
0.7943 -0.112845
0.7993 -0.124204
0.8043 -0.122893
0.8093 -0.101880
0.8143 -0.080793
0.8193 -0.060408
0.8243 -0.039723
0.8293 -0.035058
0.8343 -0.027238
0.8393 0.005588
0.8443 0.033733
0.8493 0.044725
0.8543 0.036210
0.8593 0.022608
0.8643 0.028015
0.8693 0.043723
0.8743 0.051491
0.8793 0.053888
0.8843 0.063431
0.8893 0.069712
0.8943 0.063126
0.8993 0.055300
0.9043 0.053076
0.9093 0.058997
0.9143 0.053622
0.9193 0.019241
0.9243 -0.012473
0.9293 -0.014050
0.9343 -0.015412
0.9393 -0.023667
0.9443 -0.017604
0.9493 0.006314
0.9543 0.025244
0.9593 0.022559
0.9643 0.004636
0.9693 -0.012017
0.9743 -0.030055
0.9793 -0.042811
0.9843 -0.027798
0.9893 -0.008271
0.9943 -0.003736
0.9993 -0.005251
