# Cl -- Cl (Amber03) Difference Data: DFT (Duignan) - MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2793 -28.836695
0.2843 -28.346721
0.2893 -27.639447
0.2943 -26.753042
0.2993 -25.591931
0.3043 -24.375234
0.3093 -23.219599
0.3143 -21.724693
0.3193 -19.642895
0.3243 -17.138684
0.3293 -14.724485
0.3343 -12.728079
0.3393 -11.135720
0.3443 -9.855172
0.3493 -8.812135
0.3543 -7.936558
0.3593 -7.173094
0.3643 -6.485515
0.3693 -5.858047
0.3743 -5.273607
0.3793 -4.727013
0.3843 -4.228878
0.3893 -3.772544
0.3943 -3.346484
0.3993 -2.955126
0.4043 -2.594714
0.4093 -2.254736
0.4143 -1.941167
0.4193 -1.671959
0.4243 -1.445347
0.4293 -1.240649
0.4343 -1.063582
0.4393 -0.923647
0.4443 -0.807035
0.4493 -0.698705
0.4543 -0.603889
0.4593 -0.530050
0.4643 -0.469274
0.4693 -0.416347
0.4743 -0.376367
0.4793 -0.351460
0.4843 -0.339326
0.4893 -0.331671
0.4943 -0.324206
0.4993 -0.323538
0.5043 -0.322677
0.5093 -0.315223
0.5143 -0.301736
0.5193 -0.279358
0.5243 -0.257932
0.5293 -0.248483
0.5343 -0.241923
0.5393 -0.228226
0.5443 -0.208255
0.5493 -0.181719
0.5543 -0.156017
0.5593 -0.140219
0.5643 -0.136202
0.5693 -0.133496
0.5743 -0.127583
0.5793 -0.131944
0.5843 -0.150146
0.5893 -0.165457
0.5943 -0.175140
0.5993 -0.190134
0.6043 -0.211403
0.6093 -0.233792
0.6143 -0.253346
0.6193 -0.271159
0.6243 -0.297789
0.6293 -0.330168
0.6343 -0.352326
0.6393 -0.357602
0.6443 -0.354302
0.6493 -0.353118
0.6543 -0.353140
0.6593 -0.347287
0.6643 -0.329696
0.6693 -0.303359
0.6743 -0.274674
0.6793 -0.246417
0.6843 -0.219115
0.6893 -0.192898
0.6943 -0.167876
0.6993 -0.144161
0.7043 -0.121864
0.7093 -0.101097
0.7143 -0.081969
0.7193 -0.064592
0.7243 -0.049078
0.7293 -0.035537
0.7343 -0.024080
0.7393 -0.014819
0.7443 -0.007861
0.7493 -0.003278
0.7543 -0.000922
0.7593 -0.000143
0.7643 -0.000010
0.7693 -0.000000
0.7743 -0.000000
0.7793 -0.000000
0.7843 -0.000000
0.7893 -0.000000
0.7943 -0.000000
0.7993 -0.000000
0.8043 -0.000000
0.8093 -0.000000
0.8143 -0.000000
0.8193 -0.000000
0.8243 0.000000
0.8293 0.000000
0.8343 0.000000
0.8393 0.000000
0.8443 0.000000
0.8493 0.000000
0.8543 -0.000000
0.8593 -0.000000
0.8643 -0.000000
0.8693 -0.000000
0.8743 -0.000000
0.8793 -0.000000
0.8843 -0.000000
0.8893 -0.000000
0.8943 0.000000
0.8993 0.000000
0.9043 0.000000
0.9093 0.000000
0.9143 0.000000
0.9193 0.000000
0.9243 0.000000
0.9293 0.000000
0.9343 0.000000
0.9393 0.000000
0.9443 0.000000
0.9493 0.000000
0.9543 0.000000
0.9593 0.000000
0.9643 0.000000
0.9693 0.000000
0.9743 -0.000000
0.9793 -0.000000
0.9843 -0.000000
0.9893 -0.000000
0.9943 -0.000000
0.9993 -0.000000
