# Cl -- Cl in DFT (Duignan)
# r0[nm] k[kCal/mol/nm^2]
0.3200 6.510634
0.3300 5.424005
0.3400 4.112868
0.3500 2.864885
0.3600 1.866090
0.3700 1.170710
0.3800 0.735858
0.3900 0.479135
0.4000 0.322898
0.4100 0.213157
0.4200 0.119730
0.4300 0.029084
0.4400 -0.062660
0.4500 -0.154139
0.4600 -0.241030
0.4700 -0.317285
0.4800 -0.376103
0.4900 -0.411002
0.5000 -0.416995
0.5100 -0.391722
0.5200 -0.336292
0.5300 -0.255615
0.5400 -0.158051
0.5500 -0.054386
0.5600 0.043740
0.5700 0.125645
0.5800 0.183311
0.5900 0.212607
0.6000 0.213793
0.6100 0.191209
0.6200 0.152247
0.6300 0.105873
0.6400 0.061012
0.6500 0.025150
0.6600 0.003385
0.6700 -0.001959
0.6800 0.008834
0.6900 0.033440
0.7000 0.068284
0.7100 0.109344
