# Cl -- Cl in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2909 30.657494
0.2949 30.673766
0.2989 29.424265
0.3029 29.440109
0.3069 27.123976
0.3109 25.849337
0.3149 25.864570
0.3189 23.198176
0.3229 20.827080
0.3269 18.490737
0.3309 16.586451
0.3349 14.801581
0.3389 13.244446
0.3429 11.883808
0.3469 10.684803
0.3509 9.617224
0.3549 8.692728
0.3589 7.889967
0.3629 7.169569
0.3669 6.541910
0.3709 6.004326
0.3749 5.494141
0.3789 5.033670
0.3829 4.641014
0.3869 4.255581
0.3909 3.933150
0.3949 3.644120
0.3989 3.416158
0.4029 3.202084
0.4069 2.961026
0.4109 2.791081
0.4149 2.637316
0.4189 2.452443
0.4229 2.338449
0.4269 2.210095
0.4309 2.070167
0.4349 1.931932
0.4389 1.846800
0.4429 1.709739
0.4469 1.630004
0.4509 1.558137
0.4549 1.468951
0.4589 1.396771
0.4629 1.341983
0.4669 1.297520
0.4708 1.232254
0.4748 1.169960
0.4788 1.125624
0.4828 1.084409
0.4868 1.016701
0.4908 0.963289
0.4948 0.960141
0.4988 0.950614
0.5028 0.918869
0.5068 0.868007
0.5108 0.820360
0.5148 0.783861
0.5188 0.768479
0.5228 0.730121
0.5268 0.716935
0.5308 0.695719
0.5348 0.683006
0.5388 0.651603
0.5428 0.669042
0.5468 0.630251
0.5508 0.603814
0.5548 0.616549
0.5588 0.553501
0.5628 0.599308
0.5668 0.544377
0.5708 0.512781
0.5748 0.567756
0.5788 0.498770
0.5828 0.478741
0.5868 0.468149
0.5908 0.462644
0.5948 0.455895
0.5988 0.447499
0.6028 0.395444
0.6068 0.404348
0.6108 0.382351
0.6148 0.411036
0.6188 0.366760
0.6228 0.334637
0.6268 0.374130
0.6308 0.345304
0.6348 0.295253
0.6388 0.320245
0.6428 0.294897
0.6468 0.293523
0.6508 0.264999
0.6548 0.277515
0.6588 0.260771
0.6628 0.252116
0.6668 0.265603
0.6708 0.277322
0.6748 0.270177
0.6788 0.323165
0.6828 0.305152
0.6868 0.282665
0.6908 0.241084
0.6948 0.247994
0.6988 0.261957
0.7028 0.217322
0.7067 0.228500
0.7107 0.216810
0.7147 0.198973
0.7187 0.179663
0.7227 0.176121
0.7267 0.214277
0.7307 0.195583
0.7347 0.240931
0.7387 0.201500
0.7427 0.231313
0.7467 0.189289
0.7507 0.204125
0.7547 0.151390
0.7587 0.153439
0.7627 0.168333
0.7667 0.128334
0.7707 0.162097
0.7747 0.169721
0.7787 0.183027
0.7827 0.169136
0.7867 0.166434
0.7907 0.133763
0.7947 0.160449
0.7987 0.193454
0.8027 0.210518
0.8067 0.205161
0.8107 0.113780
0.8147 0.159402
0.8187 0.147589
0.8227 0.129328
0.8267 0.162515
0.8307 0.074729
0.8347 0.150113
0.8387 0.069103
0.8427 0.100649
0.8467 0.077687
0.8507 0.088829
0.8547 0.065331
0.8587 0.142013
0.8627 0.098185
0.8667 0.052560
0.8707 0.105630
0.8747 0.107163
0.8787 0.062733
0.8827 0.079257
0.8867 0.057693
0.8907 0.071601
0.8947 0.051086
0.8987 0.043819
0.9027 0.053232
0.9067 0.019815
0.9107 0.049329
0.9147 0.026470
0.9187 0.029398
0.9227 0.083965
0.9267 0.070730
0.9307 0.009916
0.9347 0.038688
0.9387 0.005251
0.9426 0.033394
0.9466 0.007545
0.9506 0.003388
0.9546 -0.039596
0.9586 -0.044371
0.9626 0.005652
0.9666 0.006429
0.9706 0.026426
0.9746 -0.017354
0.9786 0.077296
0.9826 0.028924
0.9866 -0.014546
0.9906 -0.004683
0.9946 0.037085
0.9986 0.000000
1.0026 0.043111
1.0066 0.034407
1.0106 -0.036582
1.0146 -0.000052
1.0186 -0.003782
1.0226 -0.032715
1.0266 0.035627
1.0306 -0.049114
1.0346 0.020093
1.0386 0.022870
1.0426 -0.042062
1.0466 0.005623
1.0506 -0.017355
1.0546 0.007530
1.0586 -0.053365
1.0626 -0.009674
1.0666 -0.016701
1.0706 0.005283
1.0746 -0.047574
1.0786 0.058606
1.0826 -0.037579
1.0866 0.013769
1.0906 -0.000576
1.0946 -0.037275
1.0986 -0.057485
1.1026 -0.004833
1.1066 0.001186
1.1106 -0.059604
1.1146 -0.051620
1.1186 -0.055077
1.1226 -0.040055
1.1266 -0.030706
1.1306 -0.072661
1.1346 -0.081780
1.1386 -0.030973
1.1426 -0.034290
1.1466 0.004803
1.1506 -0.090507
1.1546 -0.012625
1.1586 0.008454
1.1626 -0.061921
1.1666 -0.035730
1.1706 -0.024593
1.1746 -0.030534
1.1785 -0.012790
1.1825 -0.045268
1.1865 -0.066635
1.1905 -0.059621
