# Cl -- Cl in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2862 inf
0.2902 inf
0.2942 32.459395
0.2982 32.475505
0.3022 30.301074
0.3062 29.336894
0.3102 28.312525
0.3142 26.575260
0.3182 25.674769
0.3222 24.344673
0.3262 21.788420
0.3302 19.353425
0.3342 17.410262
0.3382 15.605471
0.3422 14.038939
0.3462 12.641910
0.3502 11.436134
0.3542 10.313055
0.3582 9.338547
0.3622 8.423264
0.3662 7.642526
0.3702 6.911077
0.3742 6.279548
0.3782 5.669401
0.3822 5.116815
0.3862 4.642971
0.3902 4.184677
0.3942 3.789680
0.3982 3.400071
0.4022 3.067671
0.4062 2.714360
0.4102 2.409640
0.4142 2.095774
0.4182 1.860350
0.4222 1.606383
0.4262 1.411763
0.4302 1.213185
0.4342 1.050093
0.4382 0.888132
0.4422 0.784542
0.4462 0.609466
0.4502 0.519677
0.4542 0.392360
0.4582 0.301024
0.4622 0.241381
0.4662 0.147925
0.4702 0.075988
0.4742 0.017922
0.4782 -0.032788
0.4822 0.005421
0.4862 -0.082916
0.4902 -0.076805
0.4942 -0.084314
0.4982 -0.096424
0.5022 -0.081363
0.5062 -0.081266
0.5102 -0.103384
0.5142 -0.087462
0.5182 -0.130862
0.5222 -0.115361
0.5262 -0.063158
0.5302 -0.005826
0.5342 0.066838
0.5382 0.104541
0.5422 0.061459
0.5462 0.113722
0.5502 0.117787
0.5542 0.115643
0.5582 0.150988
0.5622 0.139792
0.5662 0.175629
0.5702 0.188938
0.5742 0.208013
0.5782 0.221760
0.5822 0.261874
0.5862 0.280771
0.5902 0.343800
0.5942 0.324221
0.5982 0.372648
0.6022 0.380723
0.6062 0.414093
0.6102 0.428275
0.6142 0.425150
0.6182 0.428246
0.6222 0.433667
0.6262 0.432716
0.6302 0.482116
0.6342 0.453143
0.6383 0.413968
0.6423 0.422329
0.6463 0.396960
0.6503 0.364119
0.6543 0.374091
0.6583 0.330144
0.6623 0.297645
0.6663 0.320706
0.6703 0.257917
0.6743 0.225130
0.6783 0.131350
0.6823 0.109806
0.6863 0.114255
0.6903 0.137585
0.6943 0.108070
0.6983 0.102544
0.7023 0.058147
0.7063 0.068923
0.7103 0.088342
0.7143 0.140622
0.7183 0.115481
0.7223 0.063179
0.7263 0.022884
0.7303 -0.032173
0.7343 -0.040560
0.7383 -0.036012
0.7423 -0.042735
0.7463 -0.060494
0.7503 -0.090949
0.7543 -0.081701
0.7583 -0.000065
0.7623 -0.049791
0.7663 -0.003293
0.7703 -0.017136
0.7743 -0.049156
0.7783 -0.000961
0.7823 -0.014714
0.7863 -0.058292
0.7903 -0.026651
0.7943 -0.035486
0.7983 -0.038491
0.8023 -0.045358
0.8063 -0.022978
0.8103 -0.041252
0.8143 0.005246
0.8183 -0.003752
0.8223 0.057414
0.8263 0.038133
0.8303 0.073855
0.8343 0.048640
0.8383 0.084815
