# Cl -- Cl in GB**
# r0[nm] k[kCal/mol/nm^2]
0.2899 19.267614
0.2939 18.496650
0.2979 17.014826
0.3019 16.131921
0.3059 15.198960
0.3099 13.012041
0.3139 10.248043
0.3179 8.180142
0.3219 6.849436
0.3259 6.015414
0.3299 5.376132
0.3339 4.837144
0.3379 4.329925
0.3419 3.815174
0.3458 3.317675
0.3498 2.915403
0.3538 2.446059
0.3578 2.050476
0.3618 1.700826
0.3658 1.439780
0.3698 1.222746
0.3738 1.018722
0.3778 0.889303
0.3818 0.728058
0.3858 0.627392
0.3898 0.532132
0.3938 0.477044
0.3978 0.429013
0.4018 0.404778
0.4058 0.337908
0.4098 0.292740
0.4138 0.200767
0.4178 0.167303
0.4218 0.101318
0.4258 0.029919
0.4297 0.016892
0.4337 0.031167
0.4377 0.011826
0.4417 -0.012477
0.4457 -0.034552
0.4497 -0.046147
0.4537 -0.107849
0.4577 -0.146259
0.4617 -0.179507
0.4657 -0.203059
0.4697 -0.160687
0.4737 -0.268051
0.4777 -0.300366
0.4817 -0.305181
0.4857 -0.315894
0.4897 -0.330434
0.4937 -0.312238
0.4977 -0.284134
0.5017 -0.301127
0.5057 -0.297798
0.5096 -0.297440
0.5136 -0.317918
0.5176 -0.317830
0.5216 -0.290994
0.5256 -0.235363
0.5296 -0.186876
0.5336 -0.168601
0.5376 -0.126294
0.5416 -0.126554
0.5456 -0.074447
0.5496 -0.027591
0.5536 0.011833
0.5576 0.094514
0.5616 0.077856
0.5656 0.099451
0.5696 0.100751
0.5736 0.133474
0.5776 0.150884
0.5816 0.203037
0.5856 0.201380
0.5896 0.220240
0.5935 0.206958
0.5975 0.222956
0.6015 0.256056
0.6055 0.237239
0.6095 0.250230
0.6135 0.177200
0.6175 0.229793
0.6215 0.201840
0.6255 0.175564
0.6295 0.214033
0.6335 0.131072
0.6375 0.148359
0.6415 0.135673
0.6455 0.122676
0.6495 0.111340
0.6535 0.081550
0.6575 0.046941
0.6615 0.042400
0.6655 0.012000
0.6695 0.005278
0.6734 -0.006988
0.6774 0.004340
0.6814 -0.013277
0.6854 -0.074803
0.6894 -0.039302
0.6934 -0.071238
0.6974 -0.056292
0.7014 -0.081963
0.7054 -0.096136
0.7094 -0.064794
0.7134 -0.063628
0.7174 -0.057657
0.7214 -0.047781
0.7254 -0.044264
0.7294 -0.027010
0.7334 -0.043870
0.7374 -0.043136
0.7414 -0.009185
0.7454 0.006095
0.7494 0.044674
0.7534 -0.003126
0.7573 0.041887
0.7613 0.039541
0.7653 0.032773
0.7693 0.057096
0.7733 0.042004
0.7773 0.008972
0.7813 0.015565
0.7853 0.000105
0.7893 0.048343
0.7933 0.032117
0.7973 0.016759
0.8013 0.001025
0.8053 0.006208
0.8093 0.012806
0.8133 0.056541
0.8173 0.048541
0.8213 0.077499
0.8253 0.090644
0.8293 0.062777
0.8333 0.087321
0.8373 0.166341
0.8412 0.212823
0.8452 0.175059
0.8492 0.127295
0.8532 0.149947
0.8572 0.166356
0.8612 0.123630
0.8652 0.163010
0.8692 0.134214
0.8732 0.157937
0.8772 0.165367
0.8812 0.198746
0.8852 0.198058
0.8892 0.172074
0.8932 0.186159
0.8972 0.156589
0.9012 0.195293
0.9052 0.190210
0.9092 0.121181
0.9132 0.195379
0.9172 0.124386
0.9212 0.140361
0.9251 0.092697
0.9291 0.086953
0.9331 0.029592
0.9371 0.031079
0.9411 0.028415
0.9451 0.084706
0.9491 0.090362
0.9531 0.080448
0.9571 0.070835
0.9611 0.036736
0.9651 0.064306
0.9691 0.042110
0.9731 -0.028766
0.9771 0.011388
0.9811 -0.003020
0.9851 0.003269
0.9891 0.018211
0.9931 0.032773
0.9971 0.023830
1.0011 0.000000
1.0050 0.054314
1.0090 0.017210
1.0130 0.016573
1.0170 0.008994
1.0210 0.043710
1.0250 0.039943
1.0290 0.003906
1.0330 -0.007646
1.0370 0.037647
1.0410 0.047385
1.0450 0.002773
1.0490 0.029545
1.0530 0.027149
1.0570 0.030914
1.0610 0.011301
1.0650 -0.028533
1.0690 -0.006142
1.0730 -0.040429
1.0770 -0.029873
1.0810 -0.041041
1.0850 -0.034127
1.0889 -0.013032
1.0929 -0.044534
1.0969 -0.008044
1.1009 0.031330
1.1049 -0.005929
1.1089 -0.047942
1.1129 -0.012945
1.1169 0.002656
1.1209 -0.029829
1.1249 -0.039099
1.1289 -0.039118
1.1329 -0.023607
1.1369 -0.038146
1.1409 -0.025952
1.1449 -0.048488
1.1489 -0.102398
1.1529 -0.059093
1.1569 -0.038110
1.1609 -0.068251
1.1649 -0.029330
1.1688 -0.066081
1.1728 -0.067909
1.1768 -0.045743
1.1808 -0.124631
1.1848 -0.072165
1.1888 -0.063633
1.1928 -0.033929
1.1968 -0.056740
1.2008 -0.027941
1.2048 -0.022550
1.2088 -0.092417
1.2128 -0.095779
1.2168 -0.107987
1.2208 -0.040303
1.2248 -0.041957
1.2288 -0.068896
1.2328 -0.114679
1.2368 -0.068631
1.2408 -0.113235
1.2448 -0.110916
1.2488 -0.021181
1.2527 -0.086966
1.2567 -0.097024
1.2607 -0.092007
1.2647 -0.052338
1.2687 -0.063634
1.2727 -0.032144
1.2767 -0.050140
1.2807 -0.048604
1.2847 -0.044964
1.2887 -0.047791
1.2927 -0.028421
1.2967 -0.057559
1.3007 -0.038495
1.3047 -0.100654
1.3087 -0.086201
1.3127 -0.033430
1.3167 -0.080044
1.3207 -0.080705
1.3247 -0.139481
1.3287 -0.072138
1.3327 -0.102428
1.3366 -0.065090
1.3406 -0.057765
1.3446 -0.050204
1.3486 -0.037378
1.3526 -0.077883
1.3566 -0.054828
1.3606 -0.045147
1.3646 -0.052166
1.3686 -0.054483
1.3726 -0.088782
1.3766 -0.082976
1.3806 -0.116018
1.3846 -0.139648
1.3886 -0.073774
1.3926 -0.116255
1.3966 -0.139485
1.4006 -0.100666
1.4046 -0.110543
1.4086 -0.128348
1.4126 -0.130920
1.4165 -0.171956
1.4205 -0.125006
1.4245 -0.064648
1.4285 -0.116731
1.4325 -0.117082
1.4365 -0.102003
1.4405 -0.136725
1.4445 -0.085173
1.4485 -0.090101
1.4525 -0.080203
1.4565 -0.091612
1.4605 -0.057075
1.4645 -0.149721
1.4685 -0.109748
1.4725 -0.095953
1.4765 -0.143495
1.4805 -0.134205
1.4845 -0.116539
1.4885 -0.163328
1.4925 -0.169338
1.4965 -0.114996
1.5004 -0.129510
1.5044 -0.114778
1.5084 -0.156842
1.5124 -0.096057
1.5164 -0.160034
1.5204 -0.146660
1.5244 -0.124622
1.5284 -0.163793
1.5324 -0.185463
1.5364 -0.165838
1.5404 -0.105355
1.5444 -0.158024
1.5484 -0.110135
