# Cl -- Cl in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2793 40.119835
0.2833 38.738497
0.2873 38.755198
0.2912 36.305017
0.2952 36.321263
0.2992 34.452543
0.3032 32.575924
0.3072 31.293161
0.3112 31.308564
0.3152 28.382421
0.3192 26.689137
0.3232 23.677783
0.3272 21.113622
0.3312 18.876790
0.3352 16.935249
0.3392 15.227017
0.3432 13.669779
0.3472 12.316889
0.3512 11.124329
0.3552 10.072823
0.3592 9.108456
0.3632 8.232027
0.3672 7.439977
0.3712 6.722111
0.3752 6.111260
0.3791 5.475556
0.3831 4.964201
0.3871 4.490653
0.3911 4.066414
0.3951 3.641827
0.3991 3.282858
0.4031 2.956738
0.4071 2.637684
0.4111 2.315662
0.4151 2.030170
0.4191 1.768807
0.4231 1.600305
0.4271 1.371858
0.4311 1.161542
0.4351 0.994266
0.4391 0.860214
0.4431 0.743951
0.4471 0.624548
0.4511 0.478992
0.4551 0.374103
0.4591 0.294566
0.4631 0.227230
0.4671 0.123602
0.4711 0.071176
0.4750 0.016494
0.4790 -0.026201
0.4830 -0.052618
0.4870 -0.067961
0.4910 -0.063490
0.4950 -0.114927
0.4990 -0.089980
0.5030 -0.068337
0.5070 -0.094111
0.5110 -0.073230
0.5150 -0.050072
0.5190 -0.060550
0.5230 -0.065728
0.5270 -0.039813
0.5310 0.004326
0.5350 0.046968
0.5390 0.054540
0.5430 0.099371
0.5470 0.120753
0.5510 0.110193
0.5550 0.147680
0.5590 0.161295
0.5629 0.201617
0.5669 0.245672
0.5709 0.272472
0.5749 0.270653
0.5789 0.288627
0.5829 0.348508
0.5869 0.370874
0.5909 0.389686
0.5949 0.378883
0.5989 0.398126
0.6029 0.419412
0.6069 0.413425
0.6109 0.432345
0.6149 0.438476
0.6189 0.414799
0.6229 0.409808
0.6269 0.453314
0.6309 0.444411
0.6349 0.450966
0.6389 0.432455
0.6429 0.393484
0.6469 0.392001
0.6509 0.375728
0.6549 0.368395
0.6588 0.364435
0.6628 0.345763
0.6668 0.314865
0.6708 0.293451
0.6748 0.286686
0.6788 0.260022
0.6828 0.225211
0.6868 0.191286
0.6908 0.195558
0.6948 0.144761
0.6988 0.159494
0.7028 0.128663
0.7068 0.103274
0.7108 0.128206
0.7148 0.102293
0.7188 0.043027
0.7228 0.045203
0.7268 0.017804
0.7308 0.018450
0.7348 0.010695
0.7388 0.016049
0.7428 -0.021101
0.7468 -0.010559
0.7507 -0.001959
0.7547 -0.038291
0.7587 -0.024478
0.7627 -0.038466
0.7667 -0.001507
0.7707 -0.028399
0.7747 0.012938
0.7787 0.040246
0.7827 -0.007446
0.7867 0.031368
0.7907 0.066284
0.7947 0.053901
0.7987 0.064854
0.8027 0.052054
0.8067 0.074490
0.8107 0.050075
0.8147 0.077429
0.8187 0.060824
0.8227 0.128189
0.8267 0.117547
0.8307 0.064852
0.8347 0.061166
0.8387 0.112596
0.8426 0.129037
0.8466 0.098960
0.8506 0.175762
0.8546 0.107331
0.8586 0.136620
0.8626 0.107894
0.8666 0.104715
0.8706 0.153024
0.8746 0.170820
0.8786 0.104097
0.8826 0.100829
0.8866 0.183500
0.8906 0.143848
0.8946 0.099585
0.8986 0.117125
0.9026 0.066433
0.9066 0.091341
0.9106 0.107599
0.9146 0.111611
0.9186 0.075308
0.9226 0.014323
0.9266 0.012328
0.9305 0.059375
0.9345 0.018504
0.9385 -0.024500
0.9425 -0.005162
0.9465 -0.030569
0.9505 0.045269
0.9545 -0.001493
0.9585 -0.003852
0.9625 0.022380
0.9665 -0.027553
0.9705 0.019689
0.9745 -0.024442
0.9785 -0.025790
0.9825 -0.006943
0.9865 0.002151
0.9905 -0.007516
0.9945 0.031945
0.9985 0.000000
1.0025 0.000211
1.0065 -0.031456
1.0105 -0.064881
1.0145 0.034695
1.0185 -0.000945
1.0225 -0.029686
1.0264 -0.042210
1.0304 -0.046343
1.0344 -0.073229
1.0384 -0.039446
1.0424 0.001113
1.0464 -0.040449
1.0504 -0.017955
1.0544 0.014041
1.0584 -0.012923
1.0624 0.009700
1.0664 0.044798
1.0704 0.009423
1.0744 0.007857
1.0784 0.004712
1.0824 -0.002501
1.0864 0.015106
1.0904 0.036634
1.0944 -0.000634
1.0984 0.028660
1.1024 -0.015664
1.1064 0.004326
1.1104 0.022557
1.1143 -0.009988
1.1183 0.011220
1.1223 -0.041344
1.1263 -0.021876
1.1303 -0.018904
1.1343 -0.033970
1.1383 -0.025261
1.1423 -0.062220
1.1463 -0.071941
1.1503 -0.040119
1.1543 -0.059379
1.1583 -0.019128
1.1623 -0.049046
1.1663 -0.029380
1.1703 -0.025469
1.1743 -0.087491
1.1783 -0.052334
1.1823 -0.040968
1.1863 -0.069616
1.1903 -0.083158
1.1943 -0.083650
1.1983 -0.029927
1.2023 -0.118108
1.2063 -0.075921
1.2102 -0.074258
1.2142 -0.124173
1.2182 -0.158885
1.2222 -0.084253
1.2262 -0.060531
1.2302 -0.127389
1.2342 -0.092852
1.2382 -0.126335
1.2422 -0.119927
1.2462 -0.127357
1.2502 -0.117306
1.2542 -0.058213
1.2582 -0.113821
1.2622 -0.154526
1.2662 -0.134396
1.2702 -0.115504
1.2742 -0.113736
1.2782 -0.133903
1.2822 -0.121434
1.2862 -0.147763
1.2902 -0.089327
1.2942 -0.121294
1.2982 -0.093475
1.3021 -0.128931
1.3061 -0.151016
1.3101 -0.123868
1.3141 -0.060144
1.3181 -0.132083
1.3221 -0.105871
1.3261 -0.089651
1.3301 -0.053508
1.3341 -0.020658
1.3381 -0.059535
1.3421 -0.036073
1.3461 -0.062592
1.3501 -0.023940
1.3541 -0.063168
1.3581 -0.072153
1.3621 -0.042771
1.3661 -0.130580
1.3701 -0.097938
1.3741 -0.025370
1.3781 -0.080918
1.3821 -0.079283
1.3861 -0.078776
1.3901 -0.077139
1.3940 -0.057866
1.3980 -0.003675
1.4020 -0.068965
1.4060 -0.050523
1.4100 -0.054097
1.4140 -0.055458
1.4180 -0.025687
1.4220 -0.043553
1.4260 -0.077686
1.4300 -0.103350
1.4340 -0.058925
1.4380 -0.065534
1.4420 -0.065166
1.4460 -0.084405
1.4500 -0.064144
1.4540 -0.031449
1.4580 -0.102137
1.4620 -0.122020
1.4660 -0.111820
1.4700 -0.108163
1.4740 -0.128564
1.4780 -0.131609
1.4820 -0.067813
1.4859 -0.115879
1.4899 -0.099939
1.4939 -0.166588
1.4979 -0.131249
1.5019 -0.128815
1.5059 -0.076310
1.5099 -0.104955
1.5139 -0.090378
1.5179 -0.126243
1.5219 -0.144483
1.5259 -0.147803
1.5299 -0.101133
1.5339 -0.117655
1.5379 -0.116051
1.5419 -0.129346
1.5459 -0.117915
1.5499 -0.113251
