# Cl -- Cl in MM*
# r0[nm] k[kCal/mol/nm^2]
0.2916 19.124959
0.2956 17.163667
0.2996 16.724831
0.3036 15.821689
0.3076 14.460915
0.3116 10.986296
0.3156 8.522561
0.3196 6.889093
0.3236 5.955922
0.3276 5.329755
0.3316 4.863997
0.3356 4.364399
0.3396 3.884256
0.3436 3.405817
0.3476 2.904964
0.3516 2.480753
0.3556 2.049852
0.3596 1.744240
0.3636 1.428025
0.3676 1.154860
0.3716 0.974618
0.3756 0.773468
0.3796 0.610118
0.3836 0.530507
0.3876 0.406770
0.3916 0.328747
0.3956 0.253138
0.3996 0.189527
0.4036 0.151640
0.4076 0.097953
0.4116 0.102292
0.4156 0.009454
0.4196 -0.005277
0.4236 -0.006996
0.4276 -0.059317
0.4316 -0.090296
0.4356 -0.122227
0.4396 -0.156120
0.4437 -0.210386
0.4477 -0.261421
0.4517 -0.309121
0.4557 -0.317395
0.4597 -0.367387
0.4637 -0.424632
0.4677 -0.441223
0.4717 -0.452960
0.4757 -0.481940
0.4797 -0.503546
0.4837 -0.510008
0.4877 -0.473809
0.4917 -0.535355
0.4957 -0.561649
0.4997 -0.533836
0.5037 -0.555071
0.5077 -0.533317
0.5117 -0.524129
0.5157 -0.505526
0.5197 -0.457342
0.5237 -0.405509
0.5277 -0.393788
0.5317 -0.361997
0.5357 -0.323280
0.5397 -0.265852
0.5437 -0.238528
0.5477 -0.236501
0.5517 -0.137308
0.5557 -0.105649
0.5597 -0.065898
0.5637 -0.018345
0.5677 0.019538
0.5717 0.058866
0.5757 0.058675
0.5797 0.088128
0.5837 0.106270
0.5877 0.104276
0.5917 0.108948
0.5957 0.116020
0.5997 0.124042
0.6037 0.078687
0.6077 0.114800
0.6118 0.125202
0.6158 0.095675
0.6198 0.056050
0.6238 0.044446
0.6278 0.034103
0.6318 -0.031822
0.6358 -0.044628
0.6398 -0.024385
0.6438 -0.044719
0.6478 -0.060424
0.6518 -0.050043
0.6558 -0.105148
0.6598 -0.111454
0.6638 -0.134068
0.6678 -0.140208
0.6718 -0.124157
0.6758 -0.097828
0.6798 -0.107370
0.6838 -0.097153
0.6878 -0.098821
0.6918 -0.113372
0.6958 -0.137475
0.6998 -0.117779
0.7038 -0.121102
0.7078 -0.093387
0.7118 -0.112820
0.7158 -0.117793
0.7198 -0.129264
0.7238 -0.121367
0.7278 -0.061502
0.7318 -0.121321
0.7358 -0.088725
0.7398 -0.094977
0.7438 -0.095672
0.7478 -0.088262
0.7518 -0.105079
0.7558 -0.072197
0.7598 -0.089860
0.7638 -0.106827
0.7678 -0.072098
0.7718 -0.103523
0.7758 -0.074012
0.7799 -0.119159
0.7839 -0.032657
0.7879 -0.022856
0.7919 -0.058010
0.7959 -0.027818
0.7999 -0.036358
0.8039 -0.034431
0.8079 0.045997
0.8119 -0.009752
0.8159 -0.055092
0.8199 -0.037722
0.8239 0.027123
0.8279 0.002582
0.8319 0.028399
0.8359 -0.005826
0.8399 0.004441
0.8439 -0.036661
0.8479 -0.038688
0.8519 0.034251
0.8559 -0.010158
0.8599 0.030951
0.8639 0.006704
0.8679 0.029820
0.8719 0.016260
0.8759 0.028027
0.8799 0.007875
0.8839 0.067680
0.8879 0.059270
0.8919 -0.017064
0.8959 0.003842
0.8999 0.009718
0.9039 -0.001067
0.9079 0.006016
0.9119 0.009552
0.9159 -0.038270
0.9199 0.026097
0.9239 -0.007458
0.9279 0.025589
0.9319 -0.013391
0.9359 -0.002784
0.9399 0.027039
0.9439 -0.032192
0.9480 -0.067867
0.9520 0.002404
0.9560 -0.018610
0.9600 -0.045886
0.9640 -0.030061
0.9680 -0.035189
0.9720 -0.078557
0.9760 -0.026282
0.9800 -0.032142
0.9840 -0.057294
0.9880 -0.035754
0.9920 -0.061443
0.9960 -0.057110
1.0000 0.000000
1.0040 0.012275
1.0080 -0.071857
1.0120 -0.058938
1.0160 -0.007099
1.0200 0.019249
1.0240 -0.024812
1.0280 -0.043822
1.0320 -0.041357
1.0360 -0.018516
1.0400 -0.030710
1.0440 -0.053373
1.0480 -0.043487
1.0520 -0.029974
1.0560 -0.082505
1.0600 -0.063028
1.0640 -0.016161
1.0680 -0.022747
1.0720 -0.012086
1.0760 -0.039413
1.0800 -0.036639
1.0840 -0.038956
1.0880 -0.005946
1.0920 -0.002467
1.0960 -0.048382
1.1000 -0.043972
1.1040 -0.075649
1.1080 -0.053573
1.1120 -0.077718
1.1161 -0.048264
1.1201 -0.049171
1.1241 -0.109345
1.1281 -0.025502
1.1321 -0.074499
1.1361 -0.055408
1.1401 -0.087320
1.1441 -0.038050
1.1481 -0.067934
1.1521 -0.061766
1.1561 -0.091300
1.1601 -0.061013
1.1641 -0.061908
1.1681 -0.109220
1.1721 -0.045952
1.1761 0.003536
1.1801 -0.048625
1.1841 -0.048976
1.1881 -0.077150
1.1921 -0.063261
1.1961 0.009734
1.2001 -0.070306
1.2041 -0.019164
1.2081 -0.064183
1.2121 -0.079572
1.2161 -0.046500
1.2201 -0.039685
1.2241 -0.050508
1.2281 -0.052736
1.2321 -0.067482
1.2361 -0.038048
1.2401 -0.033114
1.2441 -0.046170
1.2481 -0.038014
1.2521 -0.046388
1.2561 -0.029854
1.2601 -0.052031
1.2641 -0.008676
1.2681 -0.001948
1.2721 -0.051454
1.2761 0.010462
1.2801 -0.025942
1.2842 -0.069185
1.2882 -0.038704
1.2922 -0.038873
1.2962 -0.008310
1.3002 0.014978
1.3042 -0.057327
1.3082 0.010966
1.3122 0.013261
1.3162 0.015308
1.3202 -0.002776
1.3242 -0.032415
1.3282 0.013973
1.3322 0.019478
1.3362 0.024881
1.3402 -0.021552
1.3442 -0.045686
1.3482 -0.036258
1.3522 -0.041809
1.3562 -0.007413
1.3602 -0.006328
1.3642 -0.015301
1.3682 0.025344
1.3722 -0.000965
1.3762 -0.062418
1.3802 -0.055350
1.3842 -0.057174
1.3882 -0.016014
1.3922 -0.068194
1.3962 -0.015149
1.4002 -0.108289
1.4042 -0.019361
1.4082 -0.035624
1.4122 -0.068922
1.4162 -0.057639
1.4202 -0.041021
1.4242 -0.064341
1.4282 0.001239
1.4322 -0.048863
1.4362 -0.099471
1.4402 -0.050791
1.4442 -0.064249
1.4482 -0.051914
1.4523 -0.061980
1.4563 -0.087721
1.4603 -0.032802
1.4643 -0.031654
1.4683 -0.021590
1.4723 -0.070752
1.4763 -0.067144
1.4803 -0.071822
1.4843 -0.065148
1.4883 -0.040626
1.4923 -0.036343
1.4963 -0.040590
1.5003 -0.077663
1.5043 -0.032664
1.5083 -0.056948
1.5123 -0.031433
1.5163 -0.052123
1.5203 -0.051045
1.5243 -0.066737
1.5283 -0.046977
1.5323 -0.086089
1.5363 -0.087623
1.5403 -0.062402
1.5443 -0.083207
1.5483 -0.026766
