# DMA(O) (STEPs-SOL) -- Ca (Amber03) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2405 -13.814959
0.2455 -13.377825
0.2505 -12.543012
0.2555 -11.462760
0.2605 -10.296558
0.2655 -9.142291
0.2705 -8.058061
0.2755 -7.060927
0.2805 -6.154762
0.2855 -5.337389
0.2905 -4.594401
0.2955 -3.919903
0.3005 -3.317698
0.3055 -2.786817
0.3105 -2.315981
0.3155 -1.893792
0.3205 -1.528631
0.3255 -1.216544
0.3305 -0.941259
0.3355 -0.699769
0.3405 -0.510913
0.3455 -0.371640
0.3505 -0.252930
0.3555 -0.156487
0.3605 -0.089441
0.3655 -0.065549
0.3705 -0.086086
0.3755 -0.138799
0.3805 -0.211919
0.3855 -0.318615
0.3905 -0.449349
0.3955 -0.592635
0.4005 -0.750616
0.4055 -0.918512
0.4105 -1.093926
0.4155 -1.265955
0.4205 -1.430128
0.4255 -1.585310
0.4305 -1.729375
0.4355 -1.858515
0.4405 -1.965214
0.4455 -2.046808
0.4505 -2.112585
0.4555 -2.168090
0.4605 -2.203701
0.4655 -2.229556
0.4705 -2.249613
0.4755 -2.259690
0.4805 -2.261998
0.4855 -2.257919
0.4905 -2.253252
0.4955 -2.241032
0.5005 -2.217821
0.5055 -2.182947
0.5105 -2.131065
0.5155 -2.073566
0.5205 -2.014805
0.5255 -1.945340
0.5305 -1.858679
0.5355 -1.765881
0.5405 -1.666838
0.5455 -1.564462
0.5505 -1.481774
0.5555 -1.403214
0.5605 -1.315564
0.5655 -1.232760
0.5705 -1.171846
0.5755 -1.112690
0.5805 -1.046593
0.5855 -0.993599
0.5905 -0.961473
0.5955 -0.932975
0.6005 -0.909779
0.6055 -0.902197
0.6105 -0.905066
0.6155 -0.906379
0.6205 -0.897561
0.6255 -0.873688
0.6305 -0.848627
0.6355 -0.840681
0.6405 -0.846004
0.6455 -0.854931
0.6505 -0.857276
0.6555 -0.850793
0.6605 -0.842202
0.6655 -0.831189
0.6705 -0.831137
0.6755 -0.844227
0.6805 -0.854835
0.6855 -0.857628
0.6905 -0.855902
0.6955 -0.845323
0.7005 -0.828053
0.7055 -0.824945
0.7105 -0.821772
0.7155 -0.809540
0.7205 -0.795080
0.7255 -0.782581
0.7305 -0.776425
0.7355 -0.773265
0.7405 -0.768282
0.7455 -0.762702
0.7505 -0.749583
0.7555 -0.723307
0.7605 -0.701939
0.7655 -0.695097
0.7705 -0.694302
0.7755 -0.671618
0.7805 -0.635970
0.7855 -0.617592
0.7905 -0.592956
0.7955 -0.558644
0.8005 -0.539662
0.8055 -0.527389
0.8105 -0.514296
0.8155 -0.488333
0.8205 -0.442581
0.8255 -0.405617
0.8305 -0.393918
0.8355 -0.403814
0.8405 -0.397979
0.8455 -0.364909
0.8505 -0.328880
0.8555 -0.303072
0.8605 -0.295468
0.8655 -0.291828
0.8705 -0.289983
0.8755 -0.299287
0.8805 -0.302113
0.8855 -0.298867
0.8905 -0.301612
0.8955 -0.300140
0.9005 -0.286576
0.9055 -0.265091
0.9105 -0.249154
0.9155 -0.250029
0.9205 -0.249302
0.9255 -0.242396
0.9305 -0.243967
0.9355 -0.244873
0.9405 -0.236383
0.9455 -0.221970
0.9505 -0.209602
0.9555 -0.204292
0.9605 -0.217791
0.9655 -0.238996
0.9705 -0.236112
0.9755 -0.213421
0.9805 -0.199563
0.9855 -0.192420
0.9905 -0.180517
0.9955 -0.186304
1.0005 -0.208579
1.0055 -0.202147
1.0105 -0.179309
1.0155 -0.168569
1.0205 -0.168150
1.0255 -0.179012
1.0305 -0.196697
1.0355 -0.200806
1.0405 -0.191685
1.0455 -0.189802
1.0505 -0.193623
1.0555 -0.172727
1.0605 -0.148624
1.0655 -0.150938
1.0705 -0.160598
1.0755 -0.164276
1.0805 -0.155933
1.0855 -0.150492
1.0905 -0.164637
1.0955 -0.173069
1.1005 -0.174550
1.1055 -0.187670
1.1105 -0.180940
1.1155 -0.158781
1.1205 -0.158235
1.1255 -0.174086
1.1305 -0.175584
1.1355 -0.166936
1.1405 -0.161433
1.1455 -0.149829
1.1505 -0.127056
1.1555 -0.114308
1.1605 -0.123933
1.1655 -0.138392
1.1705 -0.130843
1.1755 -0.112135
1.1805 -0.093936
1.1855 -0.078049
1.1905 -0.079491
1.1955 -0.098727
