# DMA(O) (STEPs-SOL) -- Ca (Amber03) Difference Data: DFT (Daily) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2169 -27.337955
0.2219 -26.311561
0.2269 -24.640292
0.2319 -22.625275
0.2369 -20.371436
0.2419 -17.942475
0.2469 -15.434467
0.2519 -13.003487
0.2569 -10.811085
0.2619 -8.923670
0.2669 -7.344935
0.2719 -6.041964
0.2769 -4.963468
0.2819 -4.070797
0.2869 -3.335363
0.2919 -2.711127
0.2969 -2.175012
0.3019 -1.730236
0.3069 -1.346278
0.3119 -1.009033
0.3169 -0.749855
0.3219 -0.577322
0.3269 -0.468170
0.3319 -0.376473
0.3369 -0.286779
0.3419 -0.240947
0.3469 -0.236869
0.3519 -0.255960
0.3569 -0.287275
0.3619 -0.327204
0.3669 -0.382942
0.3719 -0.462735
0.3769 -0.549512
0.3819 -0.623634
0.3869 -0.683720
0.3919 -0.762998
0.3969 -0.918630
0.4019 -1.133809
0.4069 -1.360392
0.4119 -1.588041
0.4169 -1.807671
0.4219 -2.003379
0.4269 -2.167088
0.4319 -2.295453
0.4369 -2.389761
0.4419 -2.448175
0.4469 -2.470413
0.4519 -2.469849
0.4569 -2.458961
0.4619 -2.441478
0.4669 -2.418541
0.4719 -2.391476
0.4769 -2.361748
0.4819 -2.330832
0.4869 -2.300203
0.4919 -2.271241
0.4969 -2.244167
0.5019 -2.213797
0.5069 -2.168916
0.5119 -2.111326
0.5169 -2.056143
0.5219 -1.997743
0.5269 -1.921876
0.5319 -1.830270
0.5369 -1.733190
0.5419 -1.632954
0.5469 -1.542910
0.5519 -1.465903
0.5569 -1.379227
0.5619 -1.287949
0.5669 -1.215505
0.5719 -1.160071
0.5769 -1.095623
0.5819 -1.029511
0.5869 -0.986112
0.5919 -0.958787
0.5969 -0.927938
0.6019 -0.907365
0.6069 -0.903200
0.6119 -0.901253
0.6169 -0.899539
0.6219 -0.890188
0.6269 -0.864995
0.6319 -0.841613
0.6369 -0.840572
0.6419 -0.851100
0.6469 -0.859384
0.6519 -0.855646
0.6569 -0.845997
0.6619 -0.836546
0.6669 -0.828722
0.6719 -0.831476
0.6769 -0.844984
0.6819 -0.854187
0.6869 -0.853941
0.6919 -0.853864
0.6969 -0.847059
0.7019 -0.831319
0.7069 -0.824910
0.7119 -0.822969
0.7169 -0.808653
0.7219 -0.791146
0.7269 -0.782180
0.7319 -0.778393
0.7369 -0.774508
0.7419 -0.768648
0.7469 -0.762863
0.7519 -0.743481
0.7569 -0.710981
0.7619 -0.694415
0.7669 -0.698258
0.7719 -0.696048
0.7769 -0.666949
0.7819 -0.633501
0.7869 -0.614875
0.7919 -0.590237
0.7969 -0.555440
0.8019 -0.534158
0.8069 -0.522345
0.8119 -0.511583
0.8169 -0.484285
0.8219 -0.435865
0.8269 -0.395230
0.8319 -0.382646
0.8369 -0.394318
0.8419 -0.386828
0.8469 -0.356483
0.8519 -0.328846
0.8569 -0.303497
0.8619 -0.289319
0.8669 -0.282662
0.8719 -0.293551
0.8769 -0.309948
0.8819 -0.305654
0.8869 -0.298863
0.8919 -0.302873
0.8969 -0.299334
0.9019 -0.281487
0.9069 -0.256993
0.9119 -0.242459
0.9169 -0.246580
0.9219 -0.248367
0.9269 -0.245405
0.9319 -0.244634
0.9369 -0.240565
0.9419 -0.231650
0.9469 -0.220082
0.9519 -0.208472
0.9569 -0.208251
0.9619 -0.225779
0.9669 -0.243050
0.9719 -0.232710
0.9769 -0.208176
0.9819 -0.197403
0.9869 -0.189449
0.9919 -0.178867
0.9969 -0.188882
1.0019 -0.204942
1.0069 -0.193177
1.0119 -0.176269
1.0169 -0.172024
1.0219 -0.170419
1.0269 -0.186138
1.0319 -0.207815
1.0369 -0.199327
1.0419 -0.187693
1.0469 -0.196198
1.0519 -0.193660
1.0569 -0.164236
1.0619 -0.145471
1.0669 -0.150542
1.0719 -0.161360
1.0769 -0.161715
1.0819 -0.152594
1.0869 -0.156475
1.0919 -0.177513
1.0969 -0.188250
1.1019 -0.186650
1.1069 -0.187679
1.1119 -0.173989
1.1169 -0.152697
1.1219 -0.154367
1.1269 -0.170792
1.1319 -0.174917
1.1369 -0.164008
1.1419 -0.155800
1.1469 -0.140685
1.1519 -0.122097
1.1569 -0.121662
1.1619 -0.130449
1.1669 -0.133369
1.1719 -0.125185
1.1769 -0.109114
1.1819 -0.088802
1.1869 -0.074255
1.1919 -0.077507
1.1969 -0.096031
