# DMA(O) (STEPs-SOL) -- Ca (Amber03) Difference Data: DFT (Daily) - MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2169 -12.045038
0.2219 -11.208011
0.2269 -9.813588
0.2319 -8.093854
0.2369 -6.152419
0.2419 -4.124678
0.2469 -2.248442
0.2519 -0.743749
0.2569 0.330215
0.2619 1.039531
0.2669 1.477805
0.2719 1.726343
0.2769 1.837490
0.2819 1.846355
0.2869 1.781324
0.2919 1.684643
0.2969 1.569398
0.3019 1.432917
0.3069 1.304383
0.3119 1.181653
0.3169 1.029302
0.3219 0.853698
0.3269 0.665767
0.3319 0.493809
0.3369 0.355964
0.3419 0.230603
0.3469 0.099154
0.3519 -0.037680
0.3569 -0.151673
0.3619 -0.245288
0.3669 -0.319268
0.3719 -0.371071
0.3769 -0.391941
0.3819 -0.378032
0.3869 -0.325581
0.3919 -0.275940
0.3969 -0.283972
0.4019 -0.337217
0.4069 -0.391710
0.4119 -0.443864
0.4169 -0.498795
0.4219 -0.532875
0.4269 -0.540711
0.4319 -0.527526
0.4369 -0.498468
0.4419 -0.458632
0.4469 -0.410034
0.4519 -0.353932
0.4569 -0.295191
0.4619 -0.239134
0.4669 -0.188062
0.4719 -0.142601
0.4769 -0.103055
0.4819 -0.069702
0.4869 -0.042821
0.4919 -0.022682
0.4969 -0.009446
0.5019 -0.002655
0.5069 -0.000411
0.5119 -0.000029
0.5169 -0.000001
0.5219 0.000000
0.5269 0.000000
0.5319 0.000000
0.5369 0.000000
0.5419 -0.000000
0.5469 0.000000
0.5519 0.000000
0.5569 0.000000
0.5619 0.000000
0.5669 0.000000
0.5719 -0.000000
0.5769 -0.000000
0.5819 -0.000000
0.5869 0.000000
0.5919 0.000000
0.5969 0.000000
0.6019 0.000000
0.6069 0.000000
0.6119 0.000000
0.6169 0.000000
0.6219 -0.000000
0.6269 0.000000
0.6319 0.000000
0.6369 0.000000
0.6419 0.000000
0.6469 0.000000
0.6519 0.000000
0.6569 0.000000
0.6619 -0.000000
0.6669 -0.000000
0.6719 0.000000
0.6769 0.000000
0.6819 0.000000
0.6869 0.000000
0.6919 0.000000
0.6969 0.000000
0.7019 0.000000
0.7069 0.000000
0.7119 0.000000
0.7169 0.000000
0.7219 -0.000000
0.7269 -0.000000
0.7319 -0.000000
0.7369 -0.000000
0.7419 -0.000000
0.7469 -0.000000
0.7519 -0.000000
0.7569 -0.000000
0.7619 -0.000000
0.7669 0.000000
0.7719 0.000000
0.7769 0.000000
0.7819 -0.000000
0.7869 -0.000000
0.7919 -0.000000
0.7969 -0.000000
0.8019 -0.000000
0.8069 0.000000
0.8119 -0.000000
0.8169 -0.000000
0.8219 -0.000000
0.8269 -0.000000
0.8319 0.000000
0.8369 0.000000
0.8419 -0.000000
0.8469 -0.000000
0.8519 -0.000000
0.8569 0.000000
0.8619 0.000000
0.8669 0.000000
0.8719 0.000000
0.8769 -0.000000
0.8819 -0.000000
0.8869 -0.000000
0.8919 0.000000
0.8969 0.000000
0.9019 0.000000
0.9069 0.000000
0.9119 0.000000
0.9169 0.000000
0.9219 -0.000000
0.9269 0.000000
0.9319 0.000000
0.9369 0.000000
0.9419 0.000000
0.9469 0.000000
0.9519 0.000000
0.9569 0.000000
0.9619 0.000000
0.9669 0.000000
0.9719 -0.000000
0.9769 -0.000000
0.9819 -0.000000
0.9869 -0.000000
0.9919 -0.000000
0.9969 -0.000000
1.0019 -0.000000
1.0069 -0.000000
1.0119 -0.000000
1.0169 -0.000000
1.0219 -0.000000
1.0269 0.000000
1.0319 0.000000
1.0369 -0.000000
1.0419 -0.000000
1.0469 -0.000000
1.0519 -0.000000
1.0569 0.000000
1.0619 0.000000
1.0669 0.000000
1.0719 0.000000
1.0769 0.000000
1.0819 0.000000
1.0869 0.000000
1.0919 0.000000
1.0969 0.000000
1.1019 0.000000
1.1069 0.000000
1.1119 0.000000
1.1169 0.000000
1.1219 -0.000000
1.1269 -0.000000
1.1319 -0.000000
1.1369 -0.000000
1.1419 0.000000
1.1469 0.000000
1.1519 0.000000
1.1569 0.000000
1.1619 0.000000
1.1669 0.000000
1.1719 0.000000
1.1769 -0.000000
1.1819 -0.000000
1.1869 0.000000
1.1919 0.000000
1.1969 0.000000
