# DMA(O) -- Ca in DFT (Daily)
# r0[nm] k[kCal/mol/nm^2]
0.2169 -1.260909
0.2191 -1.619036
0.2214 -1.984091
0.2236 -2.222072
0.2259 -2.368697
0.2281 -2.454434
0.2304 -2.555990
0.2326 -2.554237
0.2349 -2.520695
0.2371 -2.420842
0.2394 -2.307072
0.2416 -2.150359
0.2439 -1.986132
0.2461 -1.791840
0.2484 -1.576963
0.2506 -1.419362
0.2529 -1.182927
0.2551 -0.986064
0.2574 -0.812873
0.2596 -0.623666
0.2619 -0.392279
0.2641 -0.206143
0.2664 -0.036944
0.2686 0.140715
0.2709 0.321574
0.2731 0.493664
0.2754 0.683634
0.2776 0.786770
0.2799 0.942564
0.2821 1.150304
0.2844 1.236415
0.2866 1.357044
0.2889 1.533012
0.2911 1.650144
0.2934 1.774017
0.2956 1.951752
0.2979 2.051708
0.3001 2.177424
0.3024 2.236221
0.3046 2.398109
0.3069 2.438848
0.3091 2.633571
0.3114 2.699545
0.3136 2.796602
0.3159 2.857219
0.3181 2.877466
0.3204 2.931085
0.3226 2.935531
0.3249 2.940357
0.3271 2.947855
0.3294 2.948489
0.3316 2.923950
0.3339 2.959657
0.3361 3.058653
0.3384 3.104825
0.3406 3.053963
0.3429 2.983560
0.3451 3.028926
0.3474 3.011709
0.3496 2.946380
0.3519 2.859224
0.3541 2.861858
0.3564 2.838831
0.3586 2.800126
0.3609 2.719563
0.3631 2.711631
0.3654 2.644239
0.3676 2.619498
0.3699 2.559085
0.3721 2.499867
0.3744 2.458093
0.3766 2.396823
0.3789 2.398365
0.3811 2.296753
0.3834 2.236570
0.3856 2.188007
0.3879 2.166121
0.3901 2.163460
0.3924 2.130936
0.3946 1.961080
0.3969 1.893358
0.3991 1.792924
0.4014 1.632976
0.4036 1.504606
0.4059 1.407950
0.4081 1.284232
0.4104 1.169586
0.4126 1.054887
0.4149 0.944209
0.4171 0.818472
0.4194 0.706309
0.4216 0.593356
0.4239 0.506354
0.4261 0.395686
0.4284 0.348444
0.4306 0.234996
0.4329 0.181176
0.4351 0.093550
0.4374 0.044752
0.4396 -0.004579
0.4419 -0.057713
0.4441 -0.097230
0.4464 -0.128618
0.4486 -0.103459
0.4509 -0.141924
0.4531 -0.178018
0.4554 -0.262055
0.4576 -0.285552
0.4599 -0.253864
0.4621 -0.230946
0.4644 -0.212940
0.4666 -0.214996
0.4689 -0.242188
0.4711 -0.193067
0.4734 -0.196152
0.4756 -0.153014
0.4779 -0.090874
0.4801 -0.029154
0.4824 0.028171
0.4846 0.060002
0.4869 0.127878
0.4891 0.140855
0.4914 0.186818
0.4936 0.200651
0.4959 0.280153
0.4981 0.345580
0.5004 0.410420
0.5026 0.470540
0.5049 0.545186
0.5071 0.601837
0.5094 0.709934
0.5116 0.791630
0.5139 0.882528
0.5161 0.983588
0.5184 1.006011
0.5206 1.064062
0.5229 1.073749
0.5251 1.172625
0.5274 1.170185
0.5296 1.283501
0.5319 1.368483
0.5341 1.389130
0.5364 1.456606
0.5386 1.465089
0.5409 1.536924
0.5431 1.584939
0.5454 1.531825
0.5476 1.622762
0.5499 1.565557
0.5521 1.629496
0.5544 1.632008
0.5566 1.609064
0.5589 1.602326
0.5611 1.600158
0.5634 1.622933
0.5656 1.594891
0.5679 1.482351
0.5701 1.376139
0.5724 1.294520
0.5746 1.246792
0.5769 1.223106
0.5791 1.248983
0.5814 1.178818
0.5836 1.102330
0.5859 1.046827
0.5881 0.996451
0.5904 0.975123
0.5926 0.972214
0.5949 1.019542
0.5971 0.874845
0.5994 0.880964
0.6016 0.759513
0.6039 0.682570
0.6061 0.631808
