# DMA(O) -- Ca in GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2475 13.409664
0.2515 11.674607
0.2555 10.238107
0.2595 8.974962
0.2635 7.925518
0.2675 7.067590
0.2715 6.375395
0.2755 5.794758
0.2795 5.310790
0.2835 4.955646
0.2876 4.603702
0.2916 4.394720
0.2956 4.168609
0.2996 3.997134
0.3036 3.880865
0.3076 3.763905
0.3116 3.677475
0.3156 3.607175
0.3196 3.503662
0.3236 3.454890
0.3276 3.384668
0.3316 3.353751
0.3356 3.313566
0.3396 3.242729
0.3436 3.267228
0.3476 3.221991
0.3516 3.117724
0.3556 3.121268
0.3596 3.082099
0.3636 3.016867
0.3676 2.976723
0.3716 2.967652
0.3756 2.981439
0.3796 2.913953
0.3836 2.892164
0.3876 2.877939
0.3916 2.825912
0.3956 2.782216
0.3996 2.779486
0.4036 2.729995
0.4076 2.697944
0.4116 2.685691
0.4156 2.672477
0.4196 2.620522
0.4236 2.585816
0.4276 2.564143
0.4316 2.518116
0.4356 2.479823
0.4396 2.419904
0.4436 2.412619
0.4476 2.342546
0.4516 2.315136
0.4556 2.317884
0.4596 2.270507
0.4636 2.246333
0.4676 2.209164
0.4716 2.182394
0.4756 2.138090
0.4797 2.105867
0.4837 2.039869
0.4877 2.054482
0.4917 2.034772
0.4957 1.985292
0.4997 1.946925
0.5037 1.961961
0.5077 1.895156
0.5117 1.834123
0.5157 1.828109
0.5197 1.793034
0.5237 1.798661
0.5277 1.750416
0.5317 1.712434
0.5357 1.700649
0.5397 1.717946
0.5437 1.618616
0.5477 1.613590
0.5517 1.599990
0.5557 1.548949
0.5597 1.559419
0.5637 1.474177
0.5677 1.460437
0.5717 1.472532
0.5757 1.440308
0.5797 1.431098
0.5837 1.380426
0.5877 1.369587
0.5917 1.361339
0.5957 1.323341
0.5997 1.325429
0.6037 1.283722
0.6077 1.279926
0.6117 1.251474
0.6157 1.253242
0.6197 1.208936
0.6237 1.197631
0.6277 1.188978
0.6317 1.131416
0.6357 1.118553
0.6397 1.097822
0.6437 1.078324
0.6477 1.088400
0.6517 1.064457
0.6557 1.035394
0.6597 1.044411
0.6637 0.992686
0.6677 0.992976
0.6717 0.964048
0.6758 0.989133
0.6798 0.953122
0.6838 0.965303
0.6878 0.901298
0.6918 0.915872
0.6958 0.913802
0.6998 0.849376
0.7038 0.875866
0.7078 0.822075
0.7118 0.829495
0.7158 0.778836
0.7198 0.788724
0.7238 0.731853
0.7278 0.777602
0.7318 0.737843
0.7358 0.715712
0.7398 0.732615
0.7438 0.696893
0.7478 0.712950
0.7518 0.720707
0.7558 0.688175
0.7598 0.665211
0.7638 0.618924
0.7678 0.678628
0.7718 0.662808
0.7758 0.664292
0.7798 0.617872
0.7838 0.658848
0.7878 0.632650
0.7918 0.633017
0.7958 0.533922
0.7998 0.558861
0.8038 0.567035
0.8078 0.562555
0.8118 0.574959
0.8158 0.563041
0.8198 0.509819
0.8238 0.497086
0.8278 0.487804
0.8318 0.466287
0.8358 0.555326
0.8398 0.484072
0.8438 0.494582
0.8478 0.436524
0.8518 0.478703
0.8558 0.405383
0.8598 0.431972
0.8638 0.426893
0.8679 0.351416
0.8719 0.444704
0.8759 0.408716
0.8799 0.397440
0.8839 0.368725
0.8879 0.325381
0.8919 0.395010
0.8959 0.385047
0.8999 0.364459
0.9039 0.350403
0.9079 0.351015
0.9119 0.300865
0.9159 0.330391
0.9199 0.312687
0.9239 0.302034
0.9279 0.300553
0.9319 0.284082
0.9359 0.298906
0.9399 0.324543
0.9439 0.287414
0.9479 0.297582
0.9519 0.274467
0.9559 0.255342
0.9599 0.292902
0.9639 0.282496
0.9679 0.323894
0.9719 0.272160
0.9759 0.219147
0.9799 0.202187
0.9839 0.225167
0.9879 0.241347
0.9919 0.229201
0.9959 0.175169
0.9999 0.229372
1.0039 0.213840
1.0079 0.180037
1.0119 0.197325
1.0159 0.169676
1.0199 0.192017
1.0239 0.129360
1.0279 0.154193
1.0319 0.222353
1.0359 0.196316
1.0399 0.225311
1.0439 0.149591
