# DMA(O) -- Ca in GB*
# r0[nm] k[kCal/mol/nm^2]
0.2435 2.396894
0.2475 0.688747
0.2515 -0.383749
0.2555 -1.037447
0.2595 -1.374236
0.2635 -1.506845
0.2675 -1.489166
0.2715 -1.314085
0.2755 -1.088569
0.2795 -0.822245
0.2835 -0.538589
0.2875 -0.230503
0.2915 0.117257
0.2955 0.426531
0.2995 0.732083
0.3035 0.993185
0.3075 1.327449
0.3115 1.561859
0.3155 1.815436
0.3195 2.030057
0.3235 2.291149
0.3275 2.440090
0.3315 2.600984
0.3355 2.738478
0.3395 2.884684
0.3435 2.932942
0.3474 2.977008
0.3514 3.055574
0.3554 3.118665
0.3594 3.147011
0.3634 3.191112
0.3674 3.085107
0.3714 3.043724
0.3754 2.924544
0.3794 2.828080
0.3834 2.713595
0.3874 2.594463
0.3914 2.440821
0.3954 2.319404
0.3994 2.172951
0.4034 2.007525
0.4074 1.828355
0.4114 1.697611
0.4154 1.506978
0.4194 1.328311
0.4234 1.174259
0.4274 0.990243
0.4314 0.882306
0.4354 0.701647
0.4394 0.578969
0.4434 0.490755
0.4474 0.402879
0.4514 0.336508
0.4554 0.268264
0.4594 0.164950
0.4633 0.099237
0.4673 0.081227
0.4713 0.031931
0.4753 -0.019768
0.4793 -0.041643
0.4833 -0.064349
0.4873 -0.100820
0.4913 -0.130542
0.4953 -0.153215
0.4993 -0.150957
0.5033 -0.176451
0.5073 -0.125073
0.5113 -0.119119
0.5153 -0.140791
0.5193 -0.105432
0.5233 -0.117692
0.5273 -0.083409
0.5313 -0.013459
0.5353 0.005409
0.5393 0.059795
0.5433 0.106922
0.5473 0.169183
0.5513 0.247009
0.5553 0.241841
0.5593 0.318091
0.5633 0.368241
0.5673 0.423923
0.5713 0.389319
0.5753 0.414846
0.5792 0.469326
0.5832 0.496950
0.5872 0.500987
0.5912 0.470478
0.5952 0.506540
0.5992 0.492770
0.6032 0.489424
0.6072 0.451763
0.6112 0.448807
0.6152 0.449161
0.6192 0.410922
0.6232 0.442090
0.6272 0.440309
0.6312 0.419659
0.6352 0.385086
0.6392 0.355992
0.6432 0.341519
0.6472 0.351984
0.6512 0.330163
0.6552 0.296084
0.6592 0.291725
0.6632 0.286092
0.6672 0.281750
0.6712 0.221514
0.6752 0.199464
0.6792 0.167765
0.6832 0.129655
0.6872 0.119451
0.6912 0.120494
0.6951 0.179473
0.6991 0.139745
0.7031 0.201310
0.7071 0.105949
0.7111 0.126502
0.7151 0.092830
0.7191 0.131599
0.7231 0.133955
0.7271 0.069243
0.7311 0.093287
0.7351 0.043563
0.7391 0.081706
0.7431 0.022667
0.7471 0.064293
0.7511 0.026179
0.7551 0.028132
0.7591 0.113907
0.7631 0.092164
0.7671 0.040864
0.7711 0.023081
0.7751 0.053163
0.7791 0.045282
0.7831 0.039673
0.7871 0.058465
0.7911 0.101755
0.7951 0.152015
0.7991 0.121085
0.8031 0.133084
0.8071 0.108334
0.8110 0.125320
0.8150 0.169081
0.8190 0.169770
0.8230 0.139460
0.8270 0.153011
0.8310 0.163431
0.8350 0.182044
0.8390 0.138422
0.8430 0.159521
0.8470 0.207103
0.8510 0.257358
0.8550 0.211631
0.8590 0.236944
0.8630 0.246901
0.8670 0.194515
0.8710 0.209616
0.8750 0.180867
0.8790 0.235741
0.8830 0.141255
0.8870 0.196106
0.8910 0.142591
0.8950 0.158367
0.8990 0.233169
0.9030 0.204443
0.9070 0.234835
0.9110 0.198575
0.9150 0.197347
0.9190 0.215714
0.9230 0.221553
0.9269 0.148546
0.9309 0.145082
0.9349 0.135886
0.9389 0.190948
0.9429 0.141329
0.9469 0.143774
0.9509 0.210976
0.9549 0.150180
0.9589 0.181662
0.9629 0.146932
0.9669 0.151456
0.9709 0.141708
0.9749 0.123951
0.9789 0.144498
0.9829 0.139578
0.9869 0.172423
0.9909 0.170086
0.9949 0.181630
0.9989 0.096570
1.0029 0.182604
1.0069 0.120243
1.0109 0.112125
1.0149 0.158323
1.0189 0.133666
1.0229 0.146405
1.0269 0.095069
1.0309 0.079525
1.0349 0.074420
1.0388 0.062616
1.0428 0.060806
1.0468 0.070169
1.0508 0.068241
1.0548 0.067514
1.0588 0.107346
1.0628 0.128556
1.0668 0.150990
1.0708 0.117576
1.0748 0.107813
1.0788 0.023855
1.0828 0.125847
1.0868 0.074442
1.0908 0.037757
1.0948 0.061384
1.0988 0.068095
1.1028 0.102737
1.1068 0.020460
1.1108 0.003139
1.1148 0.052705
1.1188 0.024577
1.1228 0.038204
1.1268 -0.028015
1.1308 -0.005673
1.1348 0.087360
1.1388 0.052257
1.1428 0.037840
1.1468 0.048569
1.1508 0.059664
1.1547 0.044363
1.1587 0.083589
1.1627 0.072193
1.1667 0.060722
1.1707 0.045654
1.1747 0.025052
1.1787 0.048937
1.1827 0.071497
1.1867 0.074728
1.1907 0.028479
1.1947 0.078752
1.1987 0.000000
1.2027 0.096240
1.2067 0.041316
1.2107 0.012973
1.2147 0.060002
1.2187 -0.004876
1.2227 0.031558
1.2267 0.042262
1.2307 0.020908
1.2347 0.020940
1.2387 0.053420
1.2427 0.036084
1.2467 0.035649
1.2507 0.013660
1.2547 0.029652
1.2587 0.000883
1.2627 -0.002923
1.2667 0.005010
1.2706 0.034901
1.2746 0.086283
1.2786 0.022732
1.2826 -0.016159
1.2866 0.026838
1.2906 -0.024228
1.2946 -0.011315
1.2986 0.041170
1.3026 -0.048339
1.3066 0.048344
1.3106 -0.015079
1.3146 0.028132
1.3186 -0.032489
1.3226 0.016649
1.3266 0.033699
1.3306 -0.000189
1.3346 -0.036969
1.3386 -0.014314
1.3426 0.024593
1.3466 -0.036525
1.3506 -0.003326
1.3546 -0.053919
1.3586 -0.031997
1.3626 -0.036272
1.3666 -0.051935
1.3706 -0.040444
1.3746 -0.026297
1.3786 -0.018798
1.3825 0.047273
