# DMA(O) -- Ca in GB**
# r0[nm] k[kCal/mol/nm^2]
0.2339 1.844755
0.2379 0.037542
0.2419 -1.018484
0.2459 -1.498919
0.2499 -1.530210
0.2539 -1.304084
0.2578 -0.995653
0.2618 -0.659505
0.2658 -0.305828
0.2698 0.036407
0.2738 0.405570
0.2778 0.668684
0.2818 1.015739
0.2858 1.232608
0.2898 1.512333
0.2938 1.749565
0.2978 1.940335
0.3018 2.152342
0.3058 2.340370
0.3098 2.454614
0.3138 2.675845
0.3178 2.750091
0.3218 2.848412
0.3258 2.890399
0.3298 2.885639
0.3338 2.941105
0.3378 2.945519
0.3418 2.974388
0.3458 2.917573
0.3498 2.836809
0.3538 2.845739
0.3578 2.743919
0.3618 2.682389
0.3658 2.577396
0.3698 2.480069
0.3738 2.377645
0.3778 2.289627
0.3817 2.230055
0.3857 2.095437
0.3897 2.038418
0.3937 1.909637
0.3977 1.751356
0.4017 1.589070
0.4057 1.337405
0.4097 1.107687
0.4137 0.898242
0.4177 0.701420
0.4217 0.536817
0.4257 0.326958
0.4297 0.203827
0.4337 0.088387
0.4377 -0.028859
0.4417 -0.099573
0.4457 -0.144320
0.4497 -0.171759
0.4537 -0.248379
0.4577 -0.250081
0.4617 -0.234472
0.4657 -0.287970
0.4697 -0.291087
0.4737 -0.258148
0.4777 -0.272914
0.4817 -0.280856
0.4857 -0.272967
0.4897 -0.284752
0.4937 -0.345226
0.4977 -0.357661
0.5017 -0.350508
0.5056 -0.307176
0.5096 -0.324110
0.5136 -0.271290
0.5176 -0.276961
0.5216 -0.271782
0.5256 -0.207874
0.5296 -0.169527
0.5336 -0.117417
0.5376 -0.055766
0.5416 -0.001087
0.5456 0.021148
0.5496 0.039886
0.5536 0.114768
0.5576 0.148470
0.5616 0.175431
0.5656 0.207452
0.5696 0.258079
0.5736 0.256023
0.5776 0.298671
0.5816 0.357371
0.5856 0.319803
0.5896 0.355616
0.5936 0.317549
0.5976 0.364785
0.6016 0.332281
0.6056 0.312630
0.6096 0.276132
0.6136 0.273553
0.6176 0.297741
0.6216 0.250116
0.6256 0.268398
0.6295 0.295893
0.6335 0.291829
0.6375 0.251118
0.6415 0.234645
0.6455 0.199131
0.6495 0.193899
0.6535 0.156186
0.6575 0.175433
0.6615 0.130179
0.6655 0.125886
0.6695 0.092845
0.6735 0.073806
0.6775 0.026829
0.6815 0.004789
0.6855 -0.010863
0.6895 0.003179
0.6935 -0.008335
0.6975 0.016597
0.7015 0.021584
0.7055 0.011464
0.7095 0.000789
0.7135 -0.026977
0.7175 -0.015852
0.7215 0.006991
0.7255 -0.038374
0.7295 -0.080155
0.7335 -0.078071
0.7375 -0.124371
0.7415 -0.078930
0.7455 -0.068286
0.7494 -0.061525
0.7534 -0.070657
0.7574 -0.058045
0.7614 -0.011131
0.7654 -0.063334
0.7694 -0.054646
0.7734 -0.074037
0.7774 -0.066693
0.7814 -0.047052
0.7854 -0.057034
0.7894 -0.028736
0.7934 -0.055201
0.7974 -0.021156
0.8014 0.013302
0.8054 -0.012597
0.8094 -0.000510
0.8134 -0.007874
0.8174 0.027377
0.8214 0.043006
0.8254 0.057271
0.8294 0.070695
0.8334 0.087570
0.8374 0.029277
0.8414 0.030605
0.8454 0.076649
0.8494 0.075602
0.8534 0.066472
0.8574 0.123086
0.8614 0.063084
0.8654 0.056840
0.8694 0.078297
0.8733 0.079977
0.8773 0.062843
0.8813 0.090739
0.8853 0.090923
0.8893 0.100868
0.8933 0.050517
0.8973 -0.021275
0.9013 0.034451
0.9053 0.028903
0.9093 0.060416
0.9133 0.013572
0.9173 0.019689
0.9213 0.062012
0.9253 0.027150
0.9293 0.050133
0.9333 0.019047
0.9373 -0.000451
0.9413 -0.013691
0.9453 0.019049
0.9493 0.028276
0.9533 0.034129
0.9573 0.090227
0.9613 -0.006719
0.9653 -0.000482
0.9693 -0.004815
0.9733 0.009465
0.9773 -0.009027
0.9813 0.018600
0.9853 0.020436
0.9893 0.004258
0.9932 0.031892
0.9972 0.005540
1.0012 -0.036041
1.0052 0.008371
1.0092 -0.034240
1.0132 0.047145
1.0172 0.031388
1.0212 -0.008559
1.0252 -0.027672
1.0292 -0.006084
1.0332 -0.048354
1.0372 -0.040220
1.0412 -0.087206
1.0452 -0.024970
1.0492 -0.084704
1.0532 -0.016859
1.0572 -0.037515
1.0612 -0.025406
1.0652 -0.021380
1.0692 -0.022044
1.0732 -0.016388
1.0772 -0.054573
1.0812 -0.031322
1.0852 -0.037135
1.0892 -0.067981
1.0932 -0.063282
1.0972 -0.082848
1.1012 -0.073244
1.1052 -0.030110
1.1092 -0.124114
1.1132 -0.025971
1.1171 -0.090411
1.1211 -0.089917
1.1251 -0.107383
1.1291 -0.086398
1.1331 -0.110398
1.1371 -0.142729
1.1411 -0.047260
1.1451 0.029253
1.1491 -0.034713
1.1531 -0.054754
1.1571 -0.056384
1.1611 -0.084042
1.1651 -0.067463
1.1691 -0.084889
1.1731 -0.087327
1.1771 -0.018607
1.1811 -0.106808
1.1851 -0.008562
1.1891 -0.007395
1.1931 -0.020608
1.1971 -0.091102
1.2011 0.000000
1.2051 -0.039986
1.2091 -0.098738
1.2131 -0.043912
1.2171 -0.081147
1.2211 -0.073819
1.2251 -0.051454
1.2291 -0.087030
1.2331 -0.082779
1.2371 -0.081998
1.2410 -0.121641
1.2450 -0.160108
1.2490 -0.098784
1.2530 -0.127767
1.2570 -0.095989
1.2610 -0.074336
1.2650 -0.048920
1.2690 -0.109132
1.2730 -0.063927
1.2770 -0.056880
1.2810 -0.085931
1.2850 -0.123014
1.2890 -0.103169
1.2930 -0.116953
1.2970 -0.089577
1.3010 -0.096279
1.3050 -0.061037
1.3090 -0.077533
1.3130 -0.151810
1.3170 -0.129726
1.3210 -0.136702
1.3250 -0.083293
1.3290 -0.139846
1.3330 -0.047793
1.3370 -0.093429
1.3410 -0.096250
1.3450 -0.100140
1.3490 -0.157313
1.3530 -0.099567
1.3570 -0.068239
1.3610 -0.074305
1.3649 -0.057994
1.3689 -0.067583
1.3729 -0.047706
1.3769 -0.116241
1.3809 -0.100494
1.3849 -0.128852
1.3889 -0.131989
1.3929 -0.124471
1.3969 -0.140352
1.4009 -0.124690
1.4049 -0.126705
1.4089 -0.191916
1.4129 -0.130760
1.4169 -0.160447
1.4209 -0.130460
1.4249 -0.120701
1.4289 -0.176166
1.4329 -0.138799
1.4369 -0.148572
1.4409 -0.120220
1.4449 -0.149218
1.4489 -0.129342
1.4529 -0.134322
1.4569 -0.144943
1.4609 -0.171029
1.4649 -0.136815
1.4689 -0.158076
1.4729 -0.167253
1.4769 -0.109528
1.4809 -0.062267
1.4848 -0.171371
