# DMA(O) -- Ca in MM (Tip3p)
# r0[nm] k[kCal/mol/nm^2]
0.2405 2.448705
0.2445 0.950512
0.2485 -0.134439
0.2525 -0.893968
0.2565 -1.335613
0.2605 -1.562778
0.2645 -1.591726
0.2685 -1.528516
0.2725 -1.384767
0.2765 -1.147702
0.2805 -0.873701
0.2845 -0.595938
0.2885 -0.276426
0.2925 0.055600
0.2965 0.376218
0.3005 0.687443
0.3045 1.018929
0.3085 1.261632
0.3125 1.524432
0.3165 1.837612
0.3205 1.989779
0.3245 2.178120
0.3285 2.365850
0.3325 2.495317
0.3365 2.692326
0.3405 2.787842
0.3445 2.834624
0.3485 2.898830
0.3525 2.963404
0.3565 2.953039
0.3605 3.021995
0.3645 2.944189
0.3685 2.928578
0.3725 2.912855
0.3765 2.788944
0.3805 2.740344
0.3845 2.614077
0.3885 2.430385
0.3925 2.349276
0.3965 2.161357
0.4005 2.007776
0.4045 1.856677
0.4085 1.679938
0.4125 1.479300
0.4165 1.382139
0.4205 1.173793
0.4245 1.017601
0.4285 0.878327
0.4325 0.711269
0.4365 0.571457
0.4405 0.439021
0.4445 0.334478
0.4485 0.263626
0.4525 0.183662
0.4565 0.093270
0.4605 0.068964
0.4645 0.006672
0.4685 -0.032981
0.4725 -0.112853
0.4765 -0.114393
0.4805 -0.186367
0.4845 -0.197645
0.4885 -0.202057
0.4925 -0.244141
0.4965 -0.269229
0.5005 -0.262055
0.5045 -0.275399
0.5086 -0.279552
0.5126 -0.259264
0.5166 -0.244672
0.5206 -0.219897
0.5246 -0.195717
0.5286 -0.162628
0.5326 -0.100149
0.5366 -0.040516
0.5406 0.000347
0.5446 0.102151
0.5486 0.095240
0.5526 0.108350
0.5566 0.170815
0.5606 0.211602
0.5646 0.277437
0.5686 0.273806
0.5726 0.287596
0.5766 0.339381
0.5806 0.379323
0.5846 0.413638
0.5886 0.400827
0.5926 0.371850
0.5966 0.409293
0.6006 0.418726
0.6046 0.402476
0.6086 0.336702
0.6126 0.364773
0.6166 0.338874
0.6206 0.293591
0.6246 0.314097
0.6286 0.320281
0.6326 0.323250
0.6366 0.263615
0.6406 0.251508
0.6446 0.237380
0.6486 0.184859
0.6526 0.215752
0.6566 0.195646
0.6606 0.174310
0.6646 0.177773
0.6686 0.169591
0.6726 0.137026
0.6766 0.133616
0.6806 0.096864
0.6846 0.075846
0.6886 0.071026
0.6926 0.054826
0.6966 0.028292
0.7006 0.070099
