# DMA(O) -- Ca in MM*
# r0[nm] k[kCal/mol/nm^2]
0.2323 0.331291
0.2363 -1.128626
0.2403 -1.801578
0.2443 -1.893530
0.2483 -1.655675
0.2523 -1.262804
0.2563 -0.857846
0.2603 -0.456835
0.2643 -0.068677
0.2683 0.318059
0.2723 0.668410
0.2763 1.030250
0.2803 1.303570
0.2843 1.562258
0.2883 1.773258
0.2923 2.007521
0.2963 2.270109
0.3003 2.474880
0.3043 2.642151
0.3083 2.798756
0.3123 3.006395
0.3163 3.169767
0.3203 3.204954
0.3243 3.273297
0.3283 3.336277
0.3323 3.319478
0.3363 3.318562
0.3403 3.337281
0.3443 3.302837
0.3483 3.241331
0.3523 3.171223
0.3563 3.072547
0.3603 2.980340
0.3643 2.916326
0.3683 2.798015
0.3723 2.668058
0.3763 2.609527
0.3803 2.435918
0.3843 2.377366
0.3883 2.238396
0.3923 2.105167
0.3963 1.971659
0.4003 1.796010
0.4043 1.530410
0.4083 1.342170
0.4123 1.136204
0.4163 0.919299
0.4203 0.723774
0.4243 0.534372
0.4283 0.390948
0.4323 0.263532
0.4364 0.151915
0.4404 0.086060
0.4444 0.004361
0.4484 -0.002852
0.4524 -0.087549
0.4564 -0.077261
0.4604 -0.078709
0.4644 -0.114076
0.4684 -0.112173
0.4724 -0.095779
0.4764 -0.106308
0.4804 -0.134361
0.4844 -0.134145
0.4884 -0.143697
0.4924 -0.191883
0.4964 -0.205586
0.5004 -0.203764
0.5044 -0.157491
0.5084 -0.141484
0.5124 -0.137882
0.5164 -0.104291
0.5204 -0.097145
0.5244 -0.077425
0.5284 -0.013153
0.5324 0.015353
0.5364 0.079383
0.5404 0.081032
0.5444 0.133194
0.5484 0.167491
0.5524 0.230317
0.5564 0.302461
0.5604 0.295557
0.5644 0.359192
0.5684 0.395092
0.5724 0.457845
0.5764 0.432959
0.5804 0.453865
0.5844 0.460274
0.5884 0.418018
0.5924 0.463849
0.5964 0.483644
0.6004 0.458598
0.6044 0.437563
0.6084 0.477398
0.6124 0.434750
0.6164 0.414622
0.6204 0.415344
0.6244 0.421829
0.6284 0.373514
0.6324 0.422288
0.6364 0.415252
0.6404 0.355709
0.6444 0.386060
0.6484 0.371120
0.6524 0.300678
0.6564 0.323004
0.6604 0.308679
0.6644 0.299165
0.6684 0.344484
0.6724 0.287596
0.6764 0.254638
0.6804 0.224819
0.6844 0.234662
0.6884 0.215981
0.6924 0.207177
0.6964 0.173156
0.7004 0.182665
0.7044 0.160174
0.7084 0.165535
0.7124 0.169075
0.7164 0.185941
0.7204 0.153808
0.7244 0.158011
0.7284 0.105046
0.7324 0.121262
0.7364 0.144033
0.7405 0.111427
0.7445 0.118296
0.7485 0.142072
0.7525 0.156695
0.7565 0.109290
0.7605 0.140763
0.7645 0.181550
0.7685 0.133969
0.7725 0.139608
0.7765 0.139475
0.7805 0.176170
0.7845 0.130257
0.7885 0.144993
0.7925 0.113311
0.7965 0.143007
0.8005 0.119463
0.8045 0.178902
0.8085 0.112265
0.8125 0.117438
0.8165 0.158702
0.8205 0.126691
0.8245 0.099233
0.8285 0.168875
0.8325 0.152832
0.8365 0.131346
0.8405 0.174545
0.8445 0.125381
0.8485 0.150436
0.8525 0.144003
0.8565 0.097093
0.8605 0.146400
0.8645 0.133816
0.8685 0.133262
0.8725 0.133835
0.8765 0.158551
0.8805 0.146348
0.8845 0.150957
0.8885 0.094955
0.8925 0.160624
0.8965 0.132452
0.9005 0.115890
0.9045 0.150179
0.9085 0.134539
0.9125 0.112129
0.9165 0.107769
0.9205 0.137072
0.9245 0.137234
0.9285 0.068720
0.9325 0.093607
0.9365 0.107791
0.9405 0.053892
0.9445 0.082646
0.9485 0.102540
0.9525 0.100350
0.9565 0.062447
0.9605 0.080224
0.9645 0.051469
0.9685 0.020974
0.9725 0.060063
0.9765 0.060239
0.9805 0.080132
0.9845 0.110624
0.9885 0.135145
0.9925 0.096603
0.9965 0.142897
1.0005 0.187025
1.0045 0.067909
1.0085 0.114168
1.0125 0.156083
1.0165 0.132434
1.0205 0.065628
1.0245 0.064761
1.0285 0.100263
1.0325 0.145867
1.0365 0.047983
1.0405 0.135341
1.0445 0.089330
1.0486 0.105542
1.0526 0.096299
1.0566 0.100642
1.0606 0.037416
1.0646 0.139477
1.0686 0.018725
1.0726 0.008434
1.0766 0.021300
1.0806 0.010963
1.0846 -0.011958
1.0886 -0.006180
1.0926 0.001127
1.0966 0.005392
1.1006 -0.060897
1.1046 -0.037481
1.1086 -0.083765
1.1126 -0.026977
1.1166 0.008983
1.1206 -0.070123
1.1246 -0.042778
1.1286 -0.068917
1.1326 -0.049692
1.1366 -0.039750
1.1406 -0.054448
1.1446 -0.010284
1.1486 -0.019850
1.1526 -0.039326
1.1566 -0.048895
1.1606 -0.042439
1.1646 -0.022019
1.1686 -0.022480
1.1726 -0.014675
1.1766 0.034080
1.1806 -0.015199
1.1846 0.002512
1.1886 0.019381
1.1926 -0.008661
1.1966 -0.020925
1.2006 0.000000
1.2046 0.044776
1.2086 0.056322
1.2126 0.054527
1.2166 0.022144
1.2206 0.047711
1.2246 0.046829
1.2286 -0.005799
1.2326 0.033576
1.2366 0.031269
1.2406 -0.035564
1.2446 -0.012891
1.2486 -0.007519
1.2526 -0.025763
1.2566 -0.049121
1.2606 -0.066125
1.2646 -0.066360
1.2686 -0.056441
1.2726 -0.019548
1.2766 -0.063726
1.2806 0.004063
1.2846 0.009258
1.2886 0.019500
1.2926 0.012091
1.2966 -0.077530
1.3006 -0.007036
1.3046 0.036749
1.3086 -0.016542
1.3126 0.013941
1.3166 -0.032941
1.3206 -0.030194
1.3246 -0.058947
1.3286 0.019157
1.3326 0.001192
1.3366 -0.062018
1.3406 -0.006406
1.3446 -0.056139
1.3486 -0.062352
1.3526 -0.031143
1.3567 -0.060237
1.3607 -0.049694
1.3647 -0.068688
1.3687 -0.113429
1.3727 -0.026785
1.3767 -0.058310
1.3807 -0.045303
1.3847 -0.023363
1.3887 -0.052605
1.3927 -0.025898
1.3967 0.000596
1.4007 0.001580
1.4047 -0.000085
1.4087 -0.019835
1.4127 0.051843
1.4167 -0.032548
1.4207 0.002360
1.4247 0.015421
1.4287 -0.025296
1.4327 -0.008093
1.4367 0.040331
1.4407 0.019413
1.4447 0.012118
1.4487 -0.055414
1.4527 -0.016875
1.4567 0.015626
1.4607 0.047413
1.4647 0.026882
1.4687 -0.015054
1.4727 0.022345
1.4767 0.020470
1.4807 0.042979
1.4847 0.002663
1.4887 0.009334
1.4927 -0.014704
1.4967 0.022404
1.5007 0.001257
1.5047 0.008898
1.5087 0.009429
1.5127 0.047054
1.5167 0.005257
1.5207 -0.024116
1.5247 -0.022474
1.5287 0.028057
1.5327 -0.009633
