# DMA(O) (STEPs-SOL) -- Cl (Amber03) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2820 0.136175
0.2870 0.148912
0.2920 0.130400
0.2970 0.097244
0.3020 0.065675
0.3070 0.023001
0.3120 -0.022118
0.3170 -0.059671
0.3220 -0.092170
0.3270 -0.132632
0.3320 -0.191840
0.3370 -0.254201
0.3420 -0.309994
0.3470 -0.363573
0.3520 -0.412336
0.3570 -0.458874
0.3620 -0.508692
0.3670 -0.558306
0.3720 -0.603549
0.3770 -0.657231
0.3820 -0.713064
0.3870 -0.757401
0.3920 -0.788812
0.3970 -0.809253
0.4020 -0.817785
0.4070 -0.819660
0.4120 -0.829326
0.4170 -0.853960
0.4220 -0.876280
0.4270 -0.869544
0.4320 -0.846386
0.4370 -0.832071
0.4420 -0.821920
0.4470 -0.806466
0.4520 -0.792064
0.4570 -0.775648
0.4620 -0.750024
0.4670 -0.715843
0.4720 -0.680111
0.4770 -0.646642
0.4820 -0.607814
0.4870 -0.557346
0.4920 -0.509742
0.4970 -0.468927
0.5020 -0.429445
0.5070 -0.394675
0.5120 -0.361706
0.5170 -0.316053
0.5220 -0.267340
0.5270 -0.240667
0.5320 -0.225417
0.5370 -0.208758
0.5420 -0.191155
0.5470 -0.170510
0.5520 -0.153637
0.5570 -0.151007
0.5620 -0.148592
0.5670 -0.122410
0.5720 -0.094850
0.5770 -0.079832
0.5820 -0.073937
0.5870 -0.073865
0.5920 -0.074113
0.5970 -0.075187
0.6020 -0.069711
0.6070 -0.066627
0.6120 -0.082155
0.6170 -0.110344
0.6220 -0.126806
0.6270 -0.132060
0.6320 -0.144611
0.6370 -0.158114
0.6420 -0.160548
0.6470 -0.155164
0.6520 -0.148077
0.6570 -0.148141
0.6620 -0.147103
0.6670 -0.138837
0.6720 -0.127436
0.6770 -0.123159
0.6820 -0.128112
0.6870 -0.135628
0.6920 -0.145875
0.6970 -0.147654
0.7020 -0.144383
0.7070 -0.154180
0.7120 -0.156153
0.7170 -0.142074
0.7220 -0.128993
0.7270 -0.125688
0.7320 -0.125742
0.7370 -0.122256
0.7420 -0.118741
0.7470 -0.110632
0.7520 -0.102757
0.7570 -0.096270
0.7620 -0.083214
0.7670 -0.075067
0.7720 -0.073664
0.7770 -0.063191
0.7820 -0.033929
0.7870 -0.008798
0.7920 -0.010170
0.7970 -0.025231
0.8020 -0.029298
0.8070 -0.017370
0.8120 -0.008160
0.8170 -0.008557
0.8220 -0.021370
0.8270 -0.039951
0.8320 -0.042583
0.8370 -0.022523
0.8420 -0.003991
0.8470 -0.012827
0.8520 -0.023078
0.8570 -0.007180
0.8620 0.017069
0.8670 0.028268
0.8720 0.014566
0.8770 -0.009459
0.8820 -0.025071
0.8870 -0.028478
0.8920 -0.016949
0.8970 0.015474
0.9020 0.047270
0.9070 0.040517
0.9120 0.009082
0.9170 -0.006983
0.9220 -0.003813
0.9270 -0.021385
0.9320 -0.043300
0.9370 -0.028843
0.9420 -0.010511
0.9470 -0.017598
0.9520 -0.018775
0.9570 -0.012071
0.9620 -0.019245
0.9670 -0.037439
0.9720 -0.059350
0.9770 -0.073577
0.9820 -0.070043
0.9870 -0.058037
0.9920 -0.045737
0.9970 -0.029758
